セクション,項目,思域 2026款 180TURBO CVT 智趣版,思域 2026款 240TURBO CVT 智趣Plus版,思域 2026款 240TURBO CVT 思域中国20年限定版,思域 2026款 240TURBO CVT 智趣Max版,思域 2025款 2.0L e:HEV 混动,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max,思域 2025款 180TURBO CVT 智趣,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 240TURBO CVT 智趣Max
,厂商指导价(元),9.79万 计算器,10.99万 计算器,11.39万 计算器,12.99万 计算器,13.99万 计算器,14.99万 计算器,16.39万 计算器,17.79万 计算器,12.99万 计算器,13.99万 计算器,14.59万 计算器,15.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-22,2026-04-22,2026-04-22,2026-04-22,2025-03-01,2025-03-01,2025-03-01,2025-03-01,2025-03-01,2025-03-01,2025-03-01,2025-03-01
基本参数,最大功率(kW),95,134,134,134,149,149,149,149,95,134,134,134
基本参数,最大扭矩(N·m),180,240,240,240,-,-,-,-,180,240,240,240
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 129马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 129马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4
基本参数,电动机(Ps),-,-,-,-,184,184,184,184,-,-,-,-
基本参数,长*宽*高(mm),4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1420,4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1420,4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1420
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),200,200,200,200,180,180,180,180,200,200,200,200
基本参数,WLTC综合油耗(L/100km),5.79,6.01,6.28,6.36,4.39,4.39,4.47,4.51,5.79,6.01,6.28,6.36
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1315,1356,1370,1403,1451,1467,1468,1501,1315,1356,1370,1403
基本参数,最大满载质量(kg),1740,1800,1800,1800,1935,1935,1935,1935,1740,1800,1800,1800
车身,长度(mm),4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685
车身,宽度(mm),1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
车身,高度(mm),1415,1415,1415,1420,1415,1415,1415,1420,1415,1415,1415,1420
车身,轴距(mm),2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
车身,后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),18,18,18,18,19,19,19,19,18,18,18,18
车身,最小转弯半径(m),5.35,5.35,5.35,5.65,5.35,5.35,5.35,5.65,5.35,5.35,5.35,5.65
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,47,47,47,40,40,40,40,47,47,47,47
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,L15C7,L15C8,L15C8,L15C8,LFB15,LFB15,LFB15,LFB15,L15C7,L15C8,L15C8,L15C8
发动机,排量(mL),1498,1498,1498,1498,1993,1993,1993,1993,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10.3,10.3,10.3,10.3,13.9,13.9,13.9,13.9,10.3,10.3,10.3,10.3
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),73,73,73,73,-,-,-,-,73,73,73,73
发动机,行程(mm),89.5,89.5,89.5,89.5,-,-,-,-,89.5,89.5,89.5,89.5
发动机,最大马力(Ps),129,182,182,182,143,143,143,143,129,182,182,182
发动机,最大功率(kW),95,134,134,134,105,105,105,105,95,134,134,134
发动机,最大功率转速(rpm),5500-6000,6000,6000,6000,6000,6000,6000,6000,5500-6000,6000,6000,6000
发动机,最大扭矩(N·m),180,240,240,240,182,182,182,182,180,240,240,240
发动机,最大扭矩转速(rpm),1700-4500,1700-4500,1700-4500,1700-4500,4500,4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500
发动机,最大净功率(kW),95,134,134,134,105,105,105,105,95,134,134,134
