セクション,項目,奥迪A6L 2026款 40 TFSI 豪华动感型,奥迪A6L 2026款 2.0T 臻选型,奥迪A6L 2026款 45 TFSI 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 2.0T 尊享型,奥迪A6L 2026款 2.0T quattro 尊享型,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2026款 3.0T quattro 旗舰型
,厂商指导价(元),42.79万 计算器,32.29万 计算器,45.49万 计算器,47.99万 计算器,49.98万 计算器,35.29万 计算器,38.79万 计算器,55.89万 计算器,43.59万 计算器
,经销商报价,29.10万起,31.99万起,30.48万起,32.15万起,34.99万起,34.99万起,38.49万起,41.36万起,43.29万起
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油+48V轻混系统,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-10-16,2026-03-25,2025-10-16,2025-10-16,2025-10-16,2026-03-25,2026-03-25,2025-10-16,2026-03-25
基本参数,最大功率(kW),140,150,180,180,180,200,-,250,-
基本参数,最大扭矩(N·m),320,340,370,370,370,400,-,500,-
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 190马力 L4,2.0T 204马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,3.0T 340马力 V6,3.0T 367马力 V6
基本参数,电动机(Ps),-,-,-,-,-,-,24,-,24
基本参数,长*宽*高(mm),5050*1886*1475,5142*1874*1464,5050*1886*1475,5050*1886*1475,5050*1886*1475,5142*1874*1464,5142*1874*1464,5050*1886*1475,5142*1874*1464
基本参数,官方0-100km/h加速(s),9.2,8,7.4,7.2,7.2,7.2,5.8,5.6,4.6
基本参数,最高车速(km/h),230,237,250,250,250,250,250,250,250
基本参数,WLTC综合油耗(L/100km),7.02,6.98,7.3,7.78,7.78,7.17,6.59,8.5,6.87
