セクション,項目,五菱宏光 2025款 1.5L 实用型 5座,五菱宏光 2025款 1.5L 舒适型 7座,五菱宏光 2021款 改款 1.5L S基本型 液压助力LAR,五菱宏光 2021款 改款1.5L S基本型 电动助力LAR,五菱宏光 2021款 改款 1.5L S基本型封窗车 液压助力LAR,五菱宏光 2021款 改款1.5L S基本型封窗车 电动助力LAR,五菱宏光 2021款 改款 1.5L S标准型 液压助力LAR,五菱宏光 2021款 改款1.5L S标准型 电动助力LAR,五菱宏光 2021款 改款 1.5L S舒适型 液压助力LAR,五菱宏光 2021款 改款1.5L S舒适型 电动助力LAR,五菱宏光 2020款 1.2L S基本型国VI LSI,五菱宏光 2020款 1.2L S基本型封窗车国VI LSI
,厂商指导价(元),5.48万 计算器,5.78万 计算器,5.39万 计算器,5.39万 计算器,5.465万 计算器,5.485万 计算器,5.69万 计算器,5.69万 计算器,6.09万 计算器,6.09万 计算器,4.60万 计算器,4.685万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-10,2025-11-10,2022-07-04,2021-10-22,2022-07-04,2021-10-22,2022-07-04,2021-10-22,2022-07-04,2021-10-22,2020-03-09,2020-03-09
基本参数,最大功率(kW),81,81,73,73,73,73,73,73,73,73,56,56
基本参数,最大扭矩(N·m),145,145,140,140,140,140,140,140,140,140,110,110
基本参数,变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动
基本参数,车身结构,客车,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,货车
基本参数,发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.2L 76马力 L4,1.2L 76马力 L4
基本参数,长*宽*高(mm),4515*1725*1790,4515*1725*1790,4420×1685×1755,4420×1685×1755,4420×1685×1755,4420×1685×1755,4420×1685×1770,4420×1685×1770,4420×1685×1770,4420×1685×1770,4390×1660×1750,4390×1660×1750
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),155,155,155,155,155,155,155,155,155,155,120,120
基本参数,NEDC综合油耗(L/100km),-,-,6.5,6.5,6.7,6.7,6.5,6.5,6.5,6.5,6.6,6.6
基本参数,WLTC综合油耗(L/100km),6.7,6.7,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,● 三年或6万公里,● 三年或6万公里
基本参数,整备质量(kg),1215,1260,-,-,-,-,-,-,-,-,1185,1151
基本参数,最大满载质量(kg),1825,1825,-,-,-,-,-,-,-,-,-,-
车身,长度(mm),4515,4515,4420,4420,4420,4420,4420,4420,4420,4420,4390,4390
车身,宽度(mm),1725,1725,1685,1685,1685,1685,1685,1685,1685,1685,1660,1660
车身,高度(mm),1790,1790,1755,1755,1755,1755,1770,1770,1770,1770,1750,1750
车身,轴距(mm),2850,2850,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
车身,前轮距(mm),-,-,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
车身,后轮距(mm),-,-,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
车身,车身结构,客车,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,货车
车身,车门开启方式,平开门,平开门,-,-,-,-,-,-,-,-,-,-
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 7,● 5/7/8,● 5/7/8,● 2,● 2,● 5/7/8,● 5/7/8,● 5/7/8,● 5/7/8,● 5/7/8,● 2
车身,油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
车身,后排车门开启方式,-,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门,● 平开门
发动机,发动机型号,LC2,LC2,LAR,LAR,LAR,LAR,LAR,LAR,LAR,LAR,LSI,LSI
