セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5L 実用型 5人乗り,2025年モデル 1.5L 快適型 7人乗り,2021年モデル 改良版 1.5L S基本型封閉車 液圧パワーLAR,2021年モデル 改良版 1.5L S基本型 液圧パワーLAR,2021年モデル 改良版 1.5L S標準型 液圧パワーLAR,2021年モデル 改良版 1.5L S快適型 液圧パワーLAR,2021年モデル 改良版 1.5L S基本型封閉車 電動パワーLAR,2021年モデル 改良版 1.5L S基本型 電動パワーLAR,2021年モデル 改良版 1.5L S標準型 電動パワーLAR,2021年モデル 改良版 1.5L S快適型 電動パワーLAR,2020年モデル 1.2L S基本型 国VI LSI,2020年モデル 1.2L S基本型封閉車 国VI LSI
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.48万元（日本円 約1,150,800円）","5.78万元（日本円 約1,213,800円）","5.465万元（日本円 約1,147,650円）","5.39万元（日本円 約1,131,900円）","5.69万元（日本円 約1,194,900円）","6.09万元（日本円 約1,278,900円）","5.485万元（日本円 約1,151,850円）","5.39万元（日本円 約1,131,900円）","5.69万元（日本円 約1,194,900円）","6.09万元（日本円 約1,278,900円）","4.60万元（日本円 約966,000円）","4.685万元（日本円 約983,850円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン,軽バン
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-11-10,2025-11-10,2022-07-04,2022-07-04,2022-07-04,2022-07-04,2021-10-22,2021-10-22,2021-10-22,2021-10-22,2020-03-09,2020-03-09
基本参数,基本仕様,最大功率(kW),最大出力(kW),81,81,73,73,73,73,73,73,73,73,56,56
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),145,145,140,140,140,140,140,140,140,140,110,110
基本参数,基本仕様,变速箱,トランスミッション,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,6速マニュアル,5速マニュアル,5速マニュアル
基本参数,基本仕様,车身结构,ボディ構造,乗用車,乗用車,貨物車,乗用車,乗用車,乗用車,貨物車,乗用車,乗用車,乗用車,乗用車,貨物車
基本参数,基本仕様,发动机,エンジン,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.5L 99馬力 L4,1.2L 76馬力 L4,1.2L 76馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4515×1725×1790,4515×1725×1790,4420×1685×1755,4420×1685×1755,4420×1685×1770,4420×1685×1770,4420×1685×1755,4420×1685×1755,4420×1685×1770,4420×1685×1770,4390×1660×1750,4390×1660×1750
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),155,155,155,155,155,155,155,155,155,155,120,120
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,6.7,6.5,6.5,6.5,6.7,6.5,6.5,6.5,6.6,6.6
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.7,6.7,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,● 3年または6万km,● 3年または6万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1215,1260,-,-,-,-,-,-,-,-,1185,1151
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1825,1825,-,-,-,-,-,-,-,-,-,-
车身,車体,长度(mm),全長(mm),4515,4515,4420,4420,4420,4420,4420,4420,4420,4420,4390,4390
车身,車体,宽度(mm),全幅(mm),1725,1725,1685,1685,1685,1685,1685,1685,1685,1685,1660,1660
车身,車体,高度(mm),全高(mm),1790,1790,1755,1755,1770,1770,1755,1755,1770,1770,1750,1750
车身,車体,轴距(mm),ホイールベース(mm),2850,2850,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
车身,車体,前轮距(mm),前トレッド(mm),-,-,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
车身,車体,后轮距(mm),後トレッド(mm),-,-,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
车身,車体,车身结构,ボディ構造,乗用車,乗用車,貨物車,乗用車,乗用車,乗用車,貨物車,乗用車,乗用車,乗用車,乗用車,貨物車
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,-,-,-,-,-,-,-,-,-,-
