セクション,項目,五菱荣光 2021款 1.5L加长基本型L3C,五菱荣光 2021款 1.5L加长标准型助力版L3C,五菱荣光 2021款 1.5L加长标准型空调版L3C,五菱荣光 2021款 1.5L加长基本型封窗车2座L3C,五菱荣光 2021款 1.5L加长基本型封窗车5座L3C,五菱荣光 2021款 1.5L加长标准型封窗车助力版2座L3C,五菱荣光 2021款 1.5L加长标准型封窗车助力版5座L3C,五菱荣光 2021款 1.5L加长标准型封窗车空调版2座L3C,五菱荣光 2021款 1.5L加长标准型封窗车空调版5座L3C
,厂商指导价(元),5.10万 计算器,5.39万 计算器,5.65万 计算器,5.10万 计算器,5.34万 计算器,5.56万 计算器,5.59万 计算器,5.725万 计算器,5.755万 计算器
,经销商报价,3.40万起,3.69万起,3.95万起,3.40万起,3.64万起,3.86万起,3.89万起,4.03万起,4.06万起
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微面,微面,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30
基本参数,最大功率(kW),73,73,73,73,73,73,73,73,73
基本参数,最大扭矩(N·m),135,135,135,135,135,135,135,135,135
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
基本参数,车身结构,客车,客车,客车,货车,货车,货车,货车,货车,货车
基本参数,发动机,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4
基本参数,长*宽*高(mm),4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),105,105,105,105,105,105,105,105,105
基本参数,NEDC综合油耗(L/100km),6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
基本参数,整车质保,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里
基本参数,整备质量(kg),1270,1270,1270,1220,1250,1220,1250,1220,1250
基本参数,最大满载质量(kg),-,-,-,-,-,-,-,-,-
车身,长度(mm),4490,4490,4490,4490,4490,4490,4490,4490,4490
车身,宽度(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,高度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050
车身,前轮距(mm),1386,1386,1386,1386,1386,1386,1386,1386,1386
车身,后轮距(mm),1408,1408,1408,1408,1408,1408,1408,1408,1408
车身,车身结构,客车,客车,客车,货车,货车,货车,货车,货车,货车
车身,车门开启方式,-,-,-,-,-,-,-,-,-
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 2,● 5,● 2,● 5,● 2,● 5
车身,油箱容积(L),45,45,45,45,45,45,45,45,45
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
车身,后排车门开启方式,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门
发动机,发动机型号,L3C,L3C,L3C,L3C,L3C,L3C,L3C,L3C,L3C
发动机,排量(mL),1485,1485,1485,1485,1485,1485,1485,1485,1485
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),99,99,99,99,99,99,99,99,99
发动机,最大功率(kW),73,73,73,73,73,73,73,73,73
发动机,最大功率转速(rpm),5400,5400,5400,5400,5400,5400,5400,5400,5400
发动机,最大扭矩(N·m),135,135,135,135,135,135,135,135,135
发动机,最大扭矩转速(rpm),3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000
发动机,最大净功率(kW),-,-,-,-,-,-,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
变速箱,挡位个数,5,5,5,5,5,5,5,5,5
变速箱,变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
底盘转向,驱动方式,● 中置后驱,● 中置后驱,● 中置后驱,● 中置后驱,● 中置后驱,● 中置后驱,● 中置后驱,● 中置后驱,● 中置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 无助力,● 电动助力,● 电动助力,● 无助力,● 无助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,-,-,-,-,-,-,-,-,-
车轮制动,前轮胎规格,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14
车轮制动,后轮胎规格,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,-,-,-,-,-,-
主动安全,安全带未系提醒,-,-,-,-,-,-,-,-,-
主动安全,ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,-,-,-,-,-,-,-,-,-
驾驶硬件,驾驶辅助影像,-,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢
外观/防盗,侧滑门形式,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动
