セクション,セクション_ja,項目,項目_ja,2021年モデル 1.5Lロング基本型L3C,2021年モデル 1.5Lロング標準型パワーステアリング版L3C,2021年モデル 1.5Lロング標準型エアコン付L3C,2021年モデル 1.5Lロング基本型窓封閉車2人乗りL3C,2021年モデル 1.5Lロング基本型窓封閉車5人乗りL3C,2021年モデル 1.5Lロング標準型窓封閉車パワーステアリング版2人乗りL3C,2021年モデル 1.5Lロング標準型窓封閉車パワーステアリング版5人乗りL3C,2021年モデル 1.5Lロング標準型窓封閉車エアコン付2人乗りL3C,2021年モデル 1.5Lロング標準型窓封閉車エアコン付5人乗りL3C
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.10万元（日本円 約1,071,000円）","5.39万元（日本円 約1,131,900円）","5.65万元（日本円 約1,186,500円）","5.10万元（日本円 約1,071,000円）","5.34万元（日本円 約1,121,400円）","5.56万元（日本円 約1,167,600円）","5.59万元（日本円 約1,173,900円）","5.725万元（日本円 約1,202,250円）","5.755万元（日本円 約1,208,550円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"3.40万元（日本円 約714,000円）","3.69万元（日本円 約774,900円）","3.95万元（日本円 約829,500円）","3.40万元（日本円 約714,000円）","3.64万元（日本円 約764,400円）","3.86万元（日本円 約810,600円）","3.89万元（日本円 約816,900円）","4.03万元（日本円 約846,300円）","4.06万元（日本円 約852,600円）"
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,軽商用車,軽商用車,軽商用車,軽商用車,軽商用車,軽商用車,軽商用車,軽商用車,軽商用車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30
基本参数,基本仕様,最大功率(kW),最大出力(kW),73,73,73,73,73,73,73,73,73
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),135,135,135,135,135,135,135,135,135
基本参数,基本仕様,变速箱,トランスミッション,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル
