セクション,項目,五菱之光 2023款 1.5L 实用型 5/7座,五菱之光 2023款 1.5L 实用型封窗版 2座,五菱之光 2020款 1.2L 实用型 国VI LSI,五菱之光 2020款 1.2L 厢式运输车实用型 国VI 2座 LSI,五菱之光 2020款 1.2L 厢式运输车实用型 国VI 5座 LSI
,厂商指导价(元),3.79万 计算器,3.79万 计算器,3.51万 计算器,3.65万 计算器,3.68万 计算器
,经销商报价,3.79万起,3.79万起,3.51万起,3.65万起,3.68万起
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微面,微面,微面,微面,微面
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2023-04-03,2023-04-03,2020-03-09,2020-05-26,2020-05-26
基本参数,最大功率(kW),75,75,56,56,56
基本参数,最大扭矩(N·m),136,136,108,108,108
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
基本参数,车身结构,客车,货车,客车,货车,货车
基本参数,发动机,1.5L 102马力 L4,1.5L 102马力 L4,1.2L 76马力 L4,1.2L 76马力 L4,1.2L 76马力 L4
基本参数,长*宽*高(mm),3797*1510*1820,3797*1510*1820,3797×1510×1820,3797×1510×1835,3797×1510×1835
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,最高车速(km/h),115,115,100,100,100
基本参数,NEDC综合油耗(L/100km),6.8,6,6.3,6,6
基本参数,整车质保,-,-,-,-,-
基本参数,整备质量(kg),990,971,997,930,949
基本参数,最大满载质量(kg),1600,1600,-,-,-
车身,长度(mm),3797,3797,3797,3797,3797
车身,宽度(mm),1510,1510,1510,1510,1510
车身,高度(mm),1820,1820,1820,1835,1835
车身,轴距(mm),2500,2500,2500,2500,2500
车身,前轮距(mm),1290,1290,1290,1290,1290
车身,后轮距(mm),1290,1290,1290,1290,1290
车身,最小转弯半径(m),5.1,5.1,-,-,-
车身,车身结构,客车,货车,客车,货车,货车
车身,车门开启方式,-,-,-,-,-
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5/7,● 2,● 5/7,● 2,● 5
车身,油箱容积(L),38,38,38,38,38
车身,后备厢容积(L),-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-
车身,后排车门开启方式,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门
发动机,发动机型号,LAR,LAR,LSI,LSI,LSI
发动机,排量(mL),1485,1485,1206,1206,1206
发动机,排量(L),1.5,1.5,1.2,1.2,1.2
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,压缩比,10.2,10.2,10.2,10.2,10.2
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),102,102,76,76,76
发动机,最大功率(kW),75,75,56,56,56
发动机,最大功率转速(rpm),-,-,5600,5600,5600
发动机,最大扭矩(N·m),136,136,108,108,108
发动机,最大扭矩转速(rpm),-,-,3600-4200,3600-4200,3600-4200
发动机,最大净功率(kW),-,-,-,-,-
