セクション,項目,菱智 2025款 M5 1.6L 标准型 65L 5座CNG,菱智 2025款 M5 1.6L 标准型 110L 5座CNG,菱智 2025款 M5 1.6L 标准型 110L 7座CNG,菱智 2025款 M5 1.6L 基本型 110L 7座CNG,菱智 2025款 M5 1.6L 舒适型 110L 7座CNG,菱智 2025款 M5 1.6L 营运型 110L 7座CNG,菱智 2025款 M5 1.6L 营运型 110L 8座CNG,菱智 2025款 M5 1.6L 短轴实用型 5座,菱智 2025款 M5 1.6L 短轴实用型 7座,菱智 2025款 M5 1.6L 长轴基本型 5座,菱智 2025款 M5 1.6L 长轴基本型 7座,菱智 2025款 M5 1.6L 长轴舒适型 7座,菱智 2025款 M5 1.6L 长轴舒适型 9座,菱智 2025款 M5 1.6L 长轴豪华型 7座,菱智 2025款 M5 1.6L 长轴营运版 7座,菱智 2025款 M5 1.6L 长轴营运版 9座,菱智 2025款 V3 1.6L 长轴基本型 2座,菱智 2025款 M5 1.5T 长轴基本型 7座,菱智 2025款 M5 1.5T 长轴舒适型 7座,菱智 2025款 M5 1.5T 长轴舒适型 9座,菱智 2025款 M5 1.5T 长轴豪华型 7座,菱智 2024款 M5L 1.5T 手动基本型 7座,菱智 2024款 M5L 1.5T 手动舒适型 7座,菱智 2024款 M5L 1.5T 手动舒适型 9座,菱智 2024款 M5L 1.5T 手动豪华型 7座,菱智 2024款 M5 1.6L 标准型5座CNG,菱智 2024款 M5 1.6L 标准型7座CNG
,厂商指导价(元),6.89万 计算器,7.05万 计算器,7.19万 计算器,7.49万 计算器,8.19万 计算器,9.89万 计算器,9.99万 计算器,5.99万 计算器,6.39万 计算器,6.59万 计算器,6.99万 计算器,7.69万 计算器,7.79万 计算器,8.69万 计算器,9.69万 计算器,9.99万 计算器,6.69万 计算器,7.49万 计算器,8.29万 计算器,8.49万 计算器,9.39万 计算器,7.49万 计算器,8.29万 计算器,8.49万 计算器,9.39万 计算器,6.89万 计算器,6.99万 计算器
,经销商报价,6.69万起,6.85万起,6.99万起,7.29万起,7.99万起,9.69万起,9.79万起,4.99万起,6.19万起,6.39万起,6.79万起,7.49万起,7.59万起,8.49万起,9.49万起,9.79万起,6.49万起,7.29万起,8.09万起,8.29万起,9.19万起,7.19万起,7.99万起,8.19万起,9.09万起,6.69万起,6.69万起
基本参数,厂商,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行
基本参数,级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
基本参数,能源类型,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-09,2025-08-11,2025-08-11,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2023-08-02,2023-08-02,2023-08-02,2023-08-02,2024-11-22,2024-11-22
基本参数,最大功率(kW),75,75,75,75,75,75,75,85,85,85,85,85,85,85,85,85,85,140,140,140,140,140,140,140,140,75,75
基本参数,最大扭矩(N·m),140,140,140,140,140,140,140,160,160,160,160,160,160,160,160,160,160,300,300,300,300,300,300,300,300,140,140
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动
基本参数,车身结构,4门5座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门5座MPV,4门7座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门2座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门5座MPV,4门7座MPV
基本参数,发动机,1.6L 102马力 L4,1.6L 102马力 L4,1.6L 102马力 L4,1.6L 102马力 L4,1.6L 102马力 L4,1.6L 102马力 L4,1.6L 102马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.6L 116马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.5T 190马力 L4,1.6L 102马力 L4,1.6L 102马力 L4
基本参数,长*宽*高(mm),5135*1720*1980,5135*1720*1980,5135*1720*1980,5135*1720*1970,5135*1720*1970,5135*1720*1980,5135*1720*1980,4735*1720*1955,4735*1720*1955,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5145*1720*1975,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1970,5135*1720*1980,5135*1720*1980
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,100,100,140,160,160,160,160,160,160,160,160,140,140
基本参数,WLTC综合油耗(L/100km),8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.3,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.59,8.59
