セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L e HEV クラシック版,2026年モデル 2.0L e HEV コンフォート版,2026年モデル 2.0L e HEV ラグジュアリーブラックジャズ版,2026年モデル 2.0L e HEV プレミアムブラックジャズ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"24.98万元（日本円 約5,245,800円）","26.88万元（日本円 約5,644,800円）","27.88万元（日本円 約5,854,800円）","30.38万元（日本円 約6,379,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"21.98万元（日本円 約4,615,800円）","23.88万元（日本円 約5,014,800円）","24.88万元（日本円 約5,224,800円）","27.38万元（日本円 約5,749,800円）"
基本参数,基本仕様,厂商,メーカー,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ
基本参数,基本仕様,级别,クラス,ミドルサイズMPV,ミドルサイズMPV,ミドルサイズMPV,ミドルサイズMPV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-08-26,2025-08-26,2025-08-26,2025-08-26
基本参数,基本仕様,最大功率(kW),最大出力(kW),158,158,158,158
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,2.0L 146馬力 直列4気筒,2.0L 146馬力 直列4気筒,2.0L 146馬力 直列4気筒,2.0L 146馬力 直列4気筒
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),184,184,184,184
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4951×1842×1711（mm）,4951×1842×1711（mm）,4951×1842×1711（mm）,4951×1842×1711（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.17,6.17,6.17,6.17
