セクション,項目,胜达 2026款 2.0T 探索家Air,胜达 2026款 2.0T 探索家Pro,胜达 2026款 2.0T 鉴赏家Pro Max,胜达 2026款 2.0T 鉴赏家Ultra,胜达 2024款 2.0T 探索家Air,胜达 2024款 2.0T 探索家Pro,胜达 2024款 2.0T 鉴赏家Pro,胜达 2024款 2.0T 鉴赏家Pro Max,胜达 2024款 2.0T 鉴赏家Ultra
,厂商指导价(元),19.58万 计算器,21.88万 计算器,24.58万 计算器,26.88万 计算器,19.58万 计算器,21.88万 计算器,23.58万 计算器,24.58万 计算器,26.88万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2024-08-30,2024-08-30,2024-08-30,2024-08-30,2024-08-30
基本参数,最大功率(kW),182,182,182,182,182,182,182,182,182
基本参数,最大扭矩(N·m),353,353,353,353,353,353,353,353,353
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4,2.0T 247马力 L4
基本参数,长*宽*高(mm),4830*1900*1770,4830*1900*1770,4830*1900*1780,4830*1900*1780,4830*1900*1770,4830*1900*1770,4830*1900*1780,4830*1900*1780,4830*1900*1780
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),210,210,210,210,210,210,210,210,210
基本参数,WLTC综合油耗(L/100km),8.05,8.43,8.76,9.38,8.05,8.43,8.76,8.76,9.38
