セクション,項目,哈弗H9 2026款 2.4T 柴油四驱拓境版,哈弗H9 2026款 2.4T 柴油四驱极境版,哈弗H9 2026款 2.0T 汽油四驱探境版,哈弗H9 2026款 2.0T 汽油四驱拓境版,哈弗H9 2026款 2.0T 汽油四驱极境版,哈弗H9 2025款 2.4T 柴油四驱穿越版,哈弗H9 2025款 2.0T 汽油四驱勇士版,哈弗H9 2025款 2.4T 柴油四驱勇士版,哈弗H9 2024款 2.0T 汽油四驱探境版,哈弗H9 2024款 2.0T 汽油四驱拓境版,哈弗H9 2024款 2.0T 汽油四驱极境版,哈弗H9 2024款 2.4T 柴油四驱拓境版,哈弗H9 2024款 2.4T 柴油四驱极境版
,厂商指导价(元),23.39万 计算器,24.79万 计算器,19.99万 计算器,21.59万 计算器,22.99万 计算器,25.79万 计算器,23.99万 计算器,25.79万 计算器,19.99万 计算器,21.59万 计算器,22.99万 计算器,23.39万 计算器,24.79万 计算器
,经销商报价,20.89万起,22.29万起,17.49万起,19.09万起,20.49万起,23.29万起,21.49万起,23.29万起,17.49万起,19.09万起,20.49万起,20.89万起,22.29万起
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,柴油,柴油,汽油,汽油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,柴油,柴油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-28,2026-04-28,2026-04-28,2026-04-28,2026-04-28,2025-12-11,2025-08-26,2025-08-26,2024-09-25,2024-09-25,2024-09-25,2024-12-05,2024-12-05
基本参数,最大功率(kW),137,137,165,165,165,137,165,137,165,165,165,137,137
基本参数,最大扭矩(N·m),490,490,385,385,385,490,385,490,385,385,385,490,490
基本参数,变速箱,9挡手自一体,9挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,9挡手自一体,8挡手自一体,9挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.4T 186马力 L4,2.4T 186马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.4T 186马力 L4,2.0T 224马力 L4,2.4T 186马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.4T 186马力 L4,2.4T 186马力 L4
基本参数,长*宽*高(mm),5070*1976*1950,5070*1960*1950,5070*1976*1950,5070*1976*1950,5070*1960*1950,5070*1976*1960,5070*1960*1930,5070*1960*1930,5070*1976*1930,5070*1976*1930,5070*1960*1930,5070*1976*1930,5070*1960*1930
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),170,170,180,180,180,170,180,170,180,180,180,170,170
