セクション,項目,途安 2022款 途安L 280TSI DSG舒适版 7座,途安 2022款 途安L 280TSI DSG拓界版 7座,途安 2022款 途安L 280TSI DSG拓界版 6座,途安 2022款 途安L 280TSI DSG拓界豪华版 7座,途安 2022款 途安L 280TSI DSG拓界豪华版 6座
,厂商指导价(元),16.68万 计算器,17.88万 计算器,17.88万 计算器,19.58万 计算器,19.58万 计算器
,经销商报价,11.18万起,12.38万起,12.38万起,14.08万起,14.08万起
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2023-10-24,2023-10-24,2023-10-24,2023-10-24,2023-10-24
基本参数,最大功率(kW),110,110,110,110,110
基本参数,最大扭矩(N·m),250,250,250,250,250
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,5门7座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV
基本参数,发动机,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4
基本参数,长*宽*高(mm),4527*1829*1659,4537*1834*1682,4537*1834*1682,4537*1834*1682,4537*1834*1682
基本参数,官方0-100km/h加速(s),9.9,9.9,9.9,9.9,9.9
基本参数,最高车速(km/h),190,190,190,190,190
基本参数,WLTC综合油耗(L/100km),6.46,6.67,6.67,6.67,6.67
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1515,1575,1565,1575,1565
基本参数,最大满载质量(kg),2055,2115,2105,2115,2105
车身,长度(mm),4527,4537,4537,4537,4537
车身,宽度(mm),1829,1834,1834,1834,1834
车身,高度(mm),1659,1682,1682,1682,1682
车身,轴距(mm),2791,2791,2791,2791,2791
车身,前轮距(mm),1569,1563,1563,1563,1563
车身,后轮距(mm),1542,1535,1535,1535,1535
车身,满载最小离地间隙(mm),120,143,143,143,143
车身,接近角(°),15,16,16,16,16
车身,离去角(°),15,17,17,17,17
车身,车身结构,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 6,● 7,● 6
车身,油箱容积(L),60,60,60,60,60
车身,后备厢容积(L),137-1857,137-1857,137-1857,137-1857,137-1857
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,EA211-DUT,EA211-DUT,EA211-DUT,EA211-DUT,EA211-DUT
发动机,排量(mL),1395,1395,1395,1395,1395
发动机,排量(L),1.4,1.4,1.4,1.4,1.4
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,150,150,150
发动机,最大功率(kW),110,110,110,110,110
发动机,最大功率转速(rpm),5000-5500,5000-5500,5000-5500,5000-5500,5000-5500
发动机,最大扭矩(N·m),250,250,250,250,250
发动机,最大扭矩转速(rpm),1750-3000,1750-3000,1750-3000,1750-3000,1750-3000
发动机,最大净功率(kW),110,110,110,110,110
发动机,能源类型,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架
