セクション,項目,艾瑞泽5 2025款 卓越版 1.5L 手动风尚型,艾瑞泽5 2025款 卓越版 1.5L CVT风尚型,
,厂商指导价(元),5.99万 计算器,6.99万 计算器,–
,经销商报价,4.69万起,5.29万起,–
基本参数,厂商,奇瑞汽车,奇瑞汽车,–
基本参数,级别,紧凑型车,紧凑型车,–
基本参数,能源类型,汽油,汽油,–
基本参数,环保标准,国VI,国VI,–
基本参数,上市时间,2025-06-09,2025-06-09,–
基本参数,最大功率(kW),88,88,–
基本参数,最大扭矩(N·m),148,148,–
基本参数,变速箱,5挡手动,CVT无级变速(模拟9挡),–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,–
基本参数,发动机,1.5L 120马力 L4,1.5L 120马力 L4,–
基本参数,长*宽*高(mm),4572*1825*1482,4572*1825*1482,–
基本参数,官方0-100km/h加速(s),-,-,–
基本参数,最高车速(km/h),180,180,–
基本参数,WLTC综合油耗(L/100km),6.4,6.6,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,–
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
基本参数,整备质量(kg),1221,1249,–
基本参数,最大满载质量(kg),1635,1635,–
车身,长度(mm),4572,4572,–
车身,宽度(mm),1825,1825,–
车身,高度(mm),1482,1482,–
车身,轴距(mm),2670,2670,–
车身,前轮距(mm),1556,1556,–
车身,后轮距(mm),1542,1542,–
车身,满载最小离地间隙(mm),117,117,–
车身,车身结构,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 4,● 4,–
车身,座位数(个),● 5,● 5,–
车身,油箱容积(L),48,48,–
车身,后备厢容积(L),430,430,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,SQRG4G15,SQRG4G15,–
发动机,排量(mL),1498,1498,–
发动机,排量(L),1.5,1.5,–
发动机,进气形式,自然吸气,自然吸气,–
发动机,发动机布局,横置,横置,–
发动机,气缸排列形式,L,L,–
发动机,气缸数(个),4,4,–
发动机,每缸气门数(个),4,4,–
发动机,配气机构,DOHC,DOHC,–
发动机,最大马力(Ps),120,120,–
发动机,最大功率(kW),88,88,–
发动机,最大功率转速(rpm),6300,6300,–
发动机,最大扭矩(N·m),148,148,–
发动机,最大扭矩转速(rpm),4900,4900,–
发动机,最大净功率(kW),80,80,–
发动机,发动机特有技术,DVVT,DVVT,–
发动机,能源类型,汽油,汽油,–
发动机,燃油标号,92号,92号,–
发动机,供油方式,多点电喷,多点电喷,–
发动机,缸盖材料,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,–
变速箱,简称,5挡手动,CVT无级变速(模拟9挡),–
变速箱,挡位个数,5,9,–
变速箱,变速箱类型,手动变速箱(MT),无级变速箱(CVT),–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
