セクション,セクション_ja,項目,項目_ja,2026年モデル レンジローバー イヴォーク L SE,2026年モデル レンジローバー イヴォーク L HSE,2024年モデル レンジローバー イヴォーク L SE 光駆尊耀版,2024年モデル レンジローバー イヴォーク L HSE 凝光限定版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"42.98万元（日本円 約9,025,800円）","47.58万元（日本円 約9,991,800円）","42.98万元（日本円 約9,025,800円）","47.58万元（日本円 約9,991,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"21.98万元（日本円 約4,615,800円）","24.98万元（日本円 約5,245,800円）","21.98万元（日本円 約4,615,800円）","24.98万元（日本円 約5,245,800円）"
基本参数,基本仕様,厂商,メーカー,奇瑞ジャガー・ランドローバー,奇瑞ジャガー・ランドローバー,奇瑞ジャガー・ランドローバー,奇瑞ジャガー・ランドローバー
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制対応,国6排ガス規制対応,国6排ガス規制対応,国6排ガス規制対応
基本参数,基本仕様,上市时间,発売時期,2025-10-14,2025-10-14,2024-04-25,2024-04-25
基本参数,基本仕様,最大功率(kW),最大出力(kW),183,183,183,183
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),365,365,365,365
基本参数,基本仕様,变速箱,トランスミッション,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
