セクション,項目,帝豪 2027款 第5代 1.5L i-HEV智擎混动驭风版,帝豪 2027款 第5代 1.5L i-HEV智擎混动追光版,帝豪 2027款 第5代 1.5L i-HEV智擎混动登峰版,帝豪 2027款 向上 1.5L 手动豪华型,帝豪 2027款 向上 1.5L CVT舒适型,帝豪 2027款 向上 1.5L CVT豪华型,帝豪 2026款 第5代 1.5L CVT豪华型,帝豪 2026款 第5代 1.5L CVT尊贵型,帝豪 2026款 第5代 1.5T DCT尊贵型,帝豪 2026款 第5代 1.5T DCT旗舰型,帝豪 2026款 400万纪念款 1.5L 手动超越型,帝豪 2026款 400万纪念款 1.5L CVT星耀型,帝豪 2026款 400万纪念款 1.5L CVT超越型,帝豪 2026款 400万纪念款 1.5L CVT飞越型,帝豪 2025款 1.5L 手动星耀版
,厂商指导价(元),8.79万 计算器,9.39万 计算器,9.79万 计算器,6.89万 计算器,7.29万 计算器,7.79万 计算器,7.49万 计算器,7.99万 计算器,8.79万 计算器,9.19万 计算器,6.89万 计算器,7.29万 计算器,7.79万 计算器,8.29万 计算器,6.29万 计算器
,经销商报价,7.89万起,8.49万起,8.89万起,5.59万起,5.89万起,6.49万起,6.59万起,7.09万起,7.89万起,8.29万起,5.39万起,5.89万起,6.29万起,6.79万起,4.88万起
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-06-16,2026-06-16,2026-06-16,2026-05-24,2026-05-24,2026-05-24,2025-11-18,2025-11-18,2025-11-18,2025-11-18,2025-07-09,2025-12-31,2025-07-09,2025-07-09,2024-07-23
基本参数,最大功率(kW),-,-,-,88,88,88,88,88,133,133,88,88,88,88,93
基本参数,最大扭矩(N·m),-,-,-,150,150,150,150,150,290,290,150,150,150,150,152
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),5挡手动
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
