セクション,項目,凯迪拉克CT6 2026款 28T 臻享版,凯迪拉克CT6 2026款 28T 奢享版,凯迪拉克CT6 2026款 28T 旗舰版,
,厂商指导价(元),36.99万 计算器,39.99万 计算器,42.99万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,–
基本参数,级别,中大型车,中大型车,中大型车,–
基本参数,能源类型,汽油,汽油,汽油,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2025-10-22,2025-10-22,2025-10-22,–
基本参数,最大功率(kW),174,174,174,–
基本参数,最大扭矩(N·m),350,350,350,–
基本参数,变速箱,10挡手自一体,10挡手自一体,10挡手自一体,–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,–
基本参数,发动机,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4,–
基本参数,长*宽*高(mm),5223*1890*1473,5223*1890*1480,5223*1890*1480,–
基本参数,官方0-100km/h加速(s),7.47,7.47,7.47,–
基本参数,最高车速(km/h),230,230,230,–
基本参数,WLTC综合油耗(L/100km),7.59,7.66,7.66,–
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,–
基本参数,整备质量(kg),1745,1760,1760,–
基本参数,最大满载质量(kg),2200,2220,2220,–
车身,长度(mm),5223,5223,5223,–
车身,宽度(mm),1890,1890,1890,–
车身,高度(mm),1473,1480,1480,–
车身,轴距(mm),3109,3109,3109,–
车身,前轮距(mm),1618,1631,1631,–
车身,后轮距(mm),1634,1652,1652,–
车身,最小离地间隙(mm),111,111,111,–
车身,接近角(°),13,14,14,–
车身,离去角(°),13,13,13,–
车身,最小转弯半径(m),5.9,5.85,5.85,–
车身,车身结构,三厢车,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 4,● 4,● 4,–
车身,座位数(个),● 5,● 5,● 5,–
车身,油箱容积(L),72,72,72,–
车身,后备厢容积(L),508,508,508,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,LSY,LSY,LSY,–
发动机,排量(mL),1998,1998,1998,–
发动机,排量(L),2.0,2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,–
发动机,发动机布局,纵置,纵置,纵置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),237,237,237,–
发动机,最大功率(kW),174,174,174,–
发动机,最大功率转速(rpm),5000,5000,5000,–
发动机,最大扭矩(N·m),350,350,350,–
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,–
发动机,最大净功率(kW),169,169,169,–
