セクション,セクション_ja,項目,項目_ja,2026年モデル 28T 臻享版,2026年モデル 28T 奢享版,2026年モデル 28T 旗舰版,Unnamed 5
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）","42.99万元（日本円 約9,027,900円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"28.99万元（日本円 約6,087,900円）","30.99万元（日本円 約6,507,900円）","32.99万元（日本円 約6,927,900円）",–
基本参数,基本仕様,厂商,メーカー,上汽通用キャデラック,上汽通用キャデラック,上汽通用キャデラック,–
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,–
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,–
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,–
基本参数,基本仕様,上市时间,発売時期,2025-10-22,2025-10-22,2025-10-22,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),174,174,174,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),350,350,350,–
基本参数,基本仕様,变速箱,トランスミッション,10速AT,10速AT,10速AT,–
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,–
基本参数,基本仕様,发动机,エンジン,2.0T 237馬力 L4,2.0T 237馬力 L4,2.0T 237馬力 L4,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5223×1890×1473,5223×1890×1480,5223×1890×1480,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.47,7.47,7.47,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),230,230,230,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.59,7.66,7.66,–
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),1745,1760,1760,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2200,2220,2220,–
车身,車体,长度(mm),全長(mm),5223,5223,5223,–
车身,車体,宽度(mm),全幅(mm),1890,1890,1890,–
车身,車体,高度(mm),全高(mm),1473,1480,1480,–
车身,車体,轴距(mm),ホイールベース(mm),3109,3109,3109,–
车身,車体,前轮距(mm),前トレッド(mm),1618,1631,1631,–
车身,車体,后轮距(mm),後トレッド(mm),1634,1652,1652,–
车身,車体,最小离地间隙(mm),最低地上高(mm),111,111,111,–
车身,車体,接近角(°),アプローチアングル(°),13,14,14,–
车身,車体,离去角(°),デパーチャーアングル(°),13,13,13,–
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.85,5.85,–
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,–
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,–
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,–
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,–
车身,車体,油箱容积(L),燃料タンク容量(L),72,72,72,–
车身,車体,后备厢容积(L),トランク容量(L),508,508,508,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,–
发动机,エンジン,发动机型号,エンジン型式,LSY,LSY,LSY,–
发动机,エンジン,排量(mL),排気量(mL),1998,1998,1998,–
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,–
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,–
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,–
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,–
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,–
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,–
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,–
发动机,エンジン,最大马力(Ps),最高出力(Ps),237,237,237,–
发动机,エンジン,最大功率(kW),最大出力(kW),174,174,174,–
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5000,–
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),350,350,350,–
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1500-4000,1500-4000,–
发动机,エンジン,最大净功率(kW),最大出力(kW),169,169,169,–
发动机,エンジン,发动机特有技术,エンジン独自技術,Tripower可変バルブ制御技術搭載,Tripower可変バルブ制御技術搭載,Tripower可変バルブ制御技術搭載,–
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,–
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,–
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,–
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,–
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,–
发动机,エンジン,环保标准,環境基準,国VI,国VI,国VI,–
变速箱,トランスミッション,简称,略称,10速AT,10速AT,10速AT,–
变速箱,トランスミッション,挡位个数,段数,10,10,10,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（手自一体）,AT（手自一体）,AT（手自一体）,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック,モノコック,モノコック,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/50 R18,● 245/45 R19,● 245/45 R19,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/50 R18,● 245/45 R19,● 245/45 R19,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前● / 後なし,前● / 後なし,前● / 後なし,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前● / 後●,前● / 後●,前● / 後●,–
被动安全,衝突安全,缺气保用轮胎,パンク応急用タイヤ,●,●,●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,–
