セクション,項目,捷豹XFL 2025款 2.0T P250 两驱尊享豪华版,捷豹XFL 2025款 2.0T P300 四驱90周年典藏版,
,厂商指导价(元),43.99万 计算器,48.99万 计算器,–
,经销商报价,暂无报价,暂无报价,–
基本参数,厂商,奇瑞捷豹路虎,奇瑞捷豹路虎,–
基本参数,级别,中大型车,中大型车,–
基本参数,能源类型,汽油,汽油,–
基本参数,环保标准,国VI,国VI,–
基本参数,上市时间,2025-08-05,2025-08-05,–
基本参数,最大功率(kW),184,221,–
基本参数,最大扭矩(N·m),365,400,–
基本参数,变速箱,8挡手自一体,8挡手自一体,–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,–
基本参数,发动机,2.0T 250马力 L4,2.0T 300马力 L4,–
基本参数,长*宽*高(mm),5102*1890*1456,5102*1890*1456,–
基本参数,官方0-100km/h加速(s),7.4,6.4,–
基本参数,最高车速(km/h),240,250,–
基本参数,WLTC综合油耗(L/100km),8.18,8.36,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,–
基本参数,整备质量(kg),1835,1915,–
基本参数,最大满载质量(kg),2290,2350,–
车身,长度(mm),5102,5102,–
车身,宽度(mm),1890,1890,–
车身,高度(mm),1456,1456,–
车身,轴距(mm),3100,3100,–
车身,前轮距(mm),1605,1605,–
车身,后轮距(mm),1609,1609,–
车身,最小转弯半径(m),6,6,–
车身,车身结构,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 4,● 4,–
车身,座位数(个),● 5,● 5,–
车身,油箱容积(L),74,74,–
车身,后备厢容积(L),443,443,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,PT204,PT204,–
发动机,排量(mL),1997,1997,–
发动机,排量(L),2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,–
发动机,发动机布局,纵置,纵置,–
发动机,气缸排列形式,L,L,–
发动机,气缸数(个),4,4,–
发动机,每缸气门数(个),4,4,–
发动机,配气机构,DOHC,DOHC,–
发动机,最大马力(Ps),250,300,–
发动机,最大功率(kW),184,221,–
发动机,最大功率转速(rpm),5500,5500,–
发动机,最大扭矩(N·m),365,400,–
发动机,最大扭矩转速(rpm),1300-4500,1500-4500,–
发动机,最大净功率(kW),184,221,–
发动机,能源类型,汽油,汽油,–
发动机,燃油标号,95号,95号,–
发动机,供油方式,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,–
变速箱,简称,8挡手自一体,8挡手自一体,–
变速箱,挡位个数,8,8,–
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),–
底盘转向,驱动方式,● 前置后驱,● 前置四驱,–
底盘转向,四驱形式,-,● 适时四驱,–
底盘转向,中央差速器结构,-,● 多片离合器,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 245/40 R19,● 255/35 R20,–
车轮制动,后轮胎规格,● 245/40 R19,● 255/35 R20,–
车轮制动,备胎规格,● 无,● 非全尺寸,–
车轮制动,备胎放置方式,-,● 后备厢内,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,被动行人保护,●,●,–
被动安全,缺气保用轮胎,●,-,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
