セクション,セクション_ja,項目,項目_ja,2025年モデル 2.0T P250 2WD 尊享豪華版,2025年モデル 2.0T P300 4WD 90周年記念版,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"43.99万元（日本円 約9,237,900円）","48.99万元（日本円 約10,287,900円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"22.29万元（日本円 約4,680,900円）","26.97万元（日本円 約5,663,700円）",–
基本参数,基本仕様,厂商,メーカー,奇瑞ジャガー・ランドローバー,奇瑞ジャガー・ランドローバー,–
基本参数,基本仕様,级别,クラス,中大型車,中大型車,–
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,–
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,–
基本参数,基本仕様,上市时间,発売時期,2025-08-05,2025-08-05,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),184,221,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),365,400,–
基本参数,基本仕様,变速箱,トランスミッション,8速AT,8速AT,–
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,–
基本参数,基本仕様,发动机,エンジン,2.0T 250馬力 L4,2.0T 300馬力 L4,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5102×1890×1456(mm),5102×1890×1456(mm),–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.4,6.4,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),240,250,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.18,8.36,–
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),1835,1915,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2290,2350,–
车身,車体,长度(mm),全長(mm),5102,5102,–
车身,車体,宽度(mm),全幅(mm),1890,1890,–
车身,車体,高度(mm),全高(mm),1456,1456,–
车身,車体,轴距(mm),ホイールベース(mm),3100,3100,–
车身,車体,前轮距(mm),前トレッド(mm),1605,1605,–
车身,車体,后轮距(mm),後トレッド(mm),1609,1609,–
车身,車体,最小转弯半径(m),最小回転半径(m),6,6,–
车身,車体,车身结构,ボディ構造,セダン,セダン,–
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,–
车身,車体,车门数(个),ドア数(枚),● 4本,● 4本,–
车身,車体,座位数(个),乗車定員(名),● 5本,● 5本,–
车身,車体,油箱容积(L),燃料タンク容量(L),74,74,–
车身,車体,后备厢容积(L),トランク容量(L),443,443,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
发动机,エンジン,发动机型号,エンジン型式,PT204,PT204,–
发动机,エンジン,排量(mL),排気量(mL),1997,1997,–
