セクション,項目,传祺M8 2025款 宗师系列 超级混动版,传祺M8 2024款 领秀系列 390T 豪华版,传祺M8 2024款 领秀系列 390T 尊享版,传祺M8 2024款 大师系列 400T 尊贵版,传祺M8 2024款 宗师系列 400T 先锋版,传祺M8 2024款 宗师系列 400T 至尊版,传祺M8 2024款 宗师系列 400T 科技关爱版,传祺M8 2024款 大师系列 超级混动版,传祺M8 2023款 宗师系列 400T 旗舰版,传祺M8 2026款 HEV尊贵版,传祺M8 2026款 HEV至尊版
,厂商指导价(元),28.68万 计算器,17.98万 计算器,19.28万 计算器,22.98万 计算器,29.58万 计算器,26.98万 计算器,32.68万 计算器,26.68万 计算器,28.98万 计算器,预售,预售
,经销商报价,25.68万起,14.98万起,16.28万起,19.98万起,26.58万起,23.98万起,29.68万起,23.68万起,25.98万起,22.98万起,24.98万起
基本参数,厂商,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024-11-09,2024-05-28,2024-05-28,2023-07-15,2024-02-24,2024-05-31,2024-09-19,2024-05-31,2022-11-08,-,-
基本参数,最大功率(kW),-,185,185,185,185,185,185,-,185,-,-
基本参数,最大扭矩(N·m),-,390,390,400,400,400,400,-,400,-,-
基本参数,变速箱,2挡DHT,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,2挡DHT,8挡自动,2挡DHT,2挡DHT
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,2.0T 190马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 190马力 L4,2.0T 252马力 L4,2.0T 190马力 L4,2.0T 190马力 L4
基本参数,电动机(Ps),182,-,-,-,-,-,-,182,-,0,0
基本参数,长*宽*高(mm),5212*1893*1823,5089*1884*1822,5089*1884*1822,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),170,200,200,200,200,200,200,170,200,170,170
基本参数,NEDC综合油耗(L/100km),-,-,-,8.54,8.54,8.54,8.54,-,8.54,-,-
基本参数,WLTC综合油耗(L/100km),6.15,8.85,8.85,8.95,8.95,8.95,8.95,6.15,8.95,6.15,6.15
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-,-
基本参数,整备质量(kg),2245,2020,2020,2060,2150,2150,2230,2245,2150,2241,2275
基本参数,最大满载质量(kg),2890,2600,2600,2790,2790,2790,-,2890,2790,-,-
车身,长度(mm),5212,5089,5089,5212,5212,5212,5212,5212,5212,5212,5212
车身,宽度(mm),1893,1884,1884,1893,1893,1893,1893,1893,1893,1893,1893
车身,高度(mm),1823,1822,1822,1823,1823,1823,1823,1823,1823,1823,1823
车身,轴距(mm),3070,3000,3000,3070,3070,3070,3070,3070,3070,3070,3070
车身,前轮距(mm),1628,1620,1620,1628,1628,1628,1628,1628,1628,1628,1628
车身,后轮距(mm),1638,1635,1635,1638,1638,1638,1638,1638,1638,1638,1638
车身,接近角(°),12,13,13,14,12,12,12,14,12,12,12
车身,离去角(°),16,14,14,17,16,16,16,17,16,16,16
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),65,65,65,65,65,65,65,65,65,65,65
车身,后备厢容积(L),516-1586,-,-,516-1586,516-1586,516-1586,516-1586,516-1586,516-1586,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,4B20J2,4B20J1,4B20J1,4B20J1,4B20J1,4B20J1,4B20J1,4B20J2,4B20J1,4B20J2,4B20J2
发动机,排量(mL),1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
