セクション,項目,宝马5系新能源 2022款 535Le 豪华套装,宝马5系新能源 2022款 535Le M运动套装,宝马5系新能源 2022款 改款 535Le 豪华套装,宝马5系新能源 2022款 改款 535Le M运动套装,宝马5系新能源 2022款 改款二 535Le 豪华套装,宝马5系新能源 2022款 改款二 535Le M运动套装,宝马5系新能源 2022款 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款二 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款三 535Le 先锋版M运动套装
,厂商指导价(元),49.99万 计算器,49.99万 计算器,49.99万 计算器,49.99万 计算器,50.95万 计算器,50.95万 计算器,53.69万 计算器,53.69万 计算器,53.69万 计算器,54.65万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2021-08-26,2021-08-26,2021-10-27,2021-10-27,2022-08-17,2022-08-17,2021-08-26,2021-10-27,2022-01-10,2022-08-17
基本参数,NEDC纯电续航里程(km),95,95,95,95,95,95,95,95,95,95
基本参数,WLTC纯电续航里程(km),73,73,73,73,73,73,73,73,73,73
基本参数,电池慢充时间(小时),3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
基本参数,最大功率(kW),215,215,215,215,215,215,215,215,215,215
基本参数,最大扭矩(N·m),420,420,420,420,420,420,420,420,420,420
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4
基本参数,电动机(Ps),109,109,109,109,109,109,109,109,109,109
基本参数,长*宽*高(mm),5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490,5106*1868*1490
基本参数,官方0-100km/h加速(s),6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
基本参数,最高车速(km/h),225,225,225,225,225,225,225,225,225,225
基本参数,NEDC综合油耗(L/100km),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
基本参数,WLTC综合油耗(L/100km),-,-,2.16,2.16,2.16,2.16,-,-,2.16,2.16
基本参数,最低荷电状态油耗(L/100km),6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
基本参数,电能当量燃料消耗量(L/100km),-,-,1.7,1.7,1.7,1.7,-,-,1.7,1.7
