セクション,項目,领克03 2026款 1.5TD DCT Plus,领克03 2026款 1.5TD DCT Pro,领克03 2026款 1.5TD DCT Halo,领克03 2026款 2.0TD 自动 Ultra,领克03 2026款 2.0TD 大尾翼版,领克03 2026款 03+ 2.0TD 自动 性能进阶版,领克03 2026款 03+ 2.0TD Racing版,领克03 2026款 03+ 2.0TD TCR版
,厂商指导价(元),12.18万 计算器,12.68万 计算器,13.68万 计算器,15.68万 计算器,15.98万 计算器,23.88万 计算器,28.88万 计算器,42.03万 计算器
,经销商报价,10.38万起,10.88万起,11.88万起,13.88万起,14.18万起,22.08万起,27.88万起,42.03万起
基本参数,厂商,领克,领克,领克,领克,领克,领克,领克,领克
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2026-03-05,2025-10-17,2025-10-17,2025-10-17
基本参数,最大功率(kW),133,133,133,200,200,227,257,257
基本参数,最大扭矩(N·m),290,290,290,400,400,420,450,450
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门2座三厢车
基本参数,发动机,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 309马力 L4,2.0T 350马力 L4,2.0T 350马力 L4
基本参数,长*宽*高(mm),4700*1843*1460,4700*1843*1460,4700*1843*1460,4700*1843*1460,4700*1843*1460,4710*1843*1450,4712*1878*1450,4720*1877*1446
基本参数,官方0-100km/h加速(s),-,-,-,6.5,6.5,-,-,-
基本参数,最高车速(km/h),205,205,205,250,250,250,250,250
基本参数,WLTC综合油耗(L/100km),6.35,6.35,6.35,7.59,7.59,8.90,8.90,8.60
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 三年或6万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-
基本参数,整备质量(kg),1470,1470,1512,1560,1560,1645,1645,1495
基本参数,最大满载质量(kg),1930,1930,1930,1980,1980,2100,2100,1750
车身,长度(mm),4700,4700,4700,4700,4700,4710,4712,4720
车身,宽度(mm),1843,1843,1843,1843,1843,1843,1878,1877
车身,高度(mm),1460,1460,1460,1460,1460,1450,1450,1446
车身,轴距(mm),2730,2730,2730,2730,2730,2730,2730,2730
车身,前轮距(mm),1597,1597,1597,1597,1597,1587,1587,1587
车身,后轮距(mm),1597,1597,1597,1597,1597,1587,1587,1587
车身,最小离地间隙(mm),146,146,146,132,132,112,112,114
车身,接近角(°),13,13,13,13,13,11,11,10
车身,离去角(°),14,14,14,14,14,14,18,16
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 2
车身,油箱容积(L),50,50,50,50,50,50,50,50
车身,后备厢容积(L),405,405,405,405,405,414,414,482
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,JLH-4G20TDH,JLH-4G20TDH,B4204L43,B4204L43,B4204L43
发动机,排量(mL),1499,1499,1499,1969,1969,1969,1969,1969
发动机,排量(L),1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,机械+涡轮增压,机械+涡轮增压,机械+涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),181,181,181,272,272,309,350,350
发动机,最大功率(kW),133,133,133,200,200,227,257,257
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,6000,6000,6000
发动机,最大扭矩(N·m),290,290,290,400,400,420,450,450
发动机,最大扭矩转速(rpm),2000-3500,2000-3500,2000-3500,2000-4000,2000-4000,3000-4500,3000-5000,3000-5000
发动机,最大净功率(kW),128,128,128,195,195,220,250,250
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,7,7,7,8,8,8,8,8
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱
底盘转向,四驱形式,-,-,-,-,-,● 适时四驱,● 适时四驱,-
底盘转向,中央差速器结构,-,-,-,-,-,● 多片离合器,● 多片离合器,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
