セクション,項目,蔚来ES8 2026款 五座行政豪华版,蔚来ES8 2026款 七座行政豪华版,蔚来ES8 2026款 六座行政豪华版,蔚来ES8 2026款 五座行政签名版,蔚来ES8 2026款 六座行政签名版
,厂商指导价(元),38.28万 计算器,40.68万 计算器,40.68万 计算器,42.28万 计算器,44.68万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,蔚来,蔚来,蔚来,蔚来,蔚来
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-07-09,2025-09-20,2025-09-20,2026-07-09,2025-09-20
基本参数,CLTC纯电续航里程(km),655,635,635,655,635
基本参数,最大功率(kW),520,520,520,520,520
基本参数,最大扭矩(N·m),700,700,700,700,700
基本参数,车身结构,5门5座SUV,5门7座SUV,5门6座SUV,5门5座SUV,5门6座SUV
基本参数,电动机(Ps),707,707,707,707,707
基本参数,长*宽*高(mm),5280*2010*1800,5280*2010*1800,5280*2010*1800,5280*2010*1800,5280*2010*1800
基本参数,官方0-100km/h加速(s),3.9,3.97,3.97,3.9,3.97
基本参数,官方100-0km/h制动(m),34.9,34.9,34.9,34.9,34.9
基本参数,最高车速(km/h),220,220,220,220,220
基本参数,电能当量燃料消耗量(L/100km),1.89,1.93,1.93,1.89,1.93
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,首任车主质保政策,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2590,2630,2630,2590,2630
基本参数,最大满载质量(kg),3075,3250,3250,3075,3250
车身,长度(mm),5280,5280,5280,5280,5280
车身,宽度(mm),2010,2010,2010,2010,2010
车身,高度(mm),1800,1800,1800,1800,1800
车身,轴距(mm),3130,3130,3130,3130,3130
车身,前轮距(mm),1720,1720,1720,1720,1720
车身,后轮距(mm),1733,1733,1733,1733,1733
车身,接近角(°),17,17,17,17,17
车身,离去角(°),18,18,18,18,18
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 7,● 6,● 5,● 6
车身,前备厢容积(L),230,230,230,230,230
车身,后备厢容积(L),1334-2845,547-3230,547-1561,1334-2845,547-1561
车身,风阻系数(Cd),0.259,0.259,0.259,0.259,0.259
电动机,前电动机品牌,蔚来动力,蔚来动力,蔚来动力,蔚来动力,蔚来动力
电动机,后电动机品牌,蔚来动力,蔚来动力,蔚来动力,蔚来动力,蔚来动力
电动机,前电动机型号,YS198S003,YS198S003,YS198S003,YS198S003,YS198S003
电动机,后电动机型号,TZ198Y001,TZ198Y001,TZ198Y001,TZ198Y001,TZ198Y001
电动机,电机类型,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),520,520,520,520,520
电动机,电动机总马力(Ps),707,707,707,707,707
电动机,电动机总扭矩(N·m),700,700,700,700,700
电动机,前电动机最大功率(kW),180,180,180,180,180
电动机,前电动机最大扭矩(N·m),300,300,300,300,300
电动机,后电动机最大功率(kW),340,340,340,340,340
电动机,后电动机最大扭矩(N·m),400,400,400,400,400
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 十年不限里程（责任免除条款以官方为准）,● 十年不限里程（责任免除条款以官方为准）,● 十年不限里程（责任免除条款以官方为准）,● 十年不限里程（责任免除条款以官方为准）,● 十年不限里程（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,"● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)"
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,换电,支持,支持,支持,支持,支持
电池/充电,CLTC纯电续航里程(km),655,635,635,655,635
电池/充电,电池能量(kWh),102,102,102,102,102
电池/充电,百公里耗电量(kWh/100km),16.3,16.6,16.6,16.3,16.6
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),420,420,420,420,420
电池/充电,高压快充,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,900,900,900,900,900
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 265/45 R21
○ 265/40 R22 (1.50万元)","● 265/45 R21
○ 265/40 R22 (1.50万元)","● 265/45 R21
○ 265/40 R22 (1.50万元)",● 265/40 R22,● 265/40 R22
车轮制动,后轮胎规格,"● 265/45 R21
○ 265/40 R22","● 265/45 R21
○ 265/40 R22","● 265/45 R21
○ 265/40 R22",● 265/40 R22,● 265/40 R22
车轮制动,备胎规格,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●
被动安全,后排座椅防下滑气囊,-,-,●,-,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●,●
驾驶操控,空气悬挂类型,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔
驾驶操控,魔毯智能悬架,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 神玑NX9031,● 神玑NX9031,● 神玑NX9031,● 神玑NX9031,● 神玑NX9031
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万
