セクション,項目,瑞虎5x 2025款 1.5L 手动卓越版,瑞虎5x 2025款 1.5L CVT卓越版,瑞虎5x 2025款 高能版 1.5T 手动标准型,瑞虎5x 2025款 高能版 1.5T CVT舒适型,瑞虎5x 2025款 高能版 1.5T CVT豪华型,瑞虎5x 2024款 惠民版 1.5L 手动都市型,瑞虎5x 2024款 惠民版 1.5L 手动时尚型,瑞虎5x 2024款 惠民版 1.5L CVT时尚型,瑞虎5x 2024款 1.5L CVT新锐版
,厂商指导价(元),6.29万 计算器,6.79万 计算器,6.99万 计算器,7.79万 计算器,8.39万 计算器,5.99万 计算器,6.99万 计算器,7.99万 计算器,9.99万 计算器
,经销商报价,5.69万起,5.99万起,6.99万起,6.99万起,7.59万起,5.59万起,5.99万起,6.99万起,8.99万起
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-04-21,2025-02-08,2024-12-23,2024-12-23,2024-12-23,2024-04-30,2024-04-30,2024-04-30,2024-03-29
基本参数,最大功率(kW),88,88,115,115,115,88,88,88,88
基本参数,最大扭矩(N·m),148,148,230,230,230,148,148,148,148
基本参数,变速箱,5挡手动,CVT无级变速(模拟9挡),6挡手动,CVT无级变速,CVT无级变速,5挡手动,5挡手动,CVT无级变速(模拟9挡),CVT无级变速(模拟9挡)
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 120马力 L4,1.5L 120马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4
基本参数,长*宽*高(mm),4358*1830*1670,4358*1830*1670,4400*1830*1588,4400*1830*1588,4400*1830*1588,4358*1830*1670,4358*1830*1670,4358*1830*1670,4358*1830*1670
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),175,165,191,191,191,175,175,165,165
基本参数,WLTC综合油耗(L/100km),6.98,7.07,6.9,7.3,7.3,6.98,6.98,6.78,6.78
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1272,1325,1420,1420,1420,1272,1272,1325,1325
基本参数,最大满载质量(kg),1759,1759,1840,1840,1840,1759,1759,1759,1759
车身,长度(mm),4358,4358,4400,4400,4400,4358,4358,4358,4358
车身,宽度(mm),1830,1830,1830,1830,1830,1830,1830,1830,1830
车身,高度(mm),1670,1670,1588,1588,1588,1670,1670,1670,1670
车身,轴距(mm),2630,2630,2630,2630,2630,2630,2630,2630,2630
车身,前轮距(mm),1550,1550,1550,1550,1550,1550,1550,1550,1550
车身,后轮距(mm),1550,1550,1550,1550,1550,1550,1550,1550,1550
车身,接近角(°),20,20,20,20,20,20,20,20,20
车身,离去角(°),24,24,23,23,23,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,-,-,-,51,51,51,51
车身,后备厢容积(L),-,-,360-992,360-992,360-992,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,SQRG4G15,SQRG4G15,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRG4G15,SQRG4G15,SQRG4G15,SQRG4G15
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),120,120,156,156,156,120,120,120,120
发动机,最大功率(kW),88,88,115,115,115,88,88,88,88
发动机,最大功率转速(rpm),6300,6300,5500,5500,5500,6300,6300,6300,6300
发动机,最大扭矩(N·m),148,148,230,230,230,148,148,148,148
发动机,最大扭矩转速(rpm),4900,4900,1750-4000,1750-4000,1750-4000,4900,4900,4900,4900
发动机,最大净功率(kW),80,80,108,108,108,80,80,80,80
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
