セクション,項目,缤瑞 2024款 缤瑞COOL 1.5T DCT冠军版,缤瑞 2024款 缤瑞COOL 1.5T DCT龙腾版,缤瑞 2022款 缤瑞COOL 1.5T DCT电掣版,缤瑞 2022款 缤瑞COOL 1.5T DCT雷霆版
,厂商指导价(元),8.98万 计算器,9.48万 计算器,9.98万 计算器,10.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2023-08-28,2024-03-08,2022-05-20,2022-05-20
基本参数,最大功率(kW),133,133,133,133
基本参数,最大扭矩(N·m),290,290,290,290
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4
基本参数,长*宽*高(mm),4710*1795*1455,4710*1795*1455,4710*1795*1455,4710*1795*1455
基本参数,官方0-100km/h加速(s),7.1,7.1,7.1,7.1
基本参数,最高车速(km/h),210,210,210,210
基本参数,WLTC综合油耗(L/100km),5.9,5.9,5.9,5.9
基本参数,实测0-100km/h加速(s),-,-,-,8.05
基本参数,实测100-0km/h制动(m),-,-,-,41.05
基本参数,实测油耗(L/100km),-,-,-,8.9
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),1325,1325,1325,1325
基本参数,最大满载质量(kg),1715,1715,1715,1715
车身,长度(mm),4710,4710,4710,4710
车身,宽度(mm),1795,1795,1795,1795
车身,高度(mm),1455,1455,1455,1455
车身,轴距(mm),2670,2670,2670,2670
车身,前轮距(mm),1536,1536,1536,1536
车身,后轮距(mm),1538,1538,1538,1538
车身,接近角(°),14,14,14,14
车身,离去角(°),19,19,19,19
车身,最小转弯半径(m),5.35,5.35,5.35,5.35
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50
车身,后备厢容积(L),480,480,480,480
车身,风阻系数(Cd),-,-,-,-
