セクション,項目,新海狮X30L CNG 2025款 120L 冠军版客车 中央空调6/7座,新海狮X30L CNG 2025款 120L 冠军版客车 无空调6/7座,新海狮X30L CNG 2025款 120L 冠军版厢车 前置空调2/5座,新海狮X30L CNG 2025款 120L 冠军版厢车 无空调2/5座,新海狮X30L CNG 2023款 70L CNG财富版客车6/7座无空调SWCC15M,新海狮X30L CNG 2023款 70L CNG财富版客车6/7座中央空调版SWCC15M,新海狮X30L CNG 2023款 70L CNG厢货2/5座无空调SWCC15M,新海狮X30L CNG 2023款 70L CNG厢货2/5座 空调版,新海狮X30L CNG 2023款 100L CNG财富版 客车6/7座无空调SWCC15M,新海狮X30L CNG 2023款 100L CNG财富版客车6/7座中央空调版SWCC15M,新海狮X30L CNG 2023款 100L CNG财富版厢货2/5座无空调SWCC15M,新海狮X30L CNG 2023款 100L CNG财富版厢货2/5座空调版SWCC15M
,厂商指导价(元),5.99万 计算器,5.69万 计算器,5.89万 计算器,5.69万 计算器,5.69万 计算器,5.99万 计算器,5.69万 计算器,5.89万 计算器,5.89万 计算器,6.19万 计算器,5.89万 计算器,6.09万 计算器
,经销商报价,5.99万起,5.69万起,5.89万起,5.69万起,5.69万起,5.99万起,5.69万起,5.89万起,5.89万起,6.19万起,5.89万起,6.09万起
基本参数,厂商,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车
基本参数,级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-05-07,2025-05-07,2025-05-07,2025-05-07,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21
基本参数,最大功率(kW),63,63,63,63,63,63,63,63,63,63,63,63
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
