セクション,セクション_ja,項目,項目_ja,2025年モデル 120L チャンピオン版バス 中央空調6 7人乗り,2025年モデル 120L チャンピオン版バス 無空調6 7人乗り,2025年モデル 120L チャンピオン版バン 前置空調2 5人乗り,2025年モデル 120L チャンピオン版バン 無空調2 5人乗り,2023年モデル 70L CNG フォーチュン版バス6 7人乗り 無空調 SWCC15M,2023年モデル 70L CNG フォーチュン版バス6 7人乗り 中央空調版 SWCC15M,2023年モデル 70L CNG バン2 5人乗り 無空調 SWCC15M,2023年モデル 70L CNG バン2 5人乗り 空調版,2023年モデル 100L CNG フォーチュン版バス6 7人乗り 無空調 SWCC15M,2023年モデル 100L CNG フォーチュン版バス6 7人乗り 中央空調版 SWCC15M,2023年モデル 100L CNG フォーチュン版バン2 5人乗り 無空調 SWCC15M,2023年モデル 100L CNG フォーチュン版バン2 5人乗り 空調版 SWCC15M
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.99万元（日本円 約1,257,900円）","5.69万元（日本円 約1,194,900円）","5.89万元（日本円 約1,236,900円）","5.69万元（日本円 約1,194,900円）","5.69万元（日本円 約1,194,900円）","5.99万元（日本円 約1,257,900円）","5.69万元（日本円 約1,194,900円）","5.89万元（日本円 約1,236,900円）","5.89万元（日本円 約1,236,900円）","6.19万元（日本円 約1,299,900円）","5.89万元（日本円 約1,236,900円）","6.09万元（日本円 約1,278,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"5.99万元（日本円 約1,257,900円）","5.69万元（日本円 約1,194,900円）","5.89万元（日本円 約1,236,900円）","5.69万元（日本円 約1,194,900円）","5.69万元（日本円 約1,194,900円）","5.99万元（日本円 約1,257,900円）","5.69万元（日本円 約1,194,900円）","5.89万元（日本円 約1,236,900円）","5.89万元（日本円 約1,236,900円）","6.19万元（日本円 約1,299,900円）","5.89万元（日本円 約1,236,900円）","6.09万元（日本円 約1,278,900円）"
基本参数,基本仕様,厂商,メーカー,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車,シンユアン自動車
基本参数,基本仕様,级别,クラス,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2025-05-07,2025-05-07,2025-05-07,2025-05-07,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21,2023-03-21
基本参数,基本仕様,最大功率(kW),最大出力(kW),63,63,63,63,63,63,63,63,63,63,63,63
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル
基本参数,基本仕様,车身结构,ボディ構造,乗用車,乗用車,貨物車,貨物車,乗用車,乗用車,貨物車,貨物車,乗用車,乗用車,貨物車,貨物車
