セクション,項目,微蓝6 2024款 430km 舒享版,微蓝6 2024款 450km 舒享Plus版,微蓝6 2024款 430km 越享版,微蓝6 2024款 450km 越享Plus版,微蓝6 2024款 450km 出行版
,厂商指导价(元),11.28万 计算器,11.28万 计算器,11.58万 计算器,11.78万 计算器,16.89万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2023-10-13,2024-07-08,2023-10-13,2024-07-08,2024-06-07
基本参数,CLTC纯电续航里程(km),430,450,430,450,450
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5
基本参数,电池慢充时间(小时),8.5,8.5,8.5,8.5,8.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),130,130,130,130,130
基本参数,最大扭矩(N·m),265,265,265,265,265
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),177,177,177,177,177
基本参数,长*宽*高(mm),4673*1817*1519,4650*1817*1519,4673*1817*1519,4650*1817*1519,4650*1817*1519
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,官方0-50km/h加速(s),3,3,3,3,3
基本参数,最高车速(km/h),170,170,170,170,170
基本参数,电能当量燃料消耗量(L/100km),1.44,1.41,1.44,1.41,1.41
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1620,1640,1620,1640,1620
基本参数,最大满载质量(kg),2080,2080,2080,2080,2080
车身,长度(mm),4673,4650,4673,4650,4650
车身,宽度(mm),1817,1817,1817,1817,1817
车身,高度(mm),1519,1519,1519,1519,1519
车身,轴距(mm),2660,2660,2660,2660,2660
车身,前轮距(mm),1545,1545,1545,1545,1545
车身,后轮距(mm),1556,1556,1556,1556,1556
车身,接近角(°),15,15,15,15,15
车身,离去角(°),17,17,17,17,17
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),455-1098,455-1098,455-1098,455-1098,455-1098
车身,风阻系数(Cd),-,-,-,-,-
电动机,前电动机品牌,联合汽车,联合汽车,联合汽车,联合汽车,联合汽车
电动机,前电动机型号,TZ153XS136,TZ153XS136,TZ153XS136,TZ153XS136,TZ153XS136
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),130,130,130,130,130
电动机,电动机总马力(Ps),177,177,177,177,177
电动机,电动机总扭矩(N·m),265,265,265,265,265
电动机,前电动机最大功率(kW),130,130,130,130,130
电动机,前电动机最大扭矩(N·m),265,265,265,265,265
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代(时代上汽),● 宁德时代(时代上汽),● 宁德时代(时代上汽),● 宁德时代(时代上汽),● 宁德时代(时代上汽)
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),430,450,430,450,450
电池/充电,电池能量(kWh),50.3,50.3,50.3,50.3,50.3
电池/充电,百公里耗电量(kWh/100km),12.7,12.5,12.7,12.5,12.5
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),8.5,8.5,8.5,8.5,8.5
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车正前,车正前,车正前,车正前,车正前
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
