セクション,項目,奥迪Q5L 2026款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2026款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2026款 智混豪华型,奥迪Q5L 2026款 千万用户专享版,奥迪Q5L 2026款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2026款 智混尊享型,奥迪Q5L 2026款 智混旗舰型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 臻选动感型
,厂商指导价(元),34.98万 计算器,36.98万 计算器,30.98万 计算器,33.28万 计算器,39.98万 计算器,36.28万 计算器,38.48万 计算器,34.98万 计算器,36.98万 计算器,39.98万 计算器,42.98万 计算器
,经销商报价,26.23万起,27.73万起,30.98万起,33.28万起,29.98万起,36.28万起,38.48万起,25.19万起,26.63万起,28.79万起,30.95万起
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2026.01,2026.01,2025.10,2026.01,2026.01,2025.02,2025.02,2025.02,2025.02
基本参数,最大功率(kW),140,140,150,150,180,200,200,140,140,180,180
基本参数,最大扭矩(N·m),320,320,340,340,370,400,400,320,320,370,370
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 245马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 245马力 L4
基本参数,长*宽*高(mm),4770*1893*1667,4770*1893*1667,4842*1900*1660,4842*1900*1660,4770*1893*1667,4842*1900*1660,4842*1900*1660,4770*1893*1667,4770*1893*1667,4770*1893*1667,4770*1893*1667
基本参数,官方0-100km/h加速(s),9.1,9.1,7.1,7.1,7,5.8,5.8,9.1,9.1,7,7
基本参数,最高车速(km/h),211,211,220,220,230,240,240,211,211,230,230
基本参数,WLTC综合油耗(L/100km),7.77,7.77,6.8,6.98,7.96,7.19,7.19,7.77,7.77,7.96,8.08
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1870,1870,2043,2043,1875,2067,2067,1870,1870,1875,1915
基本参数,最大满载质量(kg),2355,2355,2530,2530,2355,2540,2540,2355,2355,2355,2395
车身,长度(mm),4770,4770,4842,4842,4770,4842,4842,4770,4770,4770,4770
车身,宽度(mm),1893,1893,1900,1900,1893,1900,1900,1893,1893,1893,1893
车身,高度(mm),1667,1667,1660,1660,1667,1660,1660,1667,1667,1667,1667
车身,轴距(mm),2907,2907,2945,2945,2907,2945,2945,2907,2907,2907,2907
车身,前轮距(mm),1616,1616,1621,1621,1616,1626,1626,1616,1616,1616,1616
车身,后轮距(mm),1610,1610,1613,1613,1610,1618,1618,1610,1610,1610,1610
车身,满载最小离地间隙(mm),166,166,159,159,166,162,162,166,166,166,166
车身,接近角(°),21,21,16,16,21,16,16,21,21,21,21
车身,离去角(°),23,23,21,21,23,22,22,23,23,23,23
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),73,73,68,68,73,68,68,73,73,73,73
车身,后备厢容积(L),550,550,494-1629,494-1629,550,494-1629,494-1629,550,550,550,550
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DTG,DTG,DXM,DXM,DTK,DXG,DXG,DTG,DTG,DTK,DTK
发动机,排量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),190,190,204,204,245,272,272,190,190,245,245
发动机,最大功率(kW),140,140,150,150,180,200,200,140,140,180,180
发动机,最大功率转速(rpm),4500-6250,4500-6250,4300-6000,4300-6000,5000-6000,5000-6500,5000-6500,4500-6250,4500-6250,5000-6000,5000-6000
发动机,最大扭矩(N·m),320,320,340,340,370,400,400,320,320,370,370
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,2000-4000,2000-4000,1600-4300,1600-4500,1600-4500,1500-4000,1500-4000,1600-4300,1600-4300
发动机,最大净功率(kW),140,140,150,150,180,200,200,140,140,180,180
发动机,发动机特有技术,-,-,米勒循环、可变截面涡轮,米勒循环、可变截面涡轮,-,米勒循环、可变截面涡轮,米勒循环、可变截面涡轮,-,-,-,-
发动机,能源类型,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 235/55 R19
○ 255/45 R20 (2000元)",● 255/45 R20,"● 235/55 R19
○ 255/40 R21 (7000元)
○ 255/45 R20 (3500元)","● 255/45 R20
○ 255/40 R21 (3500元)",● 255/45 R20,"● 255/45 R20
○ 255/40 R21 (3500元)",● 255/40 R21,"● 235/55 R19
○ 255/45 R20 (2000元)","● 235/55 R19
○ 255/45 R20 (2000元)",● 255/45 R20,● 255/45 R20
