セクション,項目,奥迪Q2L 2025款 35TFSI 进取动感型,奥迪Q2L 2025款 35TFSI 时尚动感型,奥迪Q2L 2024款 改款 35TFSI 进取致雅型,奥迪Q2L 2024款 改款 35TFSI 进取动感型,奥迪Q2L 2024款 改款 35TFSI 时尚致雅型,奥迪Q2L 2024款 改款 35TFSI 时尚动感型,奥迪Q2L 2024款 改款 35 TFSI RS套件燃速型,奥迪Q2L 2024款 改款 35TFSI 豪华致雅型,奥迪Q2L 2024款 改款 35TFSI 豪华动感型
,厂商指导价(元),17.18万 计算器,18.58万 计算器,17.18万 计算器,17.18万 计算器,18.58万 计算器,18.58万 计算器,19.28万 计算器,20.76万 计算器,21.00万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-08-15,2025-08-15,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02
基本参数,最大功率(kW),118,118,118,118,118,118,118,118,118
基本参数,最大扭矩(N·m),250,250,250,250,250,250,250,250,250
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4
基本参数,长*宽*高(mm),4270*1785*1547,4270*1785*1547,4257*1785*1547,4270*1785*1547,4257*1785*1547,4270*1785*1547,4270*1785*1547,4257*1785*1547,4270*1785*1547
基本参数,官方0-100km/h加速(s),9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1425,1425,1425,1425,1425,1425,1425,1425,1425
基本参数,最大满载质量(kg),1875,1875,1875,1875,1875,1875,1875,1875,1875
车身,长度(mm),4270,4270,4257,4270,4257,4270,4270,4257,4270
车身,宽度(mm),1785,1785,1785,1785,1785,1785,1785,1785,1785
车身,高度(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547
车身,轴距(mm),2628,2628,2628,2628,2628,2628,2628,2628,2628
车身,前轮距(mm),1543,1543,1543,1543,1543,1543,1543,1543,1543
车身,后轮距(mm),1545,1545,1545,1545,1545,1545,1545,1545,1545
车身,满载最小离地间隙(mm),142,142,142,142,142,142,142,142,142
车身,接近角(°),19,19,19,19,19,19,19,19,19
车身,离去角(°),22,22,22,22,22,22,22,22,22
车身,最小转弯半径(m),5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),347,347,347,347,347,347,347,347,347
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,DSV,DSV,DSV,DSV,DSV,DSV,DSV,DSV,DSV
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,160,160,160,160,160,160
发动机,最大功率(kW),118,118,118,118,118,118,118,118,118
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),250,250,250,250,250,250,250,250,250
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),118,118,118,118,118,118,118,118,118
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 215/50 R18
○ 235/40 R19 (1000元)","● 215/50 R18
○ 235/40 R19 (1000元)",● 215/50 R18,"● 215/50 R18
○ 235/40 R19 (3300元)",● 215/50 R18,"● 215/50 R18
○ 235/40 R19 (3300元)",● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,后轮胎规格,"● 215/50 R18
○ 235/40 R19","● 215/50 R18
○ 235/40 R19",● 215/50 R18,"● 215/50 R18
○ 235/40 R19",● 215/50 R18,"● 215/50 R18
○ 235/40 R19",● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●
