セクション,項目,AION S 2026款 炫530,AION S 2026款 炫 580,AION S 2026款 炫 畅行电池订阅版,
,厂商指导价(元),13.98万 计算器,13.98万 计算器,13.98万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,埃安,埃安,埃安,–
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,–
基本参数,能源类型,纯电动,纯电动,纯电动,–
基本参数,上市时间,2025-07-09,2025-07-09,2025-08-19,–
基本参数,CLTC纯电续航里程(km),430,505,503,–
基本参数,最大功率(kW),100,100,100,–
基本参数,最大扭矩(N·m),225,225,225,–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,–
基本参数,电动机(Ps),136,136,136,–
基本参数,长*宽*高(mm),4805*1880*1545,4805*1880*1545,4805*1880*1545,–
基本参数,官方0-100km/h加速(s),-,-,-,–
基本参数,最高车速(km/h),130,130,130,–
基本参数,电能当量燃料消耗量(L/100km),1.38,1.39,1.42,–
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,–
基本参数,整备质量(kg),1545,1610,1595,–
基本参数,最大满载质量(kg),2060,2135,2135,–
车身,长度(mm),4805,4805,4805,–
车身,宽度(mm),1880,1880,1880,–
车身,高度(mm),1545,1545,1545,–
车身,轴距(mm),2750,2750,2750,–
车身,前轮距(mm),1600,1600,1600,–
车身,后轮距(mm),1602,1602,1602,–
车身,接近角(°),13,13,13,–
车身,离去角(°),14,14,14,–
车身,车身结构,三厢车,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 4,● 4,● 4,–
车身,座位数(个),● 5,● 5,● 5,–
车身,后备厢容积(L),453,453,453,–
车身,风阻系数(Cd),-,-,-,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),100,100,100,–
电动机,电动机总马力(Ps),136,136,136,–
电动机,电动机总扭矩(N·m),225,225,225,–
电动机,前电动机最大功率(kW),100,100,100,–
电动机,前电动机最大扭矩(N·m),225,225,225,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,前置,前置,前置,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 时代上汽,–
电池/充电,换电,-,-,支持,–
电池/充电,CLTC纯电续航里程(km),430,505,503,–
电池/充电,电池能量(kWh),46.764,55.587/55.742/55.607,54,–
电池/充电,百公里耗电量(kWh/100km),11.9,12,12.2,–
电池/充电,慢充接口位置,车右后侧,车左前侧,-,–
电池/充电,快充接口位置,车左后侧,车左前侧,车左后侧,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 215/55 R17,–
