セクション,項目,五菱宏光V 2022款 1.2L劲取版液压助力LSI,五菱宏光V 2022款 1.2L劲享版液压助力LSI,五菱宏光V 2022款 1.2L劲取版封窗车液压助力LSI,五菱宏光V 2022款 1.2L劲取版电动助力LSI,五菱宏光V 2022款 1.2L劲享版电动助力LSI,五菱宏光V 2022款 1.2L劲取版封窗车电动助力LSI,五菱宏光V 2022款 1.5L劲取版液压助力LAR,五菱宏光V 2022款 1.5L劲享版液压助力LAR,五菱宏光V 2022款 1.5L劲取版封窗车液压助力LAR,五菱宏光V 2022款 1.5L劲取版电动助力LAR,五菱宏光V 2022款 1.5L劲享版电动助力LAR,五菱宏光V 2022款 1.5L劲取版封窗车电动助力LAR
,厂商指导价(元),4.46万~4.49万 计算器,4.78万~4.79万 计算器,4.49万 计算器,4.46万~4.49万 计算器,4.78万~4.79万 计算器,4.49万 计算器,4.66万~4.69万 计算器,5.28万 计算器,4.79万 计算器,4.66万~4.69万 计算器,5.28万 计算器,4.79万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2022-07-04,2022-07-04,2022-07-04,2022-06-14,2022-06-14,2022-06-14,2022-07-04,2022-07-04,2022-07-04,2022-06-14,2022-06-14,2022-06-14
基本参数,最大功率(kW),56,56,56,56,56,56,73,73,73,73,73,73
基本参数,最大扭矩(N·m),110,110,110,110,110,110,140,140,140,140,140,140
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
