セクション,項目,锐际 2024款 EcoBoost 245 两驱悠享款,锐际 2024款 EcoBoost 245 两驱耀享款,锐际 2024款 EcoBoost 245 四驱耀享款,锐际 2024款 EcoBoost 245 两驱越享款,锐际 2024款 EcoBoost 245 四驱纵享款ST-Line Pro
,厂商指导价(元),16.98万 计算器,17.98万 计算器,18.98万 计算器,19.98万 计算器,21.98万 计算器
,经销商报价,11.98万起,12.98万起,13.98万起,14.98万起,16.98万起
基本参数,厂商,长安福特,长安福特,长安福特,长安福特,长安福特
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2023-08-03,2023-08-03,2023-08-03,2023-08-03,2023-08-03
基本参数,最大功率(kW),182,182,182,182,182
基本参数,最大扭矩(N·m),393,393,393,393,393
基本参数,变速箱,8挡自动,8挡自动,8挡自动,8挡自动,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 248马力 L4,2.0T 248马力 L4,2.0T 248马力 L4,2.0T 248马力 L4,2.0T 248马力 L4
基本参数,长*宽*高(mm),4585*1882*1688,4585*1882*1688,4585*1882*1688,4585*1882*1688,4585*1882*1688
基本参数,官方0-100km/h加速(s),7.5,7.5,7.5,7.5,7.5
基本参数,最高车速(km/h),219,219,219,219,219
基本参数,WLTC综合油耗(L/100km),7.79,7.79,8,7.79,8.04
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1585,1585,1630,1585,1685
基本参数,最大满载质量(kg),1995,1995,2040,1995,2095
车身,长度(mm),4585,4585,4585,4585,4585
车身,宽度(mm),1882,1882,1882,1882,1882
车身,高度(mm),1688,1688,1688,1688,1688
车身,轴距(mm),2710,2710,2710,2710,2710
车身,前轮距(mm),1597,1597,1597,1597,1597
车身,后轮距(mm),1588,1588,1588,1588,1588
车身,接近角(°),22,22,22,22,22
车身,离去角(°),27,27,27,27,27
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),63,63,63,63,63
车身,后备厢容积(L),-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,CAF488WQE6,CAF488WQE6,CAF488WQE6,CAF488WQE6,CAF488WQE6
发动机,排量(mL),1999,1999,1999,1999,1999
发动机,排量(L),2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,压缩比,10,10,10,10,10
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),248,248,248,248,248
发动机,最大功率(kW),182,182,182,182,182
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),393,393,393,393,393
发动机,最大扭矩转速(rpm),2500-3500,2500-3500,2500-3500,2500-3500,2500-3500
发动机,最大净功率(kW),180,180,180,180,180
发动机,能源类型,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡自动,8挡自动,8挡自动,8挡自动,8挡手自一体
变速箱,挡位个数,8,8,8,8,8
