セクション,項目,MG7 2026款 1.5T 300 DCT优雅版,MG7 2026款 2.0T 405 AT奢享版,MG7 2026款 2.0T Trophy+ 超级运动版,MG7 2026款 2.0T Trophy+ 超级智驾版,MG7 2025款 1.5T 300 DCT怡享定制版,MG7 2025款 1.5T 300 DCT豪华版,MG7 2025款 1.5T 300 DCT优雅版,MG7 2025款 2.0T 405 AT尊享版,MG7 2025款 2.0T 405 AT奢享版,MG7 2025款 2.0T Trophy+ 超级运动版,MG7 2025款 2.0T Trophy+ 超级智驾版
,厂商指导价(元),13.79万 计算器,15.59万 计算器,16.99万 计算器,17.89万 计算器,14.35万 计算器,12.59万 计算器,13.79万 计算器,14.59万 计算器,15.59万 计算器,16.99万 计算器,17.89万 计算器
,经销商报价,11.69万起,13.19万起,14.59万起,15.49万起,14.35万起,10.69万起,11.89万起,12.69万起,13.69万起,15.09万起,15.99万起
基本参数,厂商,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-29,2024-11-26,2024-11-26,2024-11-26,2024-11-26,2024-11-26,2024-11-26
基本参数,最大功率(kW),138,192,192,192,138,138,138,192,192,192,192
基本参数,最大扭矩(N·m),300,405,405,405,300,300,300,405,405,405,405
基本参数,变速箱,7挡湿式双离合,9挡手自一体,9挡手自一体,9挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,1.5T 188马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4
基本参数,长*宽*高(mm),4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447,4884*1889*1447
基本参数,官方0-100km/h加速(s),-,6.5,6.5,6.5,-,-,-,6.5,6.5,6.5,6.5
基本参数,最高车速(km/h),210,230,230,230,210,210,210,230,230,230,230
基本参数,NEDC综合油耗(L/100km),5.6,6.2,6.2,6.2,5.6,5.6,5.6,6.2,6.2,6.2,6.2
基本参数,WLTC综合油耗(L/100km),6.25,6.94,6.94,6.94,6.25,6.25,6.25,6.94,6.94,6.94,6.94
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1570,1650,1650,1650,1570,1570,1570,1650,1650,1650,1650
基本参数,最大满载质量(kg),2005,2085,2085,2085,2005,2005,2005,2085,2085,2085,2085
车身,长度(mm),4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884
车身,宽度(mm),1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889
车身,高度(mm),1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447
车身,轴距(mm),2778,2778,2778,2778,2778,2778,2778,2778,2778,2778,2778
车身,前轮距(mm),1601,1597,1597,1597,1601,1601,1601,1597,1597,1597,1597
车身,后轮距(mm),1600,1594,1594,1594,1600,1600,1600,1594,1594,1594,1594
车身,接近角(°),13,13,13,13,13,13,13,13,13,13,13
车身,离去角(°),17,17,17,17,17,17,17,17,17,17,17
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),65,65,65,65,65,65,65,65,65,65,65
车身,后备厢容积(L),375,375,375,375,375,375,375,375,375,375,375
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,15FDE,20A4E,20A4E,20A4E,15FDE,15FDE,15FDE,20A4E,20A4E,20A4E,20A4E
发动机,排量(mL),1496,1986,1986,1986,1496,1496,1496,1986,1986,1986,1986
发动机,排量(L),1.5,2.0,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),188,261,261,261,188,188,188,261,261,261,261
发动机,最大功率(kW),138,192,192,192,138,138,138,192,192,192,192
发动机,最大功率转速(rpm),5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000
发动机,最大扭矩(N·m),300,405,405,405,300,300,300,405,405,405,405
发动机,最大扭矩转速(rpm),1500-4000,1750-3500,1750-3500,1750-3500,1500-4000,1500-4000,1500-4000,1750-3500,1750-3500,1750-3500,1750-3500
发动机,最大净功率(kW),132,184,184,184,132,132,132,184,184,184,184
发动机,发动机特有技术,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮,VGT可变截面涡轮
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,9挡手自一体,9挡手自一体,9挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
变速箱,挡位个数,7,9,9,9,7,7,7,9,9,9,9
变速箱,变速箱类型,湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 225/50 R18,● 225/50 R18,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19
车轮制动,后轮胎规格,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 225/50 R18,● 225/50 R18,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19,● 245/40 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ○ /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,-,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,○,-,●,-,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,○,-,●,-,●,●,●
主动安全,疲劳驾驶提示,-,-,-,●,-,-,-,-,-,-,●
主动安全,DOW开门预警,-,-,-,●,-,-,-,-,-,-,●
主动安全,前方碰撞预警,●,●,●,●,○,-,●,-,●,●,●
主动安全,后方碰撞预警,-,-,-,●,-,-,-,-,-,-,●
主动安全,内置行车记录仪,-,-,-,-,○,-,-,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节,● 悬架软硬调节,-,-,-,-,-,● 悬架软硬调节,● 悬架软硬调节
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,-,-,● 前桥限滑差速器,● 前桥限滑差速器,-,-,-,-,-,● 前桥限滑差速器,● 前桥限滑差速器
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,○ 单目,-,● 单目,-,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,"● 4个
○ 5个",● 4个,● 5个,● 4个,● 5个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,-,● 1个,-,-,-,-,-,-,● 1个
