セクション,項目,MG5 2026款 180DVVT 全球抢先版,MG5 2026款 180DVVT 全球豪华版,MG5 2026款 180DVVT 怡享定制版,MG5 2026款 300DTGI 全球旗舰版,MG5 2026款 300DTGI 全球旗舰MAX版,MG5 2025款 180DVVT 全球抢先版,MG5 2025款 180DVVT 全球豪华版,MG5 2025款 300TGI 全球旗舰版,MG5 2023款 改款 180DVVT 手动风尚版,MG5 2023款 180DVVT 手动风尚版
,厂商指导价(元),8.19万 计算器,8.59万 计算器,9.20万 计算器,9.59万 计算器,9.89万 计算器,8.19万 计算器,8.59万 计算器,9.59万 计算器,6.79万 计算器,6.79万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-06-30,2025-06-30,2025-12-05,2025-06-30,2025-06-30,2024-09-13,2024-09-13,2024-09-13,2025-10-13,2023-05-08
基本参数,最大功率(kW),95,95,95,133,133,95,95,133,95,95
基本参数,最大扭矩(N·m),158,158,158,285,285,158,158,285,158,158
基本参数,变速箱,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,5挡手动,5挡手动
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 129马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,1.5T 181马力 L4,1.5L 129马力 L4,1.5L 129马力 L4
基本参数,长*宽*高(mm),4715*1842*1473,4715*1842*1473,4715*1842*1473,4715*1842*1480,4715*1842*1480,4715*1842*1473,4715*1842*1473,4715*1842*1480,4675*1842*1473,4675*1842*1473
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,200,200,180,180,200,185,185
基本参数,WLTC综合油耗(L/100km),6.38,6.38,6.38,6.45,6.45,6.38,6.38,6.45,5.98,5.98
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1260,1260,1260,1315,1315,1260,1260,1315,1205,1205
基本参数,最大满载质量(kg),1699,1699,1699,1754,1754,1699,1699,1754,1644,1644
车身,长度(mm),4715,4715,4715,4715,4715,4715,4715,4715,4675,4675
车身,宽度(mm),1842,1842,1842,1842,1842,1842,1842,1842,1842,1842
车身,高度(mm),1473,1473,1473,1480,1480,1473,1473,1480,1473,1473
车身,轴距(mm),2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
车身,前轮距(mm),1570,1570,1570,1559,1559,1570,1570,1559,1570,1570
车身,后轮距(mm),1574,1574,1574,1563,1563,1574,1574,1563,1574,1574
车身,接近角(°),14,14,14,14,14,14,14,14,15,15
车身,离去角(°),19,19,19,19,19,19,19,19,20,20
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,15FCD,15FCD,15FCD,15C4E,15C4E,15FCD,15FCD,15C4E,15FCD,15FCD
发动机,排量(mL),1495,1495,1495,1490,1490,1495,1495,1490,1495,1495
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),129,129,129,181,181,129,129,181,129,129
发动机,最大功率(kW),95,95,95,133,133,95,95,133,95,95
发动机,最大功率转速(rpm),6000,6000,6000,5600,5600,6000,6000,5600,6000,6000
发动机,最大扭矩(N·m),158,158,158,285,285,158,158,285,158,158
发动机,最大扭矩转速(rpm),4500,4500,4500,1500-4000,1500-4000,4500,4500,1500-4000,4500,4500
发动机,最大净功率(kW),90,90,90,133,133,90,90,133,90,90
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,5挡手动,5挡手动
变速箱,挡位个数,8,8,8,7,7,8,8,7,5,5
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹
车轮制动,前轮胎规格,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 215/50 R17,● 215/50 R17,● 205/55 R16,● 205/55 R16,● 215/50 R17,● 205/55 R16,● 205/55 R16
车轮制动,后轮胎规格,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 215/50 R17,● 215/50 R17,● 205/55 R16,● 205/55 R16,● 215/50 R17,● 205/55 R16,● 205/55 R16
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 补胎工具,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,-
被动安全,前/后排头部气囊(气帘),-,-,前 ○ /后 ○,-,前 ● /后 ●,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
主动安全,内置行车记录仪,-,●,●,●,●,-,●,●,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,-,-
驾驶操控,上坡辅助,-,-,○,●,●,-,-,●,-,-
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像
驾驶硬件,透明底盘/540度影像,-,●,●,●,●,-,●,●,-,-
驾驶硬件,摄像头数量,● 1个,● 4个,● 4个,● 4个,● 4个,● 1个,● 4个,● 4个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,卫星导航系统,-,●,●,●,●,-,●,●,-,-
驾驶功能,导航路况信息显示,-,●,●,●,●,-,●,●,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
