セクション,項目,奔驰GLB 2026款 GLB 200 动感型,奔驰GLB 2026款 GLB 220 动感型,奔驰GLB 2026款 GLB 220 典藏版,奔驰GLB 2026款 GLB 220 时尚型
,厂商指导价(元),27.39万 计算器,30.19万 计算器,31.19万 计算器,31.19万 计算器
,经销商报价,18.39万起,21.19万起,22.19万起,22.19万起
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-21,2025-11-21,2025-11-21,2025-11-21
基本参数,最大功率(kW),120,140,140,140
基本参数,最大扭矩(N·m),270,300,300,300
基本参数,变速箱,7挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV
基本参数,发动机,1.3T 163马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4
基本参数,长*宽*高(mm),4638*1834*1696,4638*1834*1696,4638*1834*1701,4638*1834*1706
基本参数,官方0-100km/h加速(s),10,8.8,8.8,8.8
基本参数,最高车速(km/h),200,210,210,210
基本参数,WLTC综合油耗(L/100km),6.86,6.94,7.1,7.02
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1608,1704,1711,1762
基本参数,最大满载质量(kg),2105,2145,2160,2300
车身,长度(mm),4638,4638,4638,4638
车身,宽度(mm),1834,1834,1834,1834
车身,高度(mm),1696,1696,1701,1706
车身,轴距(mm),2829,2829,2829,2829
车身,前轮距(mm),1590,1590,1590,1589
车身,后轮距(mm),1589,1592,1592,1589
车身,接近角(°),19,19,19,20
车身,离去角(°),24,24,25,25
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 7
车身,油箱容积(L),52,52,52,52
车身,后备厢容积(L),703-1430,703-1430,703-1430,703-1430
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,282 814,260 920,260 920,260 920
发动机,排量(mL),1332,1991,1991,1991
发动机,排量(L),1.3,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),163,190,190,190
发动机,最大功率(kW),120,140,140,140
发动机,最大功率转速(rpm),5500,6100,6100,6100
发动机,最大扭矩(N·m),270,300,300,300
发动机,最大扭矩转速(rpm),2000-3500,1800-4000,1800-4000,1800-4000
发动机,最大净功率(kW),120,140,140,140
发动机,能源类型,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合
变速箱,挡位个数,7,8,8,8
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
