セクション,項目,冒险家 2025款 1.5T 两驱尊享混动版,冒险家 2025款 1.5T 两驱尊雅混动版,冒险家 2025款 2.0T 两驱尊悦版,冒险家 2025款 2.0T 两驱尊享版,冒险家 2025款 2.0T 两驱尊雅版,冒险家 2025款 2.0T 四驱尊耀版,冒险家 2024款 2.0T 两驱尊悦版,冒险家 2024款 2.0T 两驱尊享版,冒险家 2024款 2.0T 两驱尊雅版,冒险家 2024款 2.0T 四驱尊耀版,冒险家 2024款 1.5T 两驱尊享混动版,冒险家 2024款 1.5T 两驱尊雅混动版,冒险家 2024款 1.5T 两驱木兰特别混动版
,厂商指导价(元),25.38万 计算器,27.38万 计算器,23.58万 计算器,25.88万 计算器,27.88万 计算器,34.58万 计算器,23.58万 计算器,25.88万 计算器,27.88万 计算器,34.58万 计算器,25.38万 计算器,27.38万 计算器,28.78万 计算器
,经销商报价,20.90万起,24.18万起,17.99万起,19.59万起,23.38万起,30.08万起,17.99万起,19.59万起,23.38万起,30.08万起,20.90万起,24.18万起,25.58万起
基本参数,厂商,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2024-03-06,2024-03-06,2024-03-06,2024-03-06,2024-03-06,2024-03-06,2024-09-14
基本参数,最大功率(kW),153,153,192,192,192,192,192,192,192,192,153,153,153
基本参数,最大扭矩(N·m),-,-,395,395,395,395,395,395,395,395,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 193马力 L4,1.5T 193马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4
基本参数,电动机(Ps),131,131,-,-,-,-,-,-,-,-,131,131,131
基本参数,长*宽*高(mm),4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,218,218,218,220,218,218,218,220,180,180,180
基本参数,WLTC综合油耗(L/100km),5.47,5.59,7.99,7.99,7.99,8.62,7.99,7.99,7.99,8.62,5.35,5.59,5.59
基本参数,整车质保,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里
基本参数,整备质量(kg),1704,1718,1648,1648,1648,1802,1679,1679,1679,1802,1704,1718,1718
基本参数,最大满载质量(kg),2140,2140,2090,2090,2090,2245,2110,2110,2110,2245,2140,2140,2140
车身,长度(mm),4612,4612,4612,4612,4612,4612,4612,4612,4612,4612,4612,4612,4612
车身,宽度(mm),1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
车身,高度(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,轴距(mm),2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711
车身,前轮距(mm),1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
车身,后轮距(mm),1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
车身,接近角(°),22,22,22,22,22,22,22,22,22,22,22,22,22
车身,离去角(°),25,25,25,25,25,25,25,25,25,25,25,25,25
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),67,67,67,67,67,67,67,67,67,67,67,67,67
车身,后备厢容积(L),594-1373,594-1373,594-1373,594-1373,594-1373,586-1369,594-1373,594-1373,594-1373,586-1369,594-1373,594-1373,594-1373
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
