セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T 2WD 尊享ハイブリッド版,2025年モデル 1.5T 2WD 尊雅ハイブリッド版,2025年モデル 2.0T 2WD 尊悦版,2025年モデル 2.0T 2WD 尊享版,2025年モデル 2.0T 2WD 尊雅版,2025年モデル 2.0T 4WD 尊耀版,2024年モデル 2.0T 2WD 尊悦版,2024年モデル 2.0T 2WD 尊享版,2024年モデル 2.0T 2WD 尊雅版,2024年モデル 2.0T 4WD 尊耀版,2024年モデル 1.5T 2WD 尊享ハイブリッド版,2024年モデル 1.5T 2WD 尊雅ハイブリッド版,2024年モデル 1.5T 2WD 木蘭特別ハイブリッド版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"25.38万元（日本円 約5,329,800円）","27.38万元（日本円 約5,749,800円）","23.58万元（日本円 約4,951,800円）","25.88万元（日本円 約5,434,800円）","27.88万元（日本円 約5,854,800円）","34.58万元（日本円 約7,261,800円）","23.58万元（日本円 約4,951,800円）","25.88万元（日本円 約5,434,800円）","27.88万元（日本円 約5,854,800円）","34.58万元（日本円 約7,261,800円）","25.38万元（日本円 約5,329,800円）","27.38万元（日本円 約5,749,800円）","28.78万元（日本円 約6,043,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"20.90万元（日本円 約4,389,000円）","24.18万元（日本円 約5,077,800円）","17.99万元（日本円 約3,777,900円）","19.59万元（日本円 約4,113,900円）","23.38万元（日本円 約4,909,800円）","30.08万元（日本円 約6,316,800円）","17.99万元（日本円 約3,777,900円）","19.59万元（日本円 約4,113,900円）","23.38万元（日本円 約4,909,800円）","30.08万元（日本円 約6,316,800円）","20.90万元（日本円 約4,389,000円）","24.18万元（日本円 約5,077,800円）","25.58万元（日本円 約5,371,800円）"
基本参数,基本仕様,厂商,メーカー,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2024-03-06,2024-03-06,2024-03-06,2024-03-06,2024-03-06,2024-03-06,2024-09-14
基本参数,基本仕様,最大功率(kW),最大出力(kW),153,153,192,192,192,192,192,192,192,192,153,153,153
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,395,395,395,395,395,395,395,395,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 193馬力 L4,1.5T 193馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),131,131,-,-,-,-,-,-,-,-,131,131,131
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）,4612×1887×1630（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,218,218,218,220,218,218,218,220,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.47,5.59,7.99,7.99,7.99,8.62,7.99,7.99,7.99,8.62,5.35,5.59,5.59
基本参数,基本仕様,整车质保,車両保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証,● 5年または14万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1704,1718,1648,1648,1648,1802,1679,1679,1679,1802,1704,1718,1718
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2140,2140,2090,2090,2090,2245,2110,2110,2110,2245,2140,2140,2140
车身,車体,长度(mm),全長(mm),4612,4612,4612,4612,4612,4612,4612,4612,4612,4612,4612,4612,4612
车身,車体,宽度(mm),全幅(mm),1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
车身,車体,高度(mm),全高(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,車体,轴距(mm),ホイールベース(mm),2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711
车身,車体,前轮距(mm),前トレッド(mm),1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
车身,車体,后轮距(mm),後トレッド(mm),1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
车身,車体,接近角(°),アプローチアングル(°),22,22,22,22,22,22,22,22,22,22,22,22,22
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25,25,25,25,25,25,25,25,25,25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),67,67,67,67,67,67,67,67,67,67,67,67,67
车身,車体,后备厢容积(L),トランク容量(L),594-1373,594-1373,594-1373,594-1373,594-1373,586-1369,594-1373,594-1373,594-1373,586-1369,594-1373,594-1373,594-1373
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,CAF479WQP3,CAF479WQP3,CAF484WQC3,CAF484WQC3,CAF484WQC3,CAF484WQC3,CAF484WQC3,CAF484WQC3,CAF484WQC3,CAF484WQC3,CAF479WQP3,CAF479WQP3,CAF479WQP3
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1995,1995,1995,1995,1995,1995,1995,1995,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),193,193,261,261,261,261,261,261,261,261,193,193,193
发动机,エンジン,最大功率(kW),最大出力(kW),142,142,192,192,192,192,192,192,192,192,142,142,142
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,5500,5500,5500,5500,5500,5500,5500,5500,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),226,226,395,395,395,395,395,395,395,395,226,226,226
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-6000,2000-6000,2500-4000,2500-4000,2500-4000,2500-4000,2500-4000,2500-4000,2500-4000,2500-4000,2000-6000,2000-6000,2000-6000
发动机,エンジン,最大净功率(kW),最大出力(kW),140,140,190,190,190,190,190,190,190,190,140,140,140
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,-,-,-,-,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),96,96,-,-,-,-,-,-,-,-,96,96,96
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),131,131,-,-,-,-,-,-,-,-,131,131,131
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),235,235,-,-,-,-,-,-,-,-,235,235,235
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),96,96,-,-,-,-,-,-,-,-,96,96,96
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),235,235,-,-,-,-,-,-,-,-,235,235,235
电动机,モーター,系统综合功率(kW),システム総合出力(kW),153,153,-,-,-,-,-,-,-,-,153,153,153
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),208,208,-,-,-,-,-,-,-,-,208,208,208
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,-,-,-,-,-,-,-,-,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,フロントエンジン,フロントエンジン,-,-,-,-,-,-,-,-,フロントエンジン,フロントエンジン,フロントエンジン
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● BYD製,● BYD製,-,-,-,-,-,-,-,-,● BYD製,● BYD製,● BYD製
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,8,8,8,8,8,8,8,8,無段変速,無段変速,無段変速
