セクション,項目,畅巡 2023款 星河版,畅巡 2023款 星云版,畅巡 2023款 星宇版,畅巡 2023款 星享版,畅巡 2023款 星享版 Plus
,厂商指导价(元),18.29万 计算器,19.29万 计算器,19.79万 计算器,18.39万 计算器,18.59万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2023-07-03,2023-07-03,2023-07-03,2023-09-05,2023-09-05
基本参数,NEDC纯电续航里程(km),518,518,518,518,518
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5
基本参数,电池慢充时间(小时),9.5,9.5,9.5,9.5,9.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),130,130,130,130,130
基本参数,最大扭矩(N·m),265,265,265,265,265
基本参数,车身结构,5门5座两厢跨界车,5门5座两厢跨界车,5门5座两厢跨界车,5门5座两厢跨界车,5门5座两厢跨界车
基本参数,电动机(Ps),177,177,177,177,177
基本参数,长*宽*高(mm),4665*1813*1513,4665*1813*1538,4665*1813*1538,4665*1813*1513,4665*1813*1513
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,最高车速(km/h),170,170,170,170,170
基本参数,电能当量燃料消耗量(L/100km),1.43,1.43,1.43,1.43,1.43
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1620,1660,1660,1620,1620
基本参数,最大满载质量(kg),2080,2080,2080,2080,2080
车身,长度(mm),4665,4665,4665,4665,4665
车身,宽度(mm),1813,1813,1813,1813,1813
车身,高度(mm),1513,1538,1538,1513,1513
车身,轴距(mm),2660,2660,2660,2660,2660
车身,前轮距(mm),1545,1545,1545,1545,1545
车身,后轮距(mm),1556,1556,1556,1556,1556
车身,接近角(°),16,16,16,16,16
车身,离去角(°),17,17,17,17,17
车身,车身结构,两厢跨界车,两厢跨界车,两厢跨界车,两厢跨界车,两厢跨界车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),433-1077,433-1077,433-1077,433-1077,433-1077
车身,风阻系数(Cd),-,-,-,-,-
电动机,前电动机品牌,联合电子,联合电子,联合电子,联合电子,联合电子
电动机,前电动机型号,TZ153XS056,TZ153XS056,TZ153XS056,TZ153XS056,TZ153XS056
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),130,130,130,130,130
电动机,电动机总扭矩(N·m),265,265,265,265,265
电动机,前电动机最大功率(kW),130,130,130,130,130
电动机,前电动机最大扭矩(N·m),265,265,265,265,265
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,NEDC纯电续航里程(km),518,518,518,518,518
电池/充电,电池能量(kWh),61.1,61.1,61.1,61.1,61.1
电池/充电,百公里耗电量(kWh/100km),12.6,12.6,12.6,12.6,12.6
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),9.5,9.5,9.5,9.5,9.5
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车正前,车正前,车正前,车正前,车正前
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,-,-
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,-,-
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 全车,● 全车,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,-,-
主动安全,主动刹车/主动安全系统,-,●,●,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,-,-
主动安全,内置行车记录仪,○,○,○,○,○
主动安全,道路救援呼叫,●,●,●,-,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,-,-
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,-,-
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,-,-
驾驶功能,卫星导航系统,●,●,●,-,●
驾驶功能,导航路况信息显示,●,●,●,-,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,-,● 高德
驾驶功能,并线辅助,-,-,●,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车顶行李架,-,●,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,-,-
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 不可开启全景天窗,● 不可开启全景天窗,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,● 电动调节
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏
