セクション,項目,宏光MINIEV 2026款 第五代 205km 进阶款,宏光MINIEV 2026款 第五代 205km 臻享款,宏光MINIEV 2026款 第五代 301km 进阶款,宏光MINIEV 2026款 第五代 301km 臻享款,宏光MINIEV 2025款 第四代 四门版 进阶款,宏光MINIEV 2025款 第四代 四门版 臻享款,宏光MINIEV 2025款 第四代 四门版 臻享+款,宏光MINIEV 2025款 第四代 四门版 301km 臻享+款,宏光MINIEV 2024款 第三代 120km,宏光MINIEV 2024款 第三代 170km,宏光MINIEV 2024款 第三代 215km 青春版,宏光MINIEV 2024款 第三代 215km 进阶版
,厂商指导价(元),4.48万 计算器,4.98万 计算器,4.98万 计算器,5.48万 计算器,4.48万 计算器,4.98万 计算器,5.08万 计算器,5.58万 计算器,3.58万 计算器,4.18万 计算器,4.08万 计算器,4.68万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-03-27,2026-03-27,2026-03-27,2026-03-27,2025-02-22,2025-02-22,2025-02-22,2025-11-11,2024-09-25,2023-11-28,2024-08-20,2023-11-14
基本参数,CLTC纯电续航里程(km),205,205,301,301,205,205,205,301,120,170,215,215
基本参数,电池快充时间(小时),0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,-,-,0.58,0.58
基本参数,电池慢充时间(小时),4.8,4.8,7.2,7.2,4.8,4.8,4.8,7.2,4.6,6.8,5,5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-,30-80,30-80
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100
基本参数,最大功率(kW),30,30,30,30,30,30,30,30,20,20,30,30
基本参数,最大扭矩(N·m),85,85,85,85,-,-,-,-,85,85,92,92
