セクション,セクション_ja,項目,項目_ja,2026年モデル 310km バス標準型,Unnamed 3
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"6.98万元（日本円 約1,465,800円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.98万元（日本円 約1,465,800円）",–
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,–
基本参数,基本仕様,级别,クラス,ミニバン,–
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,–
基本参数,基本仕様,上市时间,発売時期,2026-03-09,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),310,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,–
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9.5,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,–
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),20-100,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),100,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),200,–
基本参数,基本仕様,车身结构,ボディ構造,乗用車,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),136,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4535×1732×1870,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),135,–
基本参数,基本仕様,整车质保,車両保証,-,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),1305,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1850,–
车身,車体,长度(mm),全長(mm),4535,–
车身,車体,宽度(mm),全幅(mm),1732,–
车身,車体,高度(mm),全高(mm),1870,–
车身,車体,轴距(mm),ホイールベース(mm),2850,–
车身,車体,前轮距(mm),前トレッド(mm),-,–
车身,車体,后轮距(mm),後トレッド(mm),-,–
车身,車体,车身结构,ボディ構造,乗用車,–
车身,車体,车门开启方式,ドア開閉方式,-,–
车身,車体,车门数(个),ドア数(枚),● 5人乗り,–
车身,車体,座位数(个),乗車定員(名),● 5人乗り,–
车身,車体,后备厢容积(L),トランク容量(L),-,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,–
车身,車体,后排车门开启方式,後部ドア開閉方式,● スライドドア,–
电动机,モーター,电机类型,モーター種類,永久磁石同期,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),100,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),136,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),200,–
电动机,モーター,后电动机最大功率(kW),後部モーター最大出力(kW),100,–
电动机,モーター,后电动机最大扭矩(N·m),後部モーター最大トルク(N·m),200,–
电动机,モーター,驱动电机数,駆動モーター数,単モーター,–
电动机,モーター,电机布局,モーター配置,後置,–
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,–
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● 国軒高科
● サイクルップ",–
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,–
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),310,–
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),32.6,–
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,–
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,–
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,–
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),9.5,–
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),20-100,–
变速箱,トランスミッション,简称,略称,電動車単速変速機,–
