セクション,セクション_ja,項目,項目_ja,2026年モデル トラベラー 1.5T ハイブリッド 2WD版,2026年モデル トラベラー 1.5T ハイブリッド 標準版,2026年モデル トラベラー 1.5T ハイブリッド 上級版,2026年モデル トラベラー 1.5T ハイブリッド 営業用版,2026年モデル トラベラー 1.5T DCT 2WD 標準版,2026年モデル トラベラー 1.5T DCT 2WD 上級版,2026年モデル トラベラー 1.5T DCT 2WD 7人乗り版,2024年モデル 1.5T ライトワイルド Air版,2024年モデル 1.5T ライトワイルド Pro版,2024年モデル 1.5T ライトワイルド Max版,2024年モデル 1.5T マホコア 電動駆動 標準版,2024年モデル 1.5T マホコア 電動駆動 上級版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.19万元（日本円 約2,559,900円）","12.99万元（日本円 約2,727,900円）","13.69万元（日本円 約2,874,900円）","13.69万元（日本円 約2,874,900円）","9.99万元（日本円 約2,097,900円）","10.99万元（日本円 約2,307,900円）","11.49万元（日本円 約2,412,900円）","9.99万元（日本円 約2,097,900円）","10.99万元（日本円 約2,307,900円）","11.99万元（日本円 約2,517,900円）","12.59万元（日本円 約2,643,900円）","13.69万元（日本円 約2,874,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"9.19万元（日本円 約1,929,900円）","9.99万元（日本円 約2,097,900円）","10.69万元（日本円 約2,244,900円）","10.69万元（日本円 約2,244,900円）","6.99万元（日本円 約1,467,900円）","7.99万元（日本円 約1,677,900円）","8.49万元（日本円 約1,782,900円）","6.99万元（日本円 約1,467,900円）","7.99万元（日本円 約1,677,900円）","8.99万元（日本円 約1,887,900円）","9.59万元（日本円 約2,013,900円）","10.69万元（日本円 約2,244,900円）"
基本参数,基本仕様,厂商,メーカー,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-09-27,2025-09-27,2025-09-27,2025-11-25,2025-09-27,2025-09-27,2025-09-27,2024-05-22,2024-05-22,2024-05-22,2024-05-22,2024-05-22
基本参数,基本仕様,最大功率(kW),最大出力(kW),246,301,301,301,138,138,138,138,138,138,246,301
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),550,685,685,685,305,305,305,305,305,305,550,685
基本参数,基本仕様,变速箱,トランスミッション,2速DHT,2速DHT,2速DHT,2速DHT,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,2速DHT,2速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 158馬力 L4,1.5T 158馬力 L4,1.5T 158馬力 L4,1.5T 158馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 188馬力 L4,1.5T 158馬力 L4,1.5T 158馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),177,252,252,252,-,-,-,-,-,-,177,252
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1757（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）,4730×1910×1790（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,170,100,190,190,190,190,190,190,170,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.85,6.45,6.45,6.45,8.06,8.06,8.2,8.06,8.06,8.06,5.85,6.45
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1690,1770,1770,1770,1575,1575,1660,1575,1575,1600,1690,1770
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2123,2205,2205,2205,2034,2034,2185,2034,2034,2034,2123,2205
车身,車体,长度(mm),全長(mm),4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730
车身,車体,宽度(mm),全幅(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,車体,高度(mm),全高(mm),1790,1790,1790,1790,1790,1790,1790,1757,1790,1790,1790,1790
车身,車体,轴距(mm),ホイールベース(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
车身,車体,前轮距(mm),前トレッド(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,車体,后轮距(mm),後トレッド(mm),1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),215,215,215,215,215,215,215,215,215,215,215,215
车身,車体,接近角(°),アプローチアングル(°),25,25,25,25,25,25,25,25,25,25,25,25
车身,車体,离去角(°),デパーチャーアングル(°),30,30,30,30,30,30,30,30,30,30,30,30
车身,車体,纵向通过角(°),ランプブレークオーバーアングル(°),21,21,21,21,21,21,21,21,21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),60,51,51,51,60,60,60,60,60,60,60,51
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,A156T2H-H1,A156T2H-H1,A156T2H-H1,A156T2H-H1,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H-H1,A156T2H-H1
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),158,158,158,158,188,188,188,188,188,188,158,158
发动机,エンジン,最大功率(kW),最大出力(kW),116,116,116,116,138,138,138,138,138,138,116,116
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),235,235,235,235,305,305,305,305,305,305,235,235
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),113,113,113,113,130,130,130,130,130,130,113,113
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
电动机,モーター,前电动机型号,前モーター型式,TZ210XYH02,TZ210XYH02,TZ210XYH02,TZ210XYH02,-,-,-,-,-,-,TZ210XYH02,TZ210XYH02
电动机,モーター,后电动机型号,後モーター型式,-,TZ180XS332,TZ180XS332,TZ180XS332,-,-,-,-,-,-,-,TZ180XS268
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),130,185,185,185,-,-,-,-,-,-,130,185
电动机,モーター,电动机总马力(Ps),モーター総出力(Ps),177,252,252,252,-,-,-,-,-,-,177,252
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),315,450,450,450,-,-,-,-,-,-,315,450
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),130,130,130,130,-,-,-,-,-,-,130,130
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),315,315,315,315,-,-,-,-,-,-,315,315
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,55,55,55,-,-,-,-,-,-,-,55
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,135,135,135,-,-,-,-,-,-,-,135
电动机,モーター,系统综合功率(kW),システム総合出力(kW),246,301,301,301,-,-,-,-,-,-,246,301
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),335,409,409,409,-,-,-,-,-,-,335,409
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),550,685,685,685,-,-,-,-,-,-,550,685
电动机,モーター,驱动电机数,駆動モーター数,単モーター,デュアルモーター,デュアルモーター,デュアルモーター,-,-,-,-,-,-,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前後置エンジン,前後置エンジン,前後置エンジン,-,-,-,-,-,-,前置エンジン,前後置エンジン
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,-,-,-,-,-,-,● 8年または15万km保証,● 8年または15万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,-,-,-,-,-,-,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 欣旺达（シンワンダ）製,"● 欣旺达（シンワンダ）製
● 蜂巢エナジー製","● 欣旺达（シンワンダ）製
● 蜂巢エナジー製","● 欣旺达（シンワンダ）製
● 蜂巢エナジー製",-,-,-,-,-,-,● 蜂巢エナジー製,● 蜂巢エナジー製
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),1.67,1.67,1.67,1.67,-,-,-,-,-,-,1.67,1.67
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,-,-,-,-,-,-,● 8年または15万km保証,● 8年または15万km保証
变速箱,トランスミッション,简称,略称,2速DHT,2速DHT,2速DHT,2速DHT,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,2速DHT,2速DHT
变速箱,トランスミッション,挡位个数,段数,2,2,2,2,7,7,7,7,7,7,2,2
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 走行状況対応型4WD,● 走行状況対応型4WD,● 走行状況対応型4WD,-,-,-,-,-,-,-,● 走行状況対応型4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
