セクション,セクション_ja,項目,項目_ja,2025年モデル 2.4T ディーゼル版,2025年モデル 2.0T ガソリン チャレンジャー,2025年モデル 2.0T ガソリン コンカー,2026年モデル 3.0T V6
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"23.48万元（日本円 約4,930,800円）","19.98万元（日本円 約4,195,800円）","21.68万元（日本円 約4,552,800円）",预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"23.48万元（日本円 約4,930,800円）","19.98万元（日本円 約4,195,800円）","21.68万元（日本円 約4,552,800円）",暂无
基本参数,基本仕様,厂商,メーカー,長城汽車,長城汽車,長城汽車,長城汽車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ディーゼル,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2025-03-10,2025-03-10,2025-03-10,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),137,167,167,260
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),490,387,387,500
基本参数,基本仕様,变速箱,トランスミッション,9速AT,9速AT,9速AT,9速AT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.4T 186馬力 L4,2.0T 227馬力 L4,2.0T 227馬力 L4,3.0T 354馬力 V6
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4750×1930×1903,4750×1930×1903,4750×1930×1903,4886×1984×1960
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),11.4,9.7,9.7,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,175,175,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.5,9.86,9.86,-
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● エンジン・トランスミッション主要部品は生涯保証（免責条項は公式基準に準ずる）,● エンジン・トランスミッション主要部品は生涯保証（免責条項は公式基準に準ずる）,● エンジン・トランスミッション主要部品は生涯保証（免責条項は公式基準に準ずる）,● エンジン・トランスミッション主要部品は生涯保証（免責条項は公式基準に準ずる）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2340,2225,2225,2510
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2815,2700,2700,2975
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),2500,2500,2500,2500
车身,車体,长度(mm),全長(mm),4750,4750,4750,4886
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,1984
车身,車体,高度(mm),全高(mm),1903,1903,1903,1960
车身,車体,轴距(mm),ホイールベース(mm),2750,2750,2750,3010
车身,車体,前轮距(mm),前トレッド(mm),1608,1608,1608,1675
车身,車体,后轮距(mm),後トレッド(mm),1608,1608,1608,1675
车身,車体,空载最小离地间隙(mm),無負荷最小地上高(mm),224,224,224,-
车身,車体,接近角(°),アプローチアングル(°),33,33,33,41
车身,車体,离去角(°),デパーチャーアングル(°),34,34,34,34
车身,車体,纵向通过角(°),縦方向通過角(°),23.1,23.1,23.1,-
车身,車体,最大涉水深度(mm),最大渡河深度(mm),700,700,700,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),78,80,80,-
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,E24D,E20CB,E20CB,E30Z
发动机,エンジン,排量(mL),排気量(mL),2370,1967,1967,2993
发动机,エンジン,排量(L),排気量(L),2.4,2.0,2.0,3.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ツインターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,V
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,6
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),186,227,227,354
发动机,エンジン,最大功率(kW),最大出力(kW),137,167,167,260
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),3600,5500,5500,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),490,387,387,500
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-2500,1800-3600,1800-3600,1500-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),135,162,162,260
发动机,エンジン,能源类型,エネルギータイプ,ディーゼル,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,0号,92号,92号,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,混合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,アルミ合金
