セクション,セクション_ja,項目,項目_ja,2025年モデル FREE+ 後輪駆動 乾崑版,2025年モデル FREE+ 4WD 乾崑版,2025年モデル FREE+ 4WD スポーツカスタム版,2025年モデル 318 318km 後輪駆動 周遊版,2025年モデル 318 259km 4WD 探索版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"21.99万元（日本円 約4,617,900円）","24.99万元（日本円 約5,247,900円）","27.99万元（日本円 約5,877,900円）","22.89万元（日本円 約4,806,900円）","26.69万元（日本円 約5,604,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"21.99万元（日本円 約4,617,900円）","24.99万元（日本円 約5,247,900円）","27.99万元（日本円 約5,877,900円）","22.89万元（日本円 約4,806,900円）","24.69万元（日本円 約5,184,900円）"
基本参数,基本仕様,厂商,メーカー,ランツー自動車,ランツー自動車,ランツー自動車,ランツー自動車,ランツー自動車
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-07-12,2025-07-12,2025-07-12,2024-06-14,2024-06-14
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),225,190,190,235,190
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),318,259,259,318,259
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,0.43,0.43
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,4.45,4.45
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),-,-,-,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),-,-,-,20-80,20-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),215,350,350,200,360
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),380,570,570,410,720
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 129馬力,レンジエクステンダー 129馬力,レンジエクステンダー 129馬力,1.5T 150馬力 L4,1.5T 150馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),292,476,476,272,490
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4915×1960×1660mm,4915×1960×1645mm,4915×1960×1645mm,4905×1950×1645mm,4905×1950×1645mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.8,4.9,4.9,7.6,4.5
基本参数,基本仕様,官方100-0km/h制动(m),公式100-0km/h制動距離(m),35.85,35.85,35.85,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,200,200,180,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.43,0.60,0.60,0.5,0.6
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.11,6.85,6.85,6.19,6.69
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.12,2.52,2.52,2.82,3.21
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2250,2350,2350,2150,2260
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2625,2725,2725,2525,2635
车身,車体,长度(mm),全長(mm),4915,4915,4915,4905,4905
车身,車体,宽度(mm),全幅(mm),1960,1960,1960,1950,1950
车身,車体,高度(mm),全高(mm),1660,1645,1645,1645,1645
车身,車体,轴距(mm),ホイールベース(mm),2960,2960,2960,2960,2960
车身,車体,前轮距(mm),前トレッド(mm),1654,1654,1654,1654,1654
车身,車体,后轮距(mm),後トレッド(mm),1647,1647,1647,1647,1647
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),143,-,-,150,113
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),170,-,-,170,-
车身,車体,接近角(°),アプローチアングル(°),17,17,17,18,18
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,25,25
车身,車体,最小转弯半径(m),最小回転半径(m),5.75,5.75,5.75,5.75,5.75
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),56,56,56,56,56
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,560-1320,560-1320
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DAM15NTEDU,DAM15NTEDU,DAM15NTEDU,DAM15NTDE,DAM15NTDE
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L
