セクション,項目,AION Y 2025款 Plus 430 智享版,AION Y 2025款 Plus 510 智享版,AION Y 2025款 Plus 510 智豪版,AION Y 2025款 Plus 610 智享版,AION Y 2025款 Plus 510 乐享版 58.9kWh,AION Y 2025款 Plus 510 乐享版 58.4kWh,AION Y 2024款 Younger,AION Y 2024款 Younger 星耀版,AION Y 2024款 Plus 510 智驾版,AION Y 2024款 Plus 610 智驾版,AION Y 2023款 Younger,AION Y 2023款 Younger 星耀版,AION Y 2023款 Plus 510 乐享版,AION Y 2023款 Plus 510 智领版,AION Y 2023款 Plus 610 乐享版
,厂商指导价(元),9.98万 计算器,11.18万 计算器,11.58万 计算器,12.38万 计算器,12.18万 计算器,12.18万 计算器,10.98万 计算器,11.68万 计算器,13.58万 计算器,14.58万 计算器,10.98万 计算器,11.68万 计算器,12.18万 计算器,13.18万 计算器,13.38万 计算器
,经销商报价,8.98万起,10.18万起,10.58万起,11.38万起,10.98万起,9.88万起,8.68万起,9.38万起,11.28万起,12.28万起,8.68万起,9.38万起,9.88万起,10.88万起,11.08万起
基本参数,厂商,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-06-03,2025-06-03,2025-06-03,2025-06-03,2024-12-13,2024-12-13,2024-05-07,2024-05-07,2024-02-18,2024-02-18,2023-03-07,2023-07-12,2023-04-01,2023-04-01,2024-01-01
基本参数,CLTC纯电续航里程(km),430,510,510,610,510,510,430,430,510,610,430,430,510,510,610
基本参数,最大功率(kW),100,100,100,150,100,100,100,100,150,150,100,100,150,150,150
基本参数,最大扭矩(N·m),176,176,176,225,176,176,176,176,225,225,176,176,225,225,225
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),136,136,136,204,136,136,136,136,204,204,136,136,204,204,204
基本参数,长*宽*高(mm),4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650,4535*1870*1650
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
基本参数,电能当量燃料消耗量(L/100km),1.5,1.5,1.5,1.46,1.5,1.5,1.46,1.46,1.5,1.43,1.46,1.46,1.5,1.5,1.43
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1590,1720,1720,1740,1685,1685,1590,1590,1685,1650,1635,1635,1685,1685,1650
基本参数,最大满载质量(kg),2080,2180,2180,2260,2180,2180,2080,2080,2180,2180,2180,2180,2180,2180,2180
车身,长度(mm),4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535
车身,宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
车身,高度(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,满载最小离地间隙(mm),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
车身,接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
车身,最大爬坡度(%),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
车身,最大爬坡角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
