セクション,項目,领克09 2026款 2.0T 四驱探索版Max,领克09 2026款 2.0T 四驱探索版Ultra,领克09 2024款 2.0T 四驱全球版 七座,
,厂商指导价(元),23.88万 计算器,24.88万 计算器,26.58万 计算器,–
,经销商报价,19.88万起,20.88万起,23.28万起,–
基本参数,厂商,领克,领克,领克,–
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,–
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2025-10-23,2025-10-23,2024-04-23,–
基本参数,最大功率(kW),187,187,187,–
基本参数,最大扭矩(N·m),350,350,350,–
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门7座SUV,–
基本参数,发动机,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,–
基本参数,长*宽*高(mm),5042*1977*1780,5042*1977*1780,5042*1977*1780,–
基本参数,官方0-100km/h加速(s),8,8,8,–
基本参数,最高车速(km/h),215,215,215,–
基本参数,WLTC综合油耗(L/100km),9,9,9,–
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,–
基本参数,整备质量(kg),2070,2070,2120,–
基本参数,最大满载质量(kg),2535,2535,2735,–
车身,长度(mm),5042,5042,5042,–
车身,宽度(mm),1977,1977,1977,–
车身,高度(mm),1780,1780,1780,–
车身,轴距(mm),2984,2984,2984,–
车身,前轮距(mm),1680,1680,1680,–
车身,后轮距(mm),1684,1684,1684,–
车身,满载最小离地间隙(mm),180,180,180,–
车身,空载最小离地间隙(mm),221,221,221,–
车身,接近角(°),21,21,21,–
车身,离去角(°),20,20,20,–
车身,最小转弯半径(m),6.15,6.15,6.15,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 7,–
车身,油箱容积(L),71,71,71,–
车身,后备厢容积(L),691-1522,691-1522,269-862,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,JLH-4G20TDC,JLH-4G20TDC,JLH-4G20TDC,–
发动机,排量(mL),1969,1969,1969,–
发动机,排量(L),2.0,2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,压缩比,10.8,10.8,10.8,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),254,254,254,–
发动机,最大功率(kW),187,187,187,–
发动机,最大功率转速(rpm),5500,5500,5500,–
发动机,最大扭矩(N·m),350,350,350,–
发动机,最大扭矩转速(rpm),1800-4800,1800-4800,1800-4800,–
发动机,最大净功率(kW),187,187,187,–
发动机,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,–
发动机,燃油标号,95号,95号,95号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,–
变速箱,挡位个数,8,8,8,–
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),–
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,–
底盘转向,四驱形式,● 全时四驱,● 全时四驱,● 全时四驱,–
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,● 多片离合器,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 275/45 R20,● 275/45 R20,● 275/45 R20,–
车轮制动,后轮胎规格,● 275/45 R20,● 275/45 R20,● 275/45 R20,–
车轮制动,备胎规格,● 无,● 非全尺寸,● 非全尺寸,–
车轮制动,备胎放置方式,-,● 后备厢内,● 后备厢内,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,"● 前排
● 第二排",–
