セクション,項目,奔驰EQB 2025款 EQB 260,奔驰EQB 2025款 EQB 350 4MATIC,
,厂商指导价(元),35.20万 计算器,42.80万 计算器,–
,经销商报价,17.60万起,25.20万起,–
基本参数,厂商,北京奔驰,北京奔驰,–
基本参数,级别,紧凑型SUV,紧凑型SUV,–
基本参数,能源类型,纯电动,纯电动,–
基本参数,上市时间,2024-08-01,2024-08-01,–
基本参数,CLTC纯电续航里程(km),600,512,–
基本参数,电池快充时间(小时),0.75,0.75,–
基本参数,电池慢充时间(小时),10.25,10.25,–
基本参数,电池快充电量范围(%),10-80,10-80,–
基本参数,最大功率(kW),140,215,–
基本参数,最大扭矩(N·m),380,520,–
基本参数,车身结构,5门5座SUV,5门7座SUV,–
基本参数,电动机(Ps),190,292,–
基本参数,长*宽*高(mm),4684*1834*1693,4684*1834*1706,–
基本参数,官方0-100km/h加速(s),8.8,6.3,–
基本参数,最高车速(km/h),160,160,–
基本参数,电能当量燃料消耗量(L/100km),1.53,1.78,–
基本参数,整车质保,● 三年不限公里,● 三年不限公里,–
基本参数,整备质量(kg),2072,2197,–
基本参数,最大满载质量(kg),2520,2770,–
车身,长度(mm),4684,4684,–
车身,宽度(mm),1834,1834,–
车身,高度(mm),1693,1706,–
车身,轴距(mm),2829,2829,–
车身,前轮距(mm),1587,1587,–
车身,后轮距(mm),1590,1585,–
车身,接近角(°),19,19,–
车身,离去角(°),23,24,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 7,–
车身,后备厢容积(L),1620,1620,–
车身,风阻系数(Cd),-,-,–
电动机,电机类型,永磁/同步,前感应/异步 后永磁/同步,–
电动机,电动机总功率(kW),140,215,–
电动机,电动机总马力(Ps),190,292,–
电动机,电动机总扭矩(N·m),380,520,–
电动机,前电动机最大功率(kW),140,150,–
电动机,前电动机最大扭矩(N·m),380,-,–
电动机,后电动机最大功率(kW),-,70,–
电动机,驱动电机数,单电机,双电机,–
电动机,电机布局,前置,前置+后置,–
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,–
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,● 孚能科技,● 孚能科技,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,换电,不支持,不支持,–
电池/充电,CLTC纯电续航里程(km),600,512,–
电池/充电,电池能量(kWh),73.5,73.5,–
电池/充电,电池能量密度(Wh/kg),188,188,–
电池/充电,百公里耗电量(kWh/100km),13.2,15.3,–
电池/充电,快充功能,支持,支持,–
电池/充电,快充功率(kW),100,100,–
电池/充电,电池快充时间(小时),0.75,0.75,–
电池/充电,电池快充电量范围(%),10-80,10-80,–
电池/充电,电池慢充时间(小时),10.25,10.25,–
电池/充电,慢充接口位置,车左后侧,车左后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 前置前驱,● 双电机四驱,–
底盘转向,四驱形式,-,● 电动四驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,"● 235/55 R18
○ 235/50 R19 (6200元)",● 235/50 R19,–
车轮制动,后轮胎规格,"● 235/55 R18
○ 235/50 R19 (6200元)",● 235/50 R19,–
车轮制动,备胎规格,● 无,● 无,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后 ○ (3400元),–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,–
被动安全,被动行人保护,●,●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
