セクション,セクション_ja,項目,項目_ja,2025年モデル EQB 260,2025年モデル EQB 350 4MATIC,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"35.20万元（日本円 約7,392,000円）","42.80万元（日本円 約8,988,000円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"17.60万元（日本円 約3,696,000円）","25.20万元（日本円 約5,292,000円）",–
基本参数,基本仕様,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,–
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,–
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,–
基本参数,基本仕様,上市时间,発売時期,2024-08-01,2024-08-01,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),600,512,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.75,0.75,–
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),10.25,10.25,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,215,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),380,520,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),190,292,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4684×1834×1693,4684×1834×1706,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.8,6.3,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,–
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.53,1.78,–
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限,● 3年走行距離無制限,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),2072,2197,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2520,2770,–
车身,車体,长度(mm),全長(mm),4684,4684,–
车身,車体,宽度(mm),全幅(mm),1834,1834,–
车身,車体,高度(mm),全高(mm),1693,1706,–
车身,車体,轴距(mm),ホイールベース(mm),2829,2829,–
车身,車体,前轮距(mm),前トレッド(mm),1587,1587,–
车身,車体,后轮距(mm),後トレッド(mm),1590,1585,–
车身,車体,接近角(°),アプローチアングル(°),19,19,–
车身,車体,离去角(°),デパーチャーアングル(°),23,24,–
车身,車体,车身结构,ボディ構造,SUV,SUV,–
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,–
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,–
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 7人乗り,–
车身,車体,后备厢容积(L),トランク容量(L),1620,1620,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,前：誘導／非同期 後：永久磁石／同期型,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),140,215,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),190,292,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),380,520,–
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),140,150,–
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),380,-,–
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,70,–
电动机,モーター,驱动电机数,駆動モーター数,単モーター,デュアルモーター,–
电动机,モーター,电机布局,モーター配置,前置,前置＋後置,–
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,–
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,–
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● フーノンテクノロジー,● フーノンテクノロジー,–
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,–
电池/充电,バッテリー／充電,换电,バッテリー交換対応,非対応,非対応,–
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),600,512,–
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),73.5,73.5,–
电池/充电,バッテリー／充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),188,188,–
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),13.2,15.3,–
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,–
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),100,100,–
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.75,0.75,–
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,–
电池/充电,バッテリー／充電,电池慢充时间(小时),バッテリー普通充電時間(時間),10.25,10.25,–
电池/充电,バッテリー／充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,–
电池/充电,バッテリー／充電,快充接口位置,急速充電ポート位置,車両右後方,車両右後方,–
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,–
变速箱,トランスミッション,挡位个数,段数,1,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● デュアルモーター四輪駆動,–
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/55 R18
○ 235/50 R19（6200元）",● 235/50 R19,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 235/55 R18
○ 235/50 R19（6200元）",● 235/50 R19,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席 ○（3400元）,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,–
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,–
