セクション,項目,北京越野BJ40 2026款 2.0T 探险家 汽油版,北京越野BJ40 2024款 2.0T 城市猎人荣耀版,北京越野BJ40 2026款 2.0T 汽油标准版,北京越野BJ40 2026款 2.0T 汽油进阶版,北京越野BJ40 2026款 2.0T 汽油卓越版,北京越野BJ40 2026款 2.0T 巨幕标准版,北京越野BJ40 2026款 2.0T 巨幕进阶版,北京越野BJ40 2026款 2.0T 恒途版,北京越野BJ40 2026款 2.0D 柴油版,北京越野BJ40 2026款 2.0D 探险家 柴油版,北京越野BJ40 2026款 2.0D 巨幕柴油版,北京越野BJ40 2026款 2.0D 巨幕智驱版,北京越野BJ40 2024款 2.0D 刀锋英雄荣耀版,北京越野BJ40 2024款 2.0T 全新城市猎人版 先锋型,北京越野BJ40 2024款 2.0T 全新刀锋英雄版 攀登者,北京越野BJ40 2024款 2.0T 全新城市猎人版 侠客型,北京越野BJ40 2024款 2.0T 全新城市猎人版 至尊型,北京越野BJ40 2024款 2.0T 全新城市猎人版 进阶型,北京越野BJ40 2024款 2.0T 全新环塔冠军版,北京越野BJ40 2024款 2.0D 全新刀锋英雄穿越者
,厂商指导价(元),14.99万 计算器,14.58万 计算器,14.99万 计算器,15.99万 计算器,17.89万 计算器,15.59万 计算器,16.59万 计算器,20.28万 计算器,15.99万 计算器,15.99万 计算器,16.59万 计算器,16.69万 计算器,15.58万 计算器,17.98万 计算器,18.98万 计算器,19.98万 计算器,21.98万 计算器,22.78万 计算器,22.98万 计算器,18.98万 计算器
,经销商报价,13.99万起,13.78万起,14.99万起,15.99万起,17.89万起,15.59万起,16.59万起,20.28万起,15.99万起,14.99万起,16.59万起,16.69万起,14.78万起,15.98万起,17.98万起,16.98万起,18.98万起,19.78万起,19.98万起,17.98万起
基本参数,厂商,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-15,2024-03-18,2025-07-19,2025-07-19,2025-12-31,2026-01-27,2026-01-27,2026-05-15,2025-07-19,2026-01-15,2026-01-27,2026-01-27,2024-03-18,2023-11-17,2024-04-22,2023-11-17,2023-11-17,2024-03-08,2024-07-15,2024-07-15
基本参数,最大功率(kW),165,165,180,180,180,180,180,180,120,120,120,120,120,180,180,180,180,180,180,120
基本参数,最大扭矩(N·m),380,380,395,395,395,395,395,395,400,380,400,400,380,395,395,395,395,395,395,400
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV
基本参数,发动机,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 163马力 L4
基本参数,长*宽*高(mm),4630*1925*1871,4630*1925*1871,4790*1940*1929,4790*1940*1949,4790*1940*1929,4790*1940*1929,4790*1940*1949,4790*1940*1929,4790*1940*1949,4630*1925*1871,4790*1940*1949,4790*1940*1949,4630*1925*1871,4790*1940*1895,4790*1940*1915,4790*1940*1895,4790*1940*1929,4790*1940*1929,4790*1940*1915,4790*1940*1915
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),160,160,180,180,180,180,180,180,160,150,160,160,150,180,175,180,180,180,180,160
基本参数,WLTC综合油耗(L/100km),11.84,11.35,11.35,11.80,11.35,11.35,11.80,11.35,9.97,9.34,9.97,9.97,9.34,11.35,11.8,11.35,11.35,11.35,11.8,9.97
基本参数,实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.68,-,-,-
基本参数,实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.84,-,-,-
基本参数,实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.62,-,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 三年或10万公里,● 五年或15万公里,● 五年或15万公里,● 三年或10万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,首任车主质保政策,-,-,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,-,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,-,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
基本参数,整备质量(kg),2080,2080,2130,2180,2130,2130,2180,2130,2250,2140,2250,2250,2140,2130,2180,2130,2130,2130,2180,2250
基本参数,最大满载质量(kg),2505,2505,2680,2680,2680,2680,2680,2680,2750,2565,2750,2750,2565,2680,2680,2680,2680,2680,2680,2750
基本参数,准拖挂车总质量(kg),2500,-,2500,2500,-,2500,2500,2500,2500,2500,2500,2500,-,2500,2500,2500,2500,2500,2500,2500
车身,长度(mm),4630,4630,4790,4790,4790,4790,4790,4790,4790,4630,4790,4790,4630,4790,4790,4790,4790,4790,4790,4790
车身,宽度(mm),1925,1925,1940,1940,1940,1940,1940,1940,1940,1925,1940,1940,1925,1940,1940,1940,1940,1940,1940,1940
车身,高度(mm),1871,1871,1929,1949,1929,1929,1949,1929,1949,1871,1949,1949,1871,1895,1915,1895,1929,1929,1915,1915
车身,轴距(mm),2745,2745,2760,2760,2760,2760,2760,2760,2760,2745,2760,2760,2745,2760,2760,2760,2760,2760,2760,2760
车身,前轮距(mm),1610,1610,1620,1620,1620,1620,1620,1620,1620,1610,1620,1620,1610,1620,1620,1620,1620,1620,1620,1620
车身,后轮距(mm),1610,1610,1620,1620,1620,1620,1620,1620,1620,1610,1620,1620,1610,1620,1620,1620,1620,1620,1620,1620
车身,满载最小离地间隙(mm),-,-,230,230,230,230,230,230,230,-,230,230,-,230,230,230,230,230,230,230
车身,空载最小离地间隙(mm),220,220,-,-,-,-,-,-,-,220,-,-,220,-,-,-,-,-,-,-
车身,接近角(°),37,37,37,38,37,37,38,37,38,37,38,38,37,37,38,37,37,37,38,38
车身,离去角(°),31,31,35,36,35,35,36,35,36,31,36,36,31,35,36,35,35,35,36,36
车身,纵向通过角(°),23,23,-,-,-,-,-,-,-,23,-,-,23,27,28,27,27,27,-,28
车身,最大爬坡度(%),60,60,80,100,80,80,100,80,100,60,100,100,60,80,100,80,80,80,-,100
车身,最大涉水深度(mm),750,-,750,800,750,750,800,750,800,750,800,800,-,750,800,750,750,750,800,800
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),75,75,85,85,85,85,85,85,85,75,85,85,75,85,85,85,85,85,85,85
车身,后备厢容积(L),532-965,532-965,965,965,965,965,965,965,965,532-965,965,965,532-965,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,HY4C20B,HY4C20B,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,4F20TC20,4F20TC13,4F20TC20,4F20TC20,4F20TC13,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,4F20TC20
发动机,排量(mL),1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1967,1967,1967,1967,1967,1967,1968
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),224,224,245,245,245,245,245,245,163,163,163,163,163,245,245,245,245,245,245,163
发动机,最大功率(kW),165,165,180,180,180,180,180,180,120,120,120,120,120,180,180,180,180,180,180,120
发动机,最大功率转速(rpm),-,-,5500,5500,5500,5500,5500,5500,3600,-,3600,3600,-,5500,5500,5500,5500,5500,5500,3600
发动机,最大扭矩(N·m),380,380,395,395,395,395,395,395,400,380,400,400,380,395,395,395,395,395,395,400
发动机,最大扭矩转速(rpm),-,-,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1500-2400,-,1500-2400,1500-2400,-,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1500-2400
发动机,最大净功率(kW),160,160,172,172,172,172,172,172,119,119,119,119,119,172,172,172,172,172,172,119
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,0号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 全时四驱,● 分时四驱,● 全时四驱,● 适时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 分时四驱,● 全时四驱
底盘转向,前悬架类型,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架
底盘转向,后悬架类型,● 五连杆式非独立悬架,● 五连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 五连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 五连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架
底盘转向,助力类型,● 机械液压助力,● 机械液压助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 机械液压助力,● 电动助力,● 电动助力,● 机械液压助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 盘式,● 通风盘式,● 通风盘式,● 盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,"● 265/65 R18
○ 265/65 R17",● 265/65 R17,"● 265/65 R17
○ 265/65 R18",● 265/65 R17
车轮制动,后轮胎规格,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,● 265/65 R17,"● 265/65 R18
○ 265/65 R17",● 265/65 R17,"● 265/65 R17
○ 265/65 R18",● 265/65 R17
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,前 ● /后-,前 ● /后-,-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前 ● /后 ●,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 前排,● 全车,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,前方碰撞预警,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,内置行车记录仪,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,道路救援呼叫,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
