セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T エクスプローラー ガソリン版,2024年モデル 2.0T シティハンター オナー版,2026年モデル 2.0T ガソリン 標準版,2026年モデル 2.0T ガソリン 上級版,2026年モデル 2.0T ガソリン エクセレント版,2026年モデル 2.0T ジャイアントスクリーン 標準版,2026年モデル 2.0T ジャイアントスクリーン 上級版,2026年モデル 2.0T 恒途版,2026年モデル 2.0D ディーゼル版,2026年モデル 2.0D エクスプローラー ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン インテリジェントドライブ版,2024年モデル 2.0D ブレードヒーロー オナー版,2024年モデル 2.0T 新型シティハンター 先鋒型,2024年モデル 2.0T 新型ブレードヒーロー クライマー,2024年モデル 2.0T 新型シティハンター 侠客型,2024年モデル 2.0T 新型シティハンター 至尊型,2024年モデル 2.0T 新型シティハンター 上級型,2024年モデル 2.0T 新型環塔チャンピオン版,2024年モデル 2.0D 新型ブレードヒーロー トラベラー
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.99万元（日本円 約3,147,900円）","14.58万元（日本円 約3,061,800円）","14.99万元（日本円 約3,147,900円）","15.99万元（日本円 約3,357,900円）","17.89万元（日本円 約3,756,900円）","15.59万元（日本円 約3,273,900円）","16.59万元（日本円 約3,483,900円）","20.28万元（日本円 約4,258,800円）","15.99万元（日本円 約3,357,900円）","15.99万元（日本円 約3,357,900円）","16.59万元（日本円 約3,483,900円）","16.69万元（日本円 約3,504,900円）","15.58万元（日本円 約3,271,800円）","17.98万元（日本円 約3,775,800円）","18.98万元（日本円 約3,985,800円）","19.98万元（日本円 約4,195,800円）","21.98万元（日本円 約4,615,800円）","22.78万元（日本円 約4,783,800円）","22.98万元（日本円 約4,825,800円）","18.98万元（日本円 約3,985,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ディーゼル,ディーゼル,ディーゼル,ディーゼル,ディーゼル,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ディーゼル
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2026-01-15,2024-03-18,2025-07-19,2025-07-19,2025-12-31,2026-01-27,2026-01-27,2026-05-15,2025-07-19,2026-01-15,2026-01-27,2026-01-27,2024-03-18,2023-11-17,2024-04-22,2023-11-17,2023-11-17,2024-03-08,2024-07-15,2024-07-15
基本参数,基本仕様,最大功率(kW),最大出力(kW),165,165,180,180,180,180,180,180,120,120,120,120,120,180,180,180,180,180,180,120
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),380,380,395,395,395,395,395,395,400,380,400,400,380,395,395,395,395,395,395,400
基本参数,基本仕様,变速箱,トランスミッション,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV
