セクション,項目,捷途大圣 2026款 青春版 1.5T 6MT舒适版,捷途大圣 2026款 青春版 1.5T 6DCT精英版,捷途大圣 2026款 青春版 1.5T 6DCT豪华版,捷途大圣 2026款 青春版 1.5T 6DCT豪华+版,捷途大圣 2026款 1.5T DCT 精英版,捷途大圣 2026款 1.5T DCT 豪华版,捷途大圣 2026款 1.5T DCT 黑武士版,捷途大圣 2026款 1.5T DCT 星耀 花生版,捷途大圣 2026款 1.5TD DCT 旗舰版,捷途大圣 2025款 1.5T DCT 超越版,捷途大圣 2025款 1.5T DCT 精英版,捷途大圣 2025款 1.5T DCT青春UP,捷途大圣 2025款 1.5T DCT 豪华版,捷途大圣 2025款 1.5TD DCT 尊享版,捷途大圣 2025款 1.5T DCT 至臻版,捷途大圣 2025款 1.5TD DCT 旗舰版
,厂商指导价(元),6.99万 计算器,7.99万 计算器,8.39万 计算器,8.79万 计算器,10.99万 计算器,11.69万 计算器,12.59万 计算器,13.68万 计算器,12.79万 计算器,9.39万 计算器,10.99万 计算器,10.99万 计算器,11.69万 计算器,12.39万 计算器,12.49万 计算器,12.99万 计算器
,经销商报价,6.99万起,7.99万起,8.39万起,8.79万起,8.69万起,9.39万起,10.29万起,13.68万起,10.49万起,8.19万起,8.69万起,10.99万起,9.39万起,10.09万起,9.69万起,10.69万起
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-10-31,2025-10-31,2025-10-31,2026-04-13,2025-07-18,2025-07-18,2025-07-30,2026-06-05,2025-07-18,2025-01-24,2024-09-02,2025-01-07,2024-09-02,2024-09-02,2024-09-02,2024-09-02
基本参数,最大功率(kW),115,115,115,115,115,115,115,115,135,115,115,115,115,135,115,135
基本参数,最大扭矩(N·m),230,230,230,230,230,230,230,230,290,230,230,230,230,290,230,290
基本参数,变速箱,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡湿式双离合,6挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 184马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 184马力 L4,1.5T 156马力 L4,1.5T 184马力 L4
基本参数,长*宽*高(mm),4590*1900*1685,4590*1900*1685,4590*1900*1685,4590*1900*1685,4600*1900*1685,4600*1900*1685,4600*1900*1685,4590*1900*1685,4600*1900*1685,4590*1900*1685,4600*1900*1685,4590*1900*1685,4600*1900*1685,4600*1900*1685,4600*1900*1685,4600*1900*1690
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),7.8,7.8,7.8,7.8,7.63,7.63,7.63,7.8,6.93,7.8,7.63,7.8,7.63,6.93,7.63,6.93
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1530,1530,1530,1530,1484,1484,1484,1530,1530,1530,1484,1530,1484,1518,1545,1535
基本参数,最大满载质量(kg),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
车身,长度(mm),4590,4590,4590,4590,4600,4600,4600,4590,4600,4590,4600,4590,4600,4600,4600,4600
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1690
车身,轴距(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
车身,前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,后轮距(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,满载最小离地间隙(mm),-,-,-,-,160,160,160,-,160,-,-,-,-,-,-,-
车身,空载最小离地间隙(mm),-,-,-,-,210,210,210,-,210,-,-,-,-,-,-,-
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
车身,后备厢容积(L),-,-,-,-,486-977,486-977,486-977,-,486-977,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRG4J15,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRG4J15,SQRE4T15C,SQRG4J15
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1499,1498,1498,1498,1498,1499,1498,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,-,9.5,9.5,9.5,9.5,-,9.5,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),77,77,77,77,77,77,77,77,-,77,77,77,77,-,77,-
发动机,行程(mm),80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,-,80.5,80.5,80.5,80.5,-,80.5,-
发动机,最大马力(Ps),156,156,156,156,156,156,156,156,184,156,156,156,156,184,156,184
发动机,最大功率(kW),115,115,115,115,115,115,115,115,135,115,115,115,115,135,115,135
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),230,230,230,230,230,230,230,230,290,230,230,230,230,290,230,290
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500,1750-4000,2000-3500
发动机,最大净功率(kW),108,108,108,108,108,108,108,108,125,108,108,108,108,125,108,125
发动机,发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铝合金,铸铁,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡湿式双离合,6挡湿式双离合,7挡湿式双离合
