セクション,セクション_ja,項目,項目_ja,2026年モデル 青春版 1.5T 6MT 快適版,2026年モデル 青春版 1.5T 6DCT エリート版,2026年モデル 青春版 1.5T 6DCT 豪華版,2026年モデル 青春版 1.5T 6DCT 豪華＋版,2026年モデル 1.5T DCT エリート版,2026年モデル 1.5T DCT 豪華版,2026年モデル 1.5T DCT ブラックウォリアー版,2026年モデル 1.5TD DCT フラッグシップ版,2025年モデル 1.5T DCT エリート版,2025年モデル 1.5T DCT 豪華版,2025年モデル 1.5T DCT 至高版,2025年モデル 1.5TD DCT プレミアム版,2025年モデル 1.5TD DCT フラッグシップ版,2025年モデル 1.5T DCT 超越版,2025年モデル 1.5T DCT 青春UP,2024年モデル 1.5T DCT 星耀 ピーナッツ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"6.99万元（日本円 約1,467,900円）","7.99万元（日本円 約1,677,900円）","8.39万元（日本円 約1,761,900円）","8.79万元（日本円 約1,845,900円）","10.99万元（日本円 約2,307,900円）","11.69万元（日本円 約2,454,900円）","12.59万元（日本円 約2,643,900円）","12.79万元（日本円 約2,685,900円）","10.99万元（日本円 約2,307,900円）","11.69万元（日本円 約2,454,900円）","12.49万元（日本円 約2,622,900円）","12.39万元（日本円 約2,601,900円）","12.99万元（日本円 約2,727,900円）","9.39万元（日本円 約1,971,900円）","10.99万元（日本円 約2,307,900円）","13.68万元（日本円 約2,872,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.99万元（日本円 約1,467,900円）","7.99万元（日本円 約1,677,900円）","8.39万元（日本円 約1,761,900円）","7.99万元（日本円 約1,677,900円）","8.69万元（日本円 約1,824,900円）","9.39万元（日本円 約1,971,900円）","10.29万元（日本円 約2,160,900円）","10.49万元（日本円 約2,202,900円）","8.69万元（日本円 約1,824,900円）","9.39万元（日本円 約1,971,900円）","9.69万元（日本円 約2,034,900円）","10.09万元（日本円 約2,118,900円）","10.69万元（日本円 約2,244,900円）","8.19万元（日本円 約1,719,900円）","10.99万元（日本円 約2,307,900円）","13.68万元（日本円 約2,872,800円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-10-31,2025-10-31,2025-10-31,2026-04-13,2025-07-18,2025-07-18,2025-07-30,2025-07-18,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2025-01-24,2025-01-07,2024-04-03
基本参数,基本仕様,最大功率(kW),最大出力(kW),115,115,115,115,115,115,115,135,115,115,115,135,135,115,115,115
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),230,230,230,230,230,230,230,290,230,230,230,290,290,230,230,230
基本参数,基本仕様,变速箱,トランスミッション,6速マニュアル,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,7速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,7速湿式DCT,7速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT
