セクション,項目,长安UNI-V 2025款 第三代 1.5T 500Bar尊贵型,长安UNI-V 2025款 第三代 1.5T 500Bar尊贵运动型,长安UNI-V 2025款 1.5T 500Bar尊享型,长安UNI-V 2025款 1.5T 500Bar尊贵型,长安UNI-V 2025款 1.5T 500Bar尊贵运动型,长安UNI-V 2025款 1.5T 500Bar黑武士版,长安UNI-V 2025款 1.5T 500Bar高能版,长安UNI-V 2025款 1.5T 500Bar高能运动版,长安UNI-V 2025款 第三代 2.0T 劲速型,长安UNI-V 2025款 第三代 2.0T 劲擎型,长安UNI-V 2024款 1.5T 尊享型,长安UNI-V 2024款 1.5T 高能版,长安UNI-V 2024款 1.5T 尊贵型,长安UNI-V 2024款 1.5T 尊贵运动型,长安UNI-V 2024款 1.5T 智慧领航型,长安UNI-V 2024款 2.0T 高能版,长安UNI-V 2024款 2.0T 经典运动型
,厂商指导价(元),10.29万 计算器,10.89万 计算器,10.89万 计算器,11.69万 计算器,12.39万 计算器,12.39万 计算器,11.69万 计算器,12.39万 计算器,11.49万 计算器,11.99万 计算器,10.89万 计算器,11.69万 计算器,11.69万 计算器,12.39万 计算器,12.49万 计算器,13.99万 计算器,13.99万 计算器
,经销商报价,9.79万起,10.39万起,9.39万起,10.19万起,10.89万起,10.89万起,9.69万起,10.39万起,10.99万起,11.39万起,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-08-07,2025-08-07,2025-04-08,2025-04-08,2025-04-08,2025-04-08,2025-04-08,2025-04-08,2025-08-07,2025-08-07,2024-03-20,2024-05-31,2024-03-20,2024-03-20,2024-03-20,2024-05-31,2024-04-15
基本参数,最大功率(kW),141,141,141,141,141,141,141,141,180,180,138,138,138,138,138,171,171
基本参数,最大扭矩(N·m),310,310,310,310,310,310,310,310,400,400,300,300,300,300,300,390,390
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,2.0T 233马力 L4,2.0T 233马力 L4
基本参数,长*宽*高(mm),4740*1838*1430,4740*1838*1430,4720*1838*1430,4720*1838*1430,4720*1838*1430,4720*1838*1430,4680*1838*1430,4695*1838*1430,4740*1838*1430,4740*1838*1430,4720*1838*1430,4680*1838*1430,4720*1838*1430,4720*1838*1430,4720*1838*1430,4705*1838*1430,4705*1838*1430
基本参数,官方0-100km/h加速(s),7.5,7.5,-,-,-,-,-,-,6.3,6.3,-,-,-,-,-,-,-
基本参数,最高车速(km/h),205,205,205,205,205,205,205,205,215,215,205,205,205,205,205,215,215
基本参数,WLTC综合油耗(L/100km),6.42,6.42,6.37,6.37,6.37,6.37,6.37,6.37,7.11,7.11,6.37,6.2,6.37,6.37,6.37,6.9,6.9
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1415,1415,1415,1415,1415,1415,1415,1415,1505,1505,1415,1405,1415,1415,1415,1505,1505
基本参数,最大满载质量(kg),1795,1795,1795,1795,1795,1795,1785,1785,1895,1895,1795,1785,1795,1795,1795,1895,1895
车身,长度(mm),4740,4740,4720,4720,4720,4720,4680,4695,4740,4740,4720,4680,4720,4720,4720,4705,4705
车身,宽度(mm),1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838
车身,高度(mm),1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430
车身,轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
车身,前轮距(mm),1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576
车身,后轮距(mm),1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586
车身,接近角(°),13,13,13,13,13,13,14,14,13,13,13,14,13,13,13,13,13
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
车身,后备厢容积(L),465-1110,465-1110,-,-,-,-,-,-,465-1110,465-1110,-,-,-,-,-,-,-
车身,风阻系数(Cd),0.27,0.27,-,-,-,-,-,-,0.27,0.27,-,-,-,-,-,-,-
发动机,发动机型号,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL484ZQ1,JL484ZQ1,JL473ZQ7,JL473ZQ7,JL473ZQ7,JL473ZQ7,JL473ZQ7,JL486ZQ5,JL486ZQ5
发动机,排量(mL),1494,1494,1494,1494,1494,1494,1494,1494,1997,1997,1494,1494,1494,1494,1494,1998,1998
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
