セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Ultra 後輪駆動版,2025年モデル 増程 Ultra 4WD版,2025年モデル 純電 Ultra 後輪駆動版,Unnamed 5
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"22.98万元（日本円 約4,825,800円）","24.98万元（日本円 約5,245,800円）","23.98万元（日本円 約5,035,800円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,–
基本参数,基本仕様,厂商,メーカー,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,–
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,–
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,–
基本参数,基本仕様,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,-,–
基本参数,基本仕様,上市时间,発売時期,2025-03-20,2025-03-20,2025-03-20,–
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),195,175,-,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),255,230,602,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,–
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),5,5,10.5,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,30-80,–
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),20-90,20-90,10-90,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),200,365,200,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),360,675,360,–
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,–
基本参数,基本仕様,发动机,エンジン,1.5T 152馬力 L4,1.5T 152馬力 L4,純電動,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),272,496,272,–
