セクション,項目,IQ锐歌 2024款 后驱标准续航豪华版,IQ锐歌 2022款 后驱长续航豪华版,IQ锐歌 2022款 后驱长续航尊贵版,IQ锐歌 2022款 四驱高性能尊贵版,IQ锐歌 2025款 LYRIQ-V
,厂商指导价(元),29.77万 计算器,37.97万 计算器,39.97万 计算器,41.97万 计算器,预售
,经销商报价,25.77万起,28.97万起,30.97万起,32.97万起,暂无报价
基本参数,厂商,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2023-11-17,2022-06-06,2022-06-06,2022-06-06,-
基本参数,CLTC纯电续航里程(km),502,653,653,608,-
基本参数,电池快充时间(小时),0.55,0.67,0.67,0.67,-
基本参数,电池慢充时间(小时),11.4,15.5,15.5,15.5,-
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,-
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,-
基本参数,最大功率(kW),250,255,255,375,443
基本参数,最大扭矩(N·m),440,440,440,710,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),340,347,347,510,602
基本参数,长*宽*高(mm),5003*1977*1637,5003*1977*1637,5003*1977*1637,5003*1977*1635,5013*1977*1627
基本参数,官方0-100km/h加速(s),5.9,6.35,6.35,4.6,-
基本参数,最高车速(km/h),190,190,190,210,210
基本参数,电能当量燃料消耗量(L/100km),-,1.76,1.76,1.89,-
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),2320,2535,2535,2600,2674
基本参数,最大满载质量(kg),2775,2998,2998,3065,3138
车身,长度(mm),5003,5003,5003,5003,5013
车身,宽度(mm),1977,1977,1977,1977,1977
车身,高度(mm),1637,1637,1637,1635,1627
车身,轴距(mm),3094,3094,3094,3094,3094
车身,前轮距(mm),1676,1676,1676,1676,1676
车身,后轮距(mm),1677,1677,1677,1677,1677
车身,接近角(°),18,18,18,18,17
车身,离去角(°),21,21,21,21,20
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,前备厢容积(L),35,35,35,-,-
车身,后备厢容积(L),521-1549,521-1549,521-1549,521-1549,-
车身,风阻系数(Cd),-,-,-,-,-
电动机,前电动机品牌,-,-,-,上海汽车,上汽通用
电动机,后电动机品牌,上海汽车,上海汽车,上海汽车,上海汽车,上汽通用
电动机,前电动机型号,-,-,-,TZ220XYS76,TZ220XYSTA
电动机,后电动机型号,TZ225XYP77,TZ225XYP77,TZ225XYP77,TZ225XYP77,TZ225XYP9C
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),250,255,255,375,443
电动机,电动机总马力(Ps),340,347,347,510,602
电动机,电动机总扭矩(N·m),440,440,440,710,-
电动机,前电动机最大功率(kW),-,-,-,155,183
电动机,前电动机最大扭矩(N·m),-,-,-,305,-
电动机,后电动机最大功率(kW),250,255,255,220,260
电动机,后电动机最大扭矩(N·m),440,440,440,405,-
电动机,驱动电机数,单电机,单电机,单电机,双电机,双电机
电动机,电机布局,后置,后置,后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
