セクション,項目,岚图梦想家 2027款 PHEV 冠军版,岚图梦想家 2026款 PHEV 鲲鹏Pro,岚图梦想家 2026款 PHEV 鲲鹏Max,岚图梦想家 2026款 PHEV 乾崑Pro,岚图梦想家 2026款 PHEV 乾崑Max,岚图梦想家 2026款 PHEV 乾崑Ultra,岚图梦想家 2026款 PHEV 典藏版,岚图梦想家 2026款 PHEV 山河四座版,岚图梦想家 2026款 EV 鲲鹏Max,岚图梦想家 2026款 EV 乾崑Max,岚图梦想家 2026款 EV 乾崑Ultra,岚图梦想家 2025款 PHEV 四驱卓越鲲鹏版,岚图梦想家 2025款 PHEV 四驱卓越乾崑版,岚图梦想家 2025款 PHEV 四驱尊贵鲲鹏版,岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,岚图梦想家 2025款 PHEV 超长续航世纪版,岚图梦想家 2025款 领航系列 PHEV 超长续航 舒享版,岚图梦想家 2025款 领航系列 PHEV 超长续航 尊享版,岚图梦想家 2025款 EV 长续航世纪版,岚图梦想家 2025款 EV 四驱卓越鲲鹏版,岚图梦想家 2025款 EV 四驱卓越乾崑版,岚图梦想家 2025款 领航系列 EV 超长续航 豪华版,岚图梦想家 2025款 领航系列 EV 超长续航 舒享版,岚图梦想家 2024款 PHEV 超长续航卓越版,岚图梦想家 2024款 PHEV 超长续航尊贵版,岚图梦想家 2024款 EV 长续航卓越版,岚图梦想家 2024款 EV 长续航尊贵版,岚图梦想家 2024款 EV 超长续航卓越版,岚图梦想家 2024款 EV 超长续航尊贵版,岚图梦想家 2024款 EV 超长续航旗舰版,岚图梦想家 2026款 梦想家9 EV 基本型,岚图梦想家 2026款 梦想家9 PHEV 基本型
,厂商指导价(元),31.59万 计算器,32.99万 计算器,35.99万 计算器,35.99万 计算器,38.99万 计算器,42.99万 计算器,45.99万 计算器,70.99万 计算器,36.99万 计算器,39.99万 计算器,43.99万 计算器,32.99万 计算器,35.99万 计算器,35.99万 计算器,39.99万 计算器,30.99万 计算器,33.99万 计算器,36.99万 计算器,30.99万 计算器,34.99万 计算器,37.99万 计算器,37.99万 计算器,38.99万 计算器,33.99万 计算器,36.99万 计算器,33.99万 计算器,36.99万 计算器,38.99万 计算器,41.99万 计算器,46.99万 计算器,预售,预售
,经销商报价,31.59万起,32.99万起,35.99万起,35.99万起,38.99万起,42.99万起,45.99万起,70.99万起,36.99万起,39.99万起,43.99万起,32.99万起,35.99万起,35.99万起,39.99万起,30.99万起,33.99万起,36.99万起,30.99万起,34.99万起,37.99万起,37.99万起,38.99万起,33.99万起,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车,岚图汽车
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,国VI,国VI,-,-,-,-,-,-,国VI
基本参数,上市时间,2026-04-11,2025-09-15,2025-09-15,2025-09-15,2025-09-15,2025-09-15,2026-01-13,2025-11-21,2025-09-15,2025-09-15,2025-09-15,2024-09-19,2025-02-19,2024-09-19,2024-09-19,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2024-09-19,2025-02-19,2026-03-24,2026-03-24,2023-10-12,2023-10-12,2024-03-14,2023-12-10,2024-04-10,2024-03-14,2023-10-12,-,-
基本参数,WLTC纯电续航里程(km),185,185,300,185,300,300,300,-,-,-,-,184,184,184,184,213,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),235,235,350,235,350,350,350,320,700,700,700,235,235,235,235,252,236,236,530,650,650,650,650,236,236,510,510,650,650,650,-,-
基本参数,电池快充时间(小时),0.33,0.33,0.2,0.33,0.2,0.2,0.2,0.2,0.54,0.54,0.54,0.5,0.5,0.5,0.5,0.33,0.5,0.5,0.42,0.58,0.58,0.58,0.58,0.5,0.5,0.36,0.36,0.58,0.58,0.58,-,-
基本参数,电池慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-,-
基本参数,电池慢充电量范围(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0-100,-,-,0-100,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最大功率(kW),480,480,490,480,490,490,490,490,405,405,405,420,420,420,420,-,420,420,215,320,320,320,320,420,420,320,320,320,320,320,475,-
基本参数,最大扭矩(N·m),840,840,915,840,915,915,915,915,770,770,770,840,840,840,840,-,840,840,380,620,620,620,620,840,840,620,620,620,620,620,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT
