セクション,セクション_ja,項目,項目_ja,2027年モデル PHEV チャンピオン版,2026年モデル PHEV 鯤鵬Pro,2026年モデル PHEV 鯤鵬Max,2026年モデル PHEV 乾崑Pro,2026年モデル PHEV 乾崑Max,2026年モデル PHEV 乾崑Ultra,2026年モデル PHEV 典蔵版,2026年モデル PHEV 山河4人乗り版,2026年モデル EV 鯤鵬Max,2026年モデル EV 乾崑Max,2026年モデル EV 乾崑Ultra,2025年モデル PHEV 4WD 卓越鯤鵬版,2025年モデル PHEV 4WD 卓越乾崑版,2025年モデル PHEV 4WD 尊貴鯤鵬版,2025年モデル PHEV 4WD 旗艦鯤鵬版,2025年モデル PHEV 超長航続世紀版,2025年モデル 先導シリーズ PHEV 超長航続 快適版,2025年モデル 先導シリーズ PHEV 超長航続 尊享版,2025年モデル EV 長航続世紀版,2025年モデル EV 4WD 卓越鯤鵬版,2025年モデル EV 4WD 卓越乾崑版,2025年モデル 先導シリーズ EV 超長航続 豪華版,2025年モデル 先導シリーズ EV 超長航続 快適版,2024年モデル PHEV 超長航続 卓越版,2024年モデル PHEV 超長距離プレミアム版,2024年モデル EV 長距離エクセレント版,2024年モデル EV 長距離プレミアム版,2024年モデル EV 超長距離エクセレント版,2024年モデル EV 超長距離プレミアム版,2024年モデル EV 超長距離フラッグシップ版,2026年モデル 夢想家9 EV 基本型,2026年モデル 夢想家9 PHEV 基本型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"31.59万元（日本円 約6,633,900円）","32.99万元（日本円 約6,927,900円）","35.99万元（日本円 約7,557,900円）","35.99万元（日本円 約7,557,900円）","38.99万元（日本円 約8,187,900円）","42.99万元（日本円 約9,027,900円）","45.99万元（日本円 約9,657,900円）","70.99万元（日本円 約14,907,900円）","36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）","43.99万元（日本円 約9,237,900円）","32.99万元（日本円 約6,927,900円）","35.99万元（日本円 約7,557,900円）","35.99万元（日本円 約7,557,900円）","39.99万元（日本円 約8,397,900円）","30.99万元（日本円 約6,507,900円）","33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","30.99万元（日本円 約6,507,900円）","34.99万元（日本円 約7,347,900円）","37.99万元（日本円 約7,977,900円）","37.99万元（日本円 約7,977,900円）","38.99万元（日本円 約8,187,900円）","33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","38.99万元（日本円 約8,187,900円）","41.99万元（日本円 約8,817,900円）","46.99万元（日本円 約9,867,900円）",预售,预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"31.59万元（日本円 約6,633,900円）","32.99万元（日本円 約6,927,900円）","35.99万元（日本円 約7,557,900円）","35.99万元（日本円 約7,557,900円）","38.99万元（日本円 約8,187,900円）","42.99万元（日本円 約9,027,900円）","45.99万元（日本円 約9,657,900円）","70.99万元（日本円 約14,907,900円）","36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）","43.99万元（日本円 約9,237,900円）","32.99万元（日本円 約6,927,900円）","35.99万元（日本円 約7,557,900円）","35.99万元（日本円 約7,557,900円）","39.99万元（日本円 約8,397,900円）","30.99万元（日本円 約6,507,900円）","33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","30.99万元（日本円 約6,507,900円）","34.99万元（日本円 約7,347,900円）","37.99万元（日本円 約7,977,900円）","37.99万元（日本円 約7,977,900円）","38.99万元（日本円 約8,187,900円）","33.99万元（日本円 約7,137,900円）",暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車,ラントゥー自動車
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2026-04-11,2025-09-15,2025-09-15,2025-09-15,2025-09-15,2025-09-15,2026-01-13,2025-11-21,2025-09-15,2025-09-15,2025-09-15,2024-09-19,2025-02-19,2024-09-19,2024-09-19,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2024-09-19,2025-02-19,2026-03-24,2026-03-24,2023-10-12,2023-10-12,2024-03-14,2023-12-10,2024-04-10,2024-03-14,2023-10-12,-,-
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),185,185,300,185,300,300,300,-,-,-,-,184,184,184,184,213,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),235,235,350,235,350,350,350,320,700,700,700,235,235,235,235,252,236,236,530,650,650,650,650,236,236,510,510,650,650,650,-,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.33,0.33,0.2,0.33,0.2,0.2,0.2,0.2,0.54,0.54,0.54,0.5,0.5,0.5,0.5,0.33,0.5,0.5,0.42,0.58,0.58,0.58,0.58,0.5,0.5,0.36,0.36,0.58,0.58,0.58,-,-
