セクション,項目,奥迪Q4 e-tron 2024款 40 e-tron 创行版,奥迪Q4 e-tron 2024款 40 e-tron 创境版,奥迪Q4 e-tron 2024款 50 e-tron quattro 创境曜夜版,奥迪Q4 e-tron 2024款 50 e-tron quattro 创享曜夜版
,厂商指导价(元),28.99万 计算器,31.71万 计算器,33.27万 计算器,36.71万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2023-11-01,2023-11-01,2023-11-01,2023-11-01
基本参数,CLTC纯电续航里程(km),605,605,560,560
基本参数,电池快充时间(小时),0.68,0.68,0.68,0.68
基本参数,电池慢充时间(小时),12,12,12,12
基本参数,电池快充电量范围(%),5-80,5-80,5-80,5-80
基本参数,最大功率(kW),150,150,230,230
基本参数,最大扭矩(N·m),310,310,472,472
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),204,204,313,313
基本参数,长*宽*高(mm),4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626
基本参数,官方0-100km/h加速(s),8.8,8.8,6.8,6.8
基本参数,官方0-50km/h加速(s),3.3,3.3,3,3
基本参数,最高车速(km/h),160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.63,1.63,1.75,1.75
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2160,2160,2255,2255
基本参数,最大满载质量(kg),2640,2640,2720,2720
车身,长度(mm),4588,4588,4588,4588
车身,宽度(mm),1865,1865,1865,1865
车身,高度(mm),1626,1626,1626,1626
车身,轴距(mm),2764,2764,2765,2765
车身,前轮距(mm),1587,1587,1587,1587
车身,后轮距(mm),1565,1565,1566,1566
车身,满载最小离地间隙(mm),154,154,154,154
车身,接近角(°),16,16,16,16
车身,离去角(°),21,21,21,21
车身,最小转弯半径(m),5.8,5.8,5.8,5.8
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),520,520,520,520
车身,风阻系数(Cd),0.28,0.28,0.28,0.28
电动机,电机类型,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步
电动机,电动机总功率(kW),150,150,230,230
电动机,电动机总马力(Ps),204,204,313,313
电动机,电动机总扭矩(N·m),310,310,472,472
电动机,前电动机最大功率(kW),-,-,80,80
电动机,前电动机最大扭矩(N·m),-,-,162,162
电动机,后电动机最大功率(kW),150,150,150,150
电动机,后电动机最大扭矩(N·m),310,310,310,310
电动机,驱动电机数,单电机,单电机,双电机,双电机
电动机,电机布局,后置,后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 一汽动力,● 一汽动力,● 一汽动力,● 一汽动力
电池/充电,CLTC纯电续航里程(km),605,605,560,560
电池/充电,电池能量(kWh),84.8,84.8,84.8,84.8
电池/充电,电池能量密度(Wh/kg),165,165,165,165
电池/充电,百公里耗电量(kWh/100km),14.4,14.4,15.5,15.5
电池/充电,电池快充时间(小时),0.68,0.68,0.68,0.68
电池/充电,电池快充电量范围(%),5-80,5-80,5-80,5-80
电池/充电,电池慢充时间(小时),12,12,12,12
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,-,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式
