セクション,項目,奥迪Q6 2026款 40 TFSI quattro 纪念版 羽林套装 7座,奥迪Q6 2026款 45 TFSI quattro 齐云型 羽林套装 6座,奥迪Q6 2026款 45 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2026款 50 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2025款 40 TFSI quattro 纪念版 羽林套装 7座,奥迪Q6 2025款 45 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2025款 50 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2024款 45 TFSI quattro 齐云型 羽林套装 6座
,厂商指导价(元),46.76万 计算器,52.76万 计算器,56.61万 计算器,61.06万 计算器,46.76万 计算器,56.61万 计算器,61.06万 计算器,52.76万 计算器
,经销商报价,31.90万起,38.90万起,40.10万起,47.20万起,31.90万起,40.90万起,43.87万起,37.90万起
基本参数,厂商,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-14,2026-01-14,2026-01-14,2026-01-14,2025-05-10,2025-05-10,2025-05-10,2023-09-21
基本参数,最大功率(kW),170,195,195,220,170,195,220,195
基本参数,最大扭矩(N·m),370,400,400,500,370,400,500,400
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,2.0T 231马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.5T 299马力 V6,2.0T 231马力 L4,2.0T 265马力 L4,2.5T 299马力 V6,2.0T 265马力 L4
基本参数,长*宽*高(mm),5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784
基本参数,官方0-100km/h加速(s),8.6,7.6,7.6,7.3,8.6,7.6,7.3,7.6
基本参数,最高车速(km/h),207,207,207,207,207,207,207,207
基本参数,WLTC综合油耗(L/100km),9.25,9.26,9.26,10.25,9.25,9.26,10.25,9.26
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2205,2280,2205,2280,2205,2205,2280,2280
基本参数,最大满载质量(kg),2765,2780,2765,2780,2765,2765,2780,2780
车身,长度(mm),5099,5099,5099,5099,5099,5099,5099,5099
车身,宽度(mm),2014,2014,2014,2014,2014,2014,2014,2014
车身,高度(mm),1784,1784,1784,1784,1784,1784,1784,1784
车身,轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980
车身,前轮距(mm),1704,1704,1704,1704,1704,1704,1704,1704
车身,后轮距(mm),1721,1721,1721,1721,1721,1721,1721,1721
车身,满载最小离地间隙(mm),160,160,160,160,160,160,160,160
车身,接近角(°),19,19,19,19,19,19,19,19
车身,离去角(°),18,18,18,18,18,18,18,18
车身,最小转弯半径(m),6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 6,● 6,● 6,● 7,● 6,● 6,● 6
车身,油箱容积(L),70,70,70,70,70,70,70,70
车身,后备厢容积(L),286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,EA888-DVL,EA888-DVL,EA888-DVL,EA390-DME,EA888-DVL,EA888-DVL,EA390-DME,EA888-DVL
发动机,排量(mL),1984,1984,1984,2492,1984,1984,2492,1984
发动机,排量(L),2.0,2.0,2.0,2.5,2.0,2.0,2.5,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,V,L,L,V,L
发动机,气缸数(个),4,4,4,6,4,4,6,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
