セクション,項目,理想L9 2026款 Livis,
,厂商指导价(元),预售,–
,经销商报价,55.98万起,–
基本参数,厂商,理想汽车,–
基本参数,级别,大型SUV,–
基本参数,能源类型,增程式,–
基本参数,环保标准,国VI,–
基本参数,上市时间,-,–
基本参数,WLTC纯电续航里程(km),332,–
基本参数,CLTC纯电续航里程(km),420,–
基本参数,最大功率(kW),-,–
基本参数,最大扭矩(N·m),-,–
基本参数,变速箱,电动车单速变速箱,–
基本参数,车身结构,5门6座SUV,–
基本参数,发动机,增程器 156马力,–
基本参数,电动机(Ps),-,–
基本参数,长*宽*高(mm),5255*2000*1810,–
基本参数,官方0-100km/h加速(s),-,–
基本参数,最高车速(km/h),200,–
基本参数,WLTC综合油耗(L/100km),0.27,–
基本参数,最低荷电状态油耗(L/100km)WLTC,6.4,–
基本参数,油电综合燃料消耗量(L/100km),2.93,–
基本参数,整车质保,● 五年或10万公里,–
基本参数,整备质量(kg),2835,–
基本参数,最大满载质量(kg),3435,–
基本参数,准拖挂车总质量(kg),1500,–
车身,长度(mm),5255,–
车身,宽度(mm),2000,–
车身,高度(mm),1810,–
车身,轴距(mm),3125,–
车身,前轮距(mm),1710,–
车身,后轮距(mm),1725,–
车身,接近角(°),20,–
车身,离去角(°),22,–
车身,车身结构,SUV,–
车身,车门开启方式,平开门,–
车身,车门数(个),● 5,–
车身,座位数(个),● 6,–
车身,后备厢容积(L),-,–
车身,风阻系数(Cd),-,–
发动机,发动机型号,L3E15CA,–
发动机,排量(mL),1498,–
发动机,排量(L),1.5,–
发动机,进气形式,涡轮增压,–
发动机,发动机布局,横置,–
发动机,气缸排列形式,L,–
发动机,气缸数(个),4,–
发动机,每缸气门数(个),4,–
发动机,配气机构,DOHC,–
发动机,最大马力(Ps),156,–
发动机,最大功率(kW),115,–
发动机,最大功率转速(rpm),-,–
发动机,最大扭矩(N·m),-,–
发动机,最大扭矩转速(rpm),-,–
发动机,最大净功率(kW),112,–
发动机,能源类型,增程式,–
发动机,燃油标号,95号,–
发动机,供油方式,直喷,–
发动机,缸盖材料,铝合金,–
发动机,缸体材料,铝合金,–
发动机,环保标准,国VI,–
电动机,电机类型,永磁/同步,–
电动机,驱动电机数,双电机,–
电动机,电机布局,前置+后置,–
电动机,三电系统质保,● 八年或16万公里,–
电池/充电,电池类型,● 三元锂电池,–
电池/充电,电芯品牌,● 宁德时代(江苏时代),–
电池/充电,电池冷却方式,液冷,–
电池/充电,WLTC纯电续航里程(km),332,–
电池/充电,CLTC纯电续航里程(km),420,–
电池/充电,CLTC综合续航(km),1650,–
电池/充电,电池能量(kWh),72.7,–
电池/充电,百公里耗电量(kWh/100km),22.9,–
电池/充电,快充功能,支持,–
电池/充电,高压快充,支持,–
电池/充电,高压平台（V）,800,–
变速箱,简称,电动车单速变速箱,–
变速箱,挡位个数,1,–
变速箱,变速箱类型,固定齿比变速箱,–
底盘转向,驱动方式,● 双电机四驱,–
底盘转向,四驱形式,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 五连杆式独立悬架,–
