セクション,セクション_ja,項目,項目_ja,2026年モデル Ultra,2026年モデル Livis,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"45.98万元（日本円 約9,655,800円）","50.98万元（日本円 約10,705,800円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"45.98万元（日本円 約9,655,800円）","50.98万元（日本円 約10,705,800円）",–
基本参数,基本仕様,厂商,メーカー,理想自動車,理想自動車,–
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,–
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,–
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,–
基本参数,基本仕様,上市时间,発売時期,2026-05-15,2026-05-15,–
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),350,350,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),420,420,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.17,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),420,420,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),710,710,–
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,–
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),571,571,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5255×2000×1810（mm）,5255×2000×1810（mm）,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.9,4.9,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.23,0.23,–
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.3,6.3,–
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.88,2.88,–
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km保証,● 5年または10万km保証,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),2755,2755,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3435,3435,–
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),1500,1500,–
车身,車体,长度(mm),全長(mm),5255,5255,–
车身,車体,宽度(mm),全幅(mm),2000,2000,–
车身,車体,高度(mm),全高(mm),1810,1810,–
车身,車体,轴距(mm),ホイールベース(mm),3125,3125,–
车身,車体,前轮距(mm),前トレッド(mm),1710,1710,–
车身,車体,后轮距(mm),後トレッド(mm),1725,1725,–
车身,車体,接近角(°),アプローチアングル(°),20,20,–
车身,車体,离去角(°),デパーチャーアングル(°),22,22,–
车身,車体,最小转弯半径(m),最小回転半径(m),5.3,5.3,–
车身,車体,车身结构,ボディ構造,SUV,SUV,–
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,–
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,–
车身,車体,座位数(个),乗車定員(名),● 6（乗車定員）,● 6（乗車定員）,–
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,–
车身,車体,后备厢容积(L),トランク容量(L),-,-,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
发动机,エンジン,发动机型号,エンジン型式,L3E15CA（運転支援レベル）,L3E15CA（運転支援レベル）,–
发动机,エンジン,排量(mL),排気量(mL),1498,1498,–
发动机,エンジン,排量(L),排気量(L),1.5,1.5,–
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,–
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,–
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,–
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,–
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,–
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,–
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,–
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,–
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,–
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,–
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,–
