セクション,項目,捷途旅行者 2026款 1.5TD 探索,捷途旅行者 2026款 1.5TD 探索+,捷途旅行者 2026款 2.0TD XWD 发现,捷途旅行者 2026款 2.0TD XWD 穿越,捷途旅行者 2026款 2.0TD XWD 征服,捷途旅行者 2026款 2.0TD XWD 远征,捷途旅行者 2026款 2.0TD XWD 悦野,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD发现,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD穿越,捷途旅行者 2026款 PLUS 2.0TD XWD征服 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服 7座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 7座,捷途旅行者 2026款 1.5TD DCT 骏马版 探索+,捷途旅行者 2025款 1.5TD DCT 探索+畅行版,捷途旅行者 2025款 2.0TD DCT 四驱星际卫士,捷途旅行者 2025款 2.0TD DCT XWD 发现畅行版,捷途旅行者 2025款 2.0TD XWD 自动征服+畅行版,捷途旅行者 2025款 1.5TD DCT两驱探索,捷途旅行者 2025款 1.5TD DCT两驱探索+,捷途旅行者 2025款 2.0TD DCT XWD发现,捷途旅行者 2025款 2.0TD DCT XWD穿越,捷途旅行者 2025款 2.0TD DCT XWD穿越+,捷途旅行者 2025款 2.0TD XWD 自动悦野,捷途旅行者 2025款 2.0TD XWD 自动征服,捷途旅行者 2025款 2.0TD XWD 自动征服加长版 7座,捷途旅行者 2025款 2.0TD XWD 自动征服+,捷途旅行者 2025款 2.0TD XWD 自动征服+加长版 7座,捷途旅行者 2025款 2.0T DCT 星月女神,捷途旅行者 2025款 2.0T 自动四驱20万纪念版,捷途旅行者 2025款 2.0TD DCT 四驱银龙之翼Air,捷途旅行者 2024款 2.0T 四驱悦野PRO,捷途旅行者 2024款 2.0T 四驱穿越PRO娱乐版,捷途旅行者 2024款 2.0T 四驱穿越PRO+娱乐版,捷途旅行者 2024款 2.0T 四驱和平精英战神版,捷途旅行者 2023款 1.5T 两驱发现PRO
,厂商指导价(元),13.99万 计算器,14.99万 计算器,15.99万 计算器,16.99万 计算器,17.99万 计算器,19.99万 计算器,19.19万 计算器,16.29万 计算器,17.29万 计算器,17.79万 计算器,17.99万 计算器,18.79万 计算器,18.99万 计算器,15.29万 计算器,14.99万 计算器,19.99万 计算器,15.99万 计算器,18.49万 计算器,13.99万 计算器,14.99万 计算器,15.99万 计算器,16.99万 计算器,17.99万 计算器,19.19万 计算器,17.49万 计算器,17.99万 计算器,18.49万 计算器,18.99万 计算器,18.39万 计算器,19.39万 计算器,21.49万 计算器,19.19万 计算器,17.59万 计算器,18.59万 计算器,23.99万 计算器,14.99万 计算器
,经销商报价,11.99万起,12.99万起,13.99万起,14.99万起,15.99万起,19.99万起,19.19万起,14.29万起,15.29万起,15.79万起,15.99万起,16.79万起,16.99万起,13.29万起,14.99万起,17.99万起,15.99万起,18.49万起,11.99万起,12.99万起,13.99万起,14.99万起,15.99万起,19.19万起,15.49万起,15.99万起,16.49万起,16.99万起,16.39万起,17.39万起,19.49万起,19.19万起,17.59万起,18.59万起,23.99万起,14.99万起
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-17,2025-11-17,2025-11-17,2025-11-17,2025-11-17,2026-04-29,2025-11-25,2026-03-11,2026-03-11,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-03-11,2025-07-02,2025-04-23,2025-07-02,2025-07-02,2025-03-25,2025-03-25,2025-03-25,2025-03-25,2025-03-25,2025-04-03,2025-03-25,2025-04-18,2025-03-25,2025-04-18,2025-03-07,2025-01-06,2025-03-27,2024-03-15,2024-11-22,2024-11-22,2024-11-08,2023-09-26
基本参数,最大功率(kW),135,135,187,187,187,187,187,187,187,187,187,187,187,135,135,187,187,187,135,135,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,135
基本参数,最大扭矩(N·m),290,290,390,390,390,390,390,390,390,390,390,390,390,290,290,390,390,390,290,290,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,290
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 184马力 L4,1.5T 184马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,1.5T 184马力 L4
