セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD 探索,2026年モデル 1.5TD 探索+,2026年モデル 1.5TD DCT 駿馬版 探索+,2026年モデル 2.0TD XWD 発見,2026年モデル 2.0TD XWD 越境,2026年モデル 2.0TD XWD 征服,2026年モデル 2.0TD XWD 悦野,2026年モデル 2.0TD DCT 駿馬版 XWD 発見,2026年モデル 2.0TD DCT 駿馬版 XWD 越境,2025年モデル 1.5TD DCT 探索+ 快適版,2025年モデル 2.0TD DCT 4WD 星際衛士,2025年モデル 2.0TD DCT XWD 発見 快適版,2025年モデル 2.0TD XWD 自動 征服+ 快適版,2025年モデル 1.5TD DCT 2WD 探索,2025年モデル 1.5TD DCT 2WD 探索+,2025年モデル 2.0TD DCT XWD 発見,2025年モデル 2.0TD DCT XWD 越境,2025年モデル 2.0TD DCT XWD 越境+,2025年モデル 2.0TD XWD 自動 悦野,2025年モデル 2.0TD XWD 自動 征服,2025年モデル 2.0TD XWD 自動 征服 ロング版 7人乗り,2025年モデル 2.0TD XWD 自動 征服+,2025年モデル 2.0TD XWD 自動 征服+ ロング版 7人乗り,2025年モデル 2.0T DCT 星月女神,2025年モデル 2.0T 自動 4WD 20万記念版,2025年モデル 2.0TD DCT 4WD 銀龍の翼 Air,2024年モデル 2.0T 4WD 悦野PRO,2024年モデル 2.0T 4WD 越境PRO エンタメ版,2024年モデル 2.0T 4WD 越境PRO+ エンタメ版,2024年モデル 2.0T 4WD 平和精英 戦神版,2023年モデル 1.5T 2WD 発見PRO,2026年モデル 2.0TD XWD 征服 5人乗り,2026年モデル 2.0TD XWD 征服 7人乗り,2026年モデル 2.0TD XWD 征服+ 5人乗り,2026年モデル 2.0TD XWD 征服+ 7人乗り
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","15.29万元（日本円 約3,210,900円）","15.99万元（日本円 約3,357,900円）","16.99万元（日本円 約3,567,900円）","17.99万元（日本円 約3,777,900円）","19.19万元（日本円 約4,029,900円）","16.29万元（日本円 約3,420,900円）","17.29万元（日本円 約3,630,900円）","14.99万元（日本円 約3,147,900円）","19.99万元（日本円 約4,197,900円）","15.99万元（日本円 約3,357,900円）","18.49万元（日本円 約3,882,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","15.99万元（日本円 約3,357,900円）","16.99万元（日本円 約3,567,900円）","17.99万元（日本円 約3,777,900円）","19.19万元（日本円 約4,029,900円）","17.49万元（日本円 約3,672,900円）","17.99万元（日本円 約3,777,900円）","18.49万元（日本円 約3,882,900円）","18.99万元（日本円 約3,987,900円）","18.39万元（日本円 約3,861,900円）","19.39万元（日本円 約4,071,900円）","21.49万元（日本円 約4,512,900円）","19.19万元（日本円 約4,029,900円）","17.59万元（日本円 約3,693,900円）","18.59万元（日本円 約3,903,900円）","23.99万元（日本円 約5,037,900円）","14.99万元（日本円 約3,147,900円）",预售,预售,预售,预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.19万元（日本円 約2,559,900円）","13.19万元（日本円 約2,769,900円）","13.49万元（日本円 約2,832,900円）","14.19万元（日本円 約2,979,900円）","15.19万元（日本円 約3,189,900円）","16.19万元（日本円 約3,399,900円）","19.19万元（日本円 約4,029,900円）","14.49万元（日本円 約3,042,900円）","15.49万元（日本円 約3,252,900円）","14.99万元（日本円 約3,147,900円）","17.99万元（日本円 約3,777,900円）","15.99万元（日本円 約3,357,900円）","18.49万元（日本円 約3,882,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","15.99万元（日本円 約3,357,900円）","19.19万元（日本円 約4,029,900円）","15.49万元（日本円 約3,252,900円）","15.99万元（日本円 約3,357,900円）","16.49万元（日本円 約3,462,900円）","16.99万元（日本円 約3,567,900円）","16.39万元（日本円 約3,441,900円）","17.39万元（日本円 約3,651,900円）","19.49万元（日本円 約4,092,900円）","19.19万元（日本円 約4,029,900円）","17.59万元（日本円 約3,693,900円）","18.59万元（日本円 約3,903,900円）","23.99万元（日本円 約5,037,900円）","14.99万元（日本円 約3,147,900円）","18.79万元（日本円 約3,945,900円）","18.99万元（日本円 約3,987,900円）","19.79万元（日本円 約4,155,900円）","19.99万元（日本円 約4,197,900円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-11-17,2025-11-17,2026-03-11,2025-11-17,2025-11-17,2025-11-17,2025-11-25,2026-03-11,2026-03-11,2025-07-02,2025-04-23,2025-07-02,2025-07-02,2025-03-25,2025-03-25,2025-03-25,2025-03-25,2025-03-25,2025-04-03,2025-03-25,2025-04-18,2025-03-25,2025-04-18,2025-03-07,2025-01-06,2025-03-27,2024-03-15,2024-11-22,2024-11-22,2024-11-08,2023-09-26,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),135,135,135,187,187,187,187,187,187,135,187,187,187,135,135,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,135,187,187,187,187
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,390,390,390,390,390,390,290,390,390,390,290,290,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,290,390,390,390,390
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,7速湿式デュアルクラッチ,8速AT（オートマチック）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 184馬力 L4エンジン,1.5T 184馬力 L4エンジン,1.5T 184馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,1.5T 184馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,1.5T 184馬力 L4エンジン,1.5T 184馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,1.5T 184馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン,2.0T 254馬力 L4エンジン
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4795×2006×1870（mm）,4795×2006×1870（mm）,4795×2006×1870（mm）,4795×2006×1880（mm）,4795×2006×1880（mm）,4795×2006×1880（mm）,4795×2006×1880（mm）,4795×2006×1880（mm）,4795×2006×1880（mm）,4785×2006×1880（mm）,4785×2022×1910（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,5034×2006×1880（mm）,4785×2006×1880（mm）,5034×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4782×2036×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4785×2006×1880（mm）,4782×2036×1960（mm）,4785×2006×1880（mm）,5034×2006×1880（mm）,5034×2006×1880（mm）,5034×2006×1880（mm）,5034×2006×1880（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,190,180,180,180,180,180,180,180,180,180,180,180,180,180,180,190,180,190,180,180,180,180,180,180,180,180,190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.35,8.35,8.35,8.83,8.83,9.58,8.83,8.83,8.83,8.35,10.2,8.83,9.58,8.35,8.35,8.83,8.83,8.83,8.83,9.58,9.83,9.58,9.83,8.83,9.58,10.89,9.58,8.83,8.83,10.89,8.35,9.83,9.83,9.83,9.83
