セクション,項目,坦克500新能源 2026款 Hi4-T,坦克500新能源 2026款 Hi4-T 智享版,坦克500新能源 2026款 Hi4-Z 智享版,坦克500新能源 2026款 Hi4-T 黑武士,坦克500新能源 2026款 Hi4-Z 黑武士
,厂商指导价(元),33.50万 计算器,35.50万 计算器,37.50万 计算器,36.50万 计算器,38.50万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-08-27,2025-08-27,2025-08-27,2026-04-15,2026-04-15
基本参数,WLTC纯电续航里程(km),110,110,201,110,201
基本参数,电池快充时间(小时),0.27,0.27,0.25,0.27,0.25
基本参数,电池慢充时间(小时),6.5,6.5,7.5,6.5,7.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),15-100,15-100,20-100,15-100,20-100
基本参数,最大功率(kW),310,310,635,310,635
基本参数,最大扭矩(N·m),750,750,1195,750,1195
基本参数,变速箱,9挡手自一体,9挡手自一体,3挡DHT,9挡手自一体,3挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4
基本参数,电动机(Ps),177,177,619,177,619
基本参数,长*宽*高(mm),5078*1934*1905,5078*1934*1905,5078*1934*1905,5078*1934*1905,5078*1934*1905
基本参数,官方0-100km/h加速(s),6.9,6.9,4.3,6.9,4.3
基本参数,最高车速(km/h),180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),2.16,2.16,0.85,2.16,0.85
基本参数,最低荷电状态油耗(L/100km)WLTC,8.35,8.35,8.25,8.35,8.25
基本参数,油电综合燃料消耗量(L/100km),4.90,4.90,3.93,4.90,3.93
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
基本参数,整备质量(kg),2830,2830,2980,2830,2980
基本参数,最大满载质量(kg),3330,3330,3430,3330,3430
基本参数,准拖挂车总质量(kg),2500,2500,2500,2500,2500
车身,长度(mm),5078,5078,5078,5078,5078
车身,宽度(mm),1934,1934,1934,1934,1934
车身,高度(mm),1905,1905,1905,1905,1905
车身,轴距(mm),2850,2850,2850,2850,2850
车身,前轮距(mm),1635,1635,1635,1635,1635
车身,后轮距(mm),1635,1635,1635,1635,1635
车身,最小离地间隙(mm),213,213,210,213,210
车身,接近角(°),30,30,29,30,29
车身,离去角(°),24,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),70,70,77,70,77
车身,后备厢容积(L),1400,1400,1489,1400,1489
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,E20NB,E20NB,E20NB,E20NB,E20NB
发动机,排量(mL),1998,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),252,252,252,252,252
发动机,最大功率(kW),185,185,185,185,185
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),385,385,385,385,385
发动机,最大扭矩转速(rpm),1700-4000,1700-4000,1700-4000,1700-4000,1700-4000
发动机,最大净功率(kW),180,180,180,180,180
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ290XH007,TZ290XH007,TZ290XH006,TZ290XH007,TZ290XH006
电动机,后电动机型号,-,-,TZ220XH008,-,TZ220XH008
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),130,130,455,130,455
电动机,电动机总马力(Ps),177,177,619,177,619
电动机,电动机总扭矩(N·m),495,495,815,495,815
电动机,前电动机最大功率(kW),130,130,215,130,215
电动机,前电动机最大扭矩(N·m),495,495,400,495,400
电动机,后电动机最大功率(kW),-,-,240,-,240
电动机,后电动机最大扭矩(N·m),-,-,415,-,415
电动机,系统综合功率(kW),310,310,635,310,635
电动机,系统综合马力(Ps),422,422,864,422,864
电动机,系统综合扭矩(N·m),750,750,1195,750,1195
电动机,驱动电机数,单电机,单电机,双电机,单电机,双电机
电动机,电机布局,前置,前置,前置+后置,前置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),110,110,201,110,201
电池/充电,WLTC综合续航(km),900,900,1096,900,1096
电池/充电,电池能量(kWh),37.1,37.1,59.05,37.1,59.05
电池/充电,百公里耗电量(kWh/100km),24.5,24.5,27.3,24.5,27.3
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),103,103,163,103,163
电池/充电,高压快充,-,-,支持,-,支持
电池/充电,高压平台（V）,-,-,800,-,800
电池/充电,电池快充时间(小时),0.27,0.27,0.25,0.27,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),6.5,6.5,7.5,6.5,7.5
电池/充电,电池慢充电量范围(%),15-100,15-100,20-100,15-100,20-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6
变速箱,简称,9挡手自一体,9挡手自一体,3挡DHT,9挡手自一体,3挡DHT
变速箱,挡位个数,9,9,3,9,3
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),混合动力专用变速箱(DHT),手自一体变速箱(AT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,● 适时四驱,● 电动四驱,● 适时四驱,● 电动四驱
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,-,● 多片离合器,-
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 265/55 R19
○ 265/50 R20 (5000元)
○ 265/60 R18 (5000元)","● 265/55 R19
○ 265/50 R20 (5000元)
○ 265/60 R18 (5000元)","● 265/55 R19
○ 265/50 R20 (5000元)
○ 265/60 R18 (5000元)",● 265/55 R19,● 265/55 R19
车轮制动,后轮胎规格,"● 265/55 R19
○ 265/50 R20
○ 265/60 R18","● 265/55 R19
○ 265/50 R20
○ 265/60 R18","● 265/55 R19
○ 265/50 R20
○ 265/60 R18",● 265/55 R19,● 265/55 R19
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●
四驱/越野,中央差速器锁止功能,●,●,-,●,-
四驱/越野,限滑差速器/差速锁,"○ 前桥差速锁 (6000元)
● 后桥差速锁","○ 前桥差速锁 (6000元)
● 后桥差速锁","○ 前桥差速锁 (6000元)
● 后桥差速锁",● 后桥差速锁,● 后桥差速锁
四驱/越野,低速四驱,●,●,●,●,●
四驱/越野,蠕行模式,●,●,●,●,●
四驱/越野,坦克转弯,●,●,●,●,●
四驱/越野,拖挂钩,○ 手动,○ 手动,○ 手动,○ 手动,○ 手动
四驱/越野,拖车取电口,○,○,○,○,○
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,"● 5个
○ 6个","● 11个
○ 12个","● 11个
○ 12个","● 11个
○ 12个","● 11个
○ 12个"
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 2个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,-,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技
驾驶硬件,激光雷达数量,-,● 1个,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●
驾驶功能,夜视系统,○ (6000元),○ (6000元),○ (6000元),○ (6000元),○ (6000元)
驾驶功能,辅助泊车入位,●,●,●,●,●
驾驶功能,遥控泊车,○,○,○,○,○
驾驶功能,记忆泊车,-,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●
驾驶功能,辅助变道,-,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,●
驾驶功能,方向盘离手检测,-,●,●,●,●
驾驶功能,辅助驾驶路段,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 尾门,● 尾门,● 尾门,● 尾门,● 尾门
外观/防盗,车顶行李架,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,车侧脚踏板,● 电动,● 电动,● 固定,● 电动,● 固定
外观/防盗,电池预加热,●,●,-,●,-
外观/防盗,对外放电,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,● 手动,● 手动,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
